Year,Measure,Value
2000,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.96
2000,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2001,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.95
2001,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2002,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.96
2002,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2003,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.99
2003,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2004,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.93
2004,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2005,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.89
2005,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2006,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.92
2006,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2007,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.88
2007,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2008,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.82
2008,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2009,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.79
2009,"Total emissions due to deforestation (CO2e/yr, megatonnes)",16
2010,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.73
2010,"Total emissions due to deforestation (CO2e/yr, megatonnes)",16
2011,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.68
2011,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2012,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.63
2012,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2013,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.57
2013,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2014,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.52
2014,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2015,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.48
2015,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2016,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.43
2016,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2017,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.38
2017,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2018,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.32
2018,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2019,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.29
2019,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2020,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.24
2020,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
2021,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.17
2021,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2022,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.13
2022,"Total emissions due to deforestation (CO2e/yr, megatonnes)",18
2023,"Removals from the atmosphere due to afforestation (CO2e/yr, megatonnes)",0.13
2023,"Total emissions due to deforestation (CO2e/yr, megatonnes)",17
