Year,Jurisdiction,Cause,Area (hectares),Number
2000,Alberta,Human activity,8658,366
2000,Alberta,Natural cause,16575,481
2000,Alberta,Unspecified,19,17
2001,Alberta,Human activity,139800,485
2001,Alberta,Natural cause,27108,516
2001,Alberta,Unspecified,78,23
2002,Alberta,Human activity,248048,590
2002,Alberta,Natural cause,252498,886
2002,Alberta,Unspecified,8,17
2003,Alberta,Human activity,39243,672
2003,Alberta,Natural cause,145144,563
2003,Alberta,Unspecified,19958,22
2004,Alberta,Human activity,6649,878
2004,Alberta,Natural cause,425626,788
2004,Alberta,Unspecified,50,17
2005,Alberta,Human activity,12719,916
2005,Alberta,Natural cause,79604,471
2005,Alberta,Unspecified,46,38
2006,Alberta,Human activity,23937,1230
2006,Alberta,Natural cause,106317,797
2006,Alberta,Unspecified,6058,80
2007,Alberta,Human activity,1766,821
2007,Alberta,Natural cause,324225,530
2007,Alberta,Unspecified,3,27
2008,Alberta,Human activity,13587,916
2008,Alberta,Natural cause,22869,826
2008,Alberta,Unspecified,79,53
2009,Alberta,Human activity,27410,1069
2009,Alberta,Natural cause,67111,588
2009,Alberta,Unspecified,37,58
2010,Alberta,Human activity,2282,1122
2010,Alberta,Natural cause,84448,778
2010,Alberta,Unspecified,222,49
2011,Alberta,Human activity,144373,941
2011,Alberta,Natural cause,97628,232
2011,Alberta,Unspecified,650231,35
2012,Alberta,Human activity,7555,1134
2012,Alberta,Natural cause,644115,470
2012,Alberta,Unspecified,414,42
2013,Alberta,Human activity,2268,899
2013,Alberta,Natural cause,48634,337
2013,Alberta,Unspecified,4830,43
2014,Alberta,Human activity,1405,868
2014,Alberta,Natural cause,286625,609
2014,Alberta,Unspecified,19,29
2015,Alberta,Human activity,41590,1040
2015,Alberta,Natural cause,801712,829
2015,Alberta,Unspecified,570,83
2016,Alberta,Human activity,1972,885
2016,Alberta,Natural cause,27284,537
2016,Alberta,Unspecified,485908,63
2017,Alberta,Human activity,7701,837
2017,Alberta,Natural cause,116704,448
2017,Alberta,Unspecified,25364,45
