Year,Jurisdiction,Insect species,Defoliated area (hectares)
2010,Canada,Aspen twoleaf tier,92
2010,Canada,Balsam fir sawfly,51309
2010,Canada,Blackheaded budworm,93241
2010,Canada,Bruce spanworm,1725779
2010,Canada,Forest tent caterpillar,220651
2010,Canada,Hemlock looper,18448
2010,Canada,Jack pine budworm,44968
2010,Canada,Large aspen tortrix,17154
2010,Canada,Mountain pine beetle,6251586
2010,Canada,Spongy moth,0
2010,Canada,Spruce beetle,66267
2010,Canada,Spruce budworm,1510074
2010,Canada,Swaine jack pine sawfly,0
2010,Canada,Two-year-cycle spruce budworm,97084
2010,Canada,Western spruce budworm,503014
2011,Canada,Aspen twoleaf tier,1482
2011,Canada,Balsam fir sawfly,58637
2011,Canada,Blackheaded budworm,41112
2011,Canada,Bruce spanworm,9302
2011,Canada,Forest tent caterpillar,594647
2011,Canada,Hemlock looper,20157
2011,Canada,Jack pine budworm,27765
2011,Canada,Large aspen tortrix,89908
2011,Canada,Mountain pine beetle,4624907
2011,Canada,Spongy moth,0
2011,Canada,Spruce beetle,61774
2011,Canada,Spruce budworm,1492829
2011,Canada,Swaine jack pine sawfly,787
2011,Canada,Two-year-cycle spruce budworm,178206
2011,Canada,Western spruce budworm,623426
2012,Canada,Aspen twoleaf tier,174655
2012,Canada,Balsam fir sawfly,46236
2012,Canada,Blackheaded budworm,36249
2012,Canada,Bruce spanworm,0
2012,Canada,Forest tent caterpillar,729874
2012,Canada,Hemlock looper,13876
2012,Canada,Jack pine budworm,61018
2012,Canada,Large aspen tortrix,8123
2012,Canada,Mountain pine beetle,3016228
2012,Canada,Spongy moth,8128
2012,Canada,Spruce beetle,43195
2012,Canada,Spruce budworm,1792062
2012,Canada,Swaine jack pine sawfly,0
2012,Canada,Two-year-cycle spruce budworm,74891
2012,Canada,Western spruce budworm,456745
2013,Canada,Aspen twoleaf tier,2140673
2013,Canada,Balsam fir sawfly,1492
2013,Canada,Blackheaded budworm,30700
2013,Canada,Bruce spanworm,5066
2013,Canada,Forest tent caterpillar,7464898
2013,Canada,Hemlock looper,19045
2013,Canada,Jack pine budworm,92176
2013,Canada,Large aspen tortrix,9104
2013,Canada,Mountain pine beetle,2973935
2013,Canada,Spongy moth,8452
2013,Canada,Spruce beetle,26601
2013,Canada,Spruce budworm,2777998
2013,Canada,Swaine jack pine sawfly,0
2013,Canada,Two-year-cycle spruce budworm,88760
2013,Canada,Western spruce budworm,128037
2014,Canada,Aspen twoleaf tier,749
2014,Canada,Balsam fir sawfly,0
2014,Canada,Blackheaded budworm,4238
2014,Canada,Bruce spanworm,27
2014,Canada,Forest tent caterpillar,5903787
2014,Canada,Hemlock looper,17998
2014,Canada,Jack pine budworm,26356
2014,Canada,Large aspen tortrix,999365
2014,Canada,Mountain pine beetle,2208687
