Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2012,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,23245171
2012,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,7883666
2012,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,15361505
2012,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,British Columbia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,4409563
2012,British Columbia,Pulp and paper product manufacturing,Converted paper product manufacturing,310294
2012,British Columbia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,4099269
2012,Manitoba,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Manitoba,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Manitoba,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,New Brunswick,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,New Brunswick,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,New Brunswick,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Newfoundland and Labrador,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Newfoundland and Labrador,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Newfoundland and Labrador,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Northwest Territories,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Northwest Territories,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Northwest Territories,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Nova Scotia,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Nova Scotia,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Nova Scotia,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Nunavut,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Nunavut,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Nunavut,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,6560327
2012,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,4256421
2012,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,2303906
2012,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,7772005
2012,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,2540298
2012,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,5231707
2012,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2012,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2012,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2012,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
