Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2012,Canada,Wood product manufacturing,Total wood product manufacturing,35913360
2012,Canada,Wood product manufacturing,Sawmills and wood preservation,19994364
2012,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,9175566
2012,Canada,Wood product manufacturing,Other wood product manufacturing,6743430
2012,Alberta,Wood product manufacturing,Total wood product manufacturing,4822706
2012,Alberta,Wood product manufacturing,Sawmills and wood preservation,2436648
2012,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,1461518
2012,Alberta,Wood product manufacturing,Other wood product manufacturing,924540
2012,British Columbia,Wood product manufacturing,Total wood product manufacturing,13783007
2012,British Columbia,Wood product manufacturing,Sawmills and wood preservation,10030392
2012,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,2384716
2012,British Columbia,Wood product manufacturing,Other wood product manufacturing,1367899
2012,Manitoba,Wood product manufacturing,Total wood product manufacturing,209212
2012,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2012,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,209212
2012,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2012,New Brunswick,Wood product manufacturing,Total wood product manufacturing,247838
2012,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2012,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,0
2012,New Brunswick,Wood product manufacturing,Other wood product manufacturing,247838
2012,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,97940
2012,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,49626
2012,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,33190
2012,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,15124
2012,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2012,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2012,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2012,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2012,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,141016
2012,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2012,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,141016
2012,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2012,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2012,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2012,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2012,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2012,Ontario,Wood product manufacturing,Total wood product manufacturing,4654371
2012,Ontario,Wood product manufacturing,Sawmills and wood preservation,1568328
2012,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,1659046
2012,Ontario,Wood product manufacturing,Other wood product manufacturing,1426997
2012,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,0
2012,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2012,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2012,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2012,Quebec,Wood product manufacturing,Total wood product manufacturing,9099314
2012,Quebec,Wood product manufacturing,Sawmills and wood preservation,4162588
2012,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,2546294
2012,Quebec,Wood product manufacturing,Other wood product manufacturing,2390432
2012,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,474596
2012,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2012,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,474596
2012,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2012,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2012,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2012,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2012,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2013,Canada,Wood product manufacturing,Total wood product manufacturing,43054043
2013,Canada,Wood product manufacturing,Sawmills and wood preservation,24963756
2013,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,10729014
2013,Canada,Wood product manufacturing,Other wood product manufacturing,7361273
2013,Alberta,Wood product manufacturing,Total wood product manufacturing,6093246
2013,Alberta,Wood product manufacturing,Sawmills and wood preservation,3156482
2013,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,1815992
2013,Alberta,Wood product manufacturing,Other wood product manufacturing,1120772
2013,British Columbia,Wood product manufacturing,Total wood product manufacturing,16954097
2013,British Columbia,Wood product manufacturing,Sawmills and wood preservation,12508896
2013,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,2641152
2013,British Columbia,Wood product manufacturing,Other wood product manufacturing,1804049
2013,Manitoba,Wood product manufacturing,Total wood product manufacturing,277540
2013,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2013,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,277540
2013,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2013,New Brunswick,Wood product manufacturing,Total wood product manufacturing,0
2013,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2013,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,New Brunswick,Wood product manufacturing,Other wood product manufacturing,0
2013,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2013,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2013,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2013,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2013,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2013,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2013,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,0
2013,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2013,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2013,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2013,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2013,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2013,Ontario,Wood product manufacturing,Total wood product manufacturing,5339373
2013,Ontario,Wood product manufacturing,Sawmills and wood preservation,1850034
2013,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product,1962018
2013,Ontario,Wood product manufacturing,Other wood product manufacturing,1527321
2013,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,0
2013,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2013,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2013,Quebec,Wood product manufacturing,Total wood product manufacturing,10446866
2013,Quebec,Wood product manufacturing,Sawmills and wood preservation,5177524
2013,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product,2930800
2013,Quebec,Wood product manufacturing,Other wood product manufacturing,2338542
2013,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,628796
2013,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2013,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,628796
2013,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2013,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2013,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2013,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2013,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2014,Canada,Wood product manufacturing,Total wood product manufacturing,45341714
2014,Canada,Wood product manufacturing,Sawmills and wood preservation,27259806
2014,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,10603724
2014,Canada,Wood product manufacturing,Other wood product manufacturing,7478184
2014,Alberta,Wood product manufacturing,Total wood product manufacturing,6113789
2014,Alberta,Wood product manufacturing,Sawmills and wood preservation,3339762
2014,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product,1716806
2014,Alberta,Wood product manufacturing,Other wood product manufacturing,1057221
2014,British Columbia,Wood product manufacturing,Total wood product manufacturing,18261770
2014,British Columbia,Wood product manufacturing,Sawmills and wood preservation,13475394
2014,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product,2909736
2014,British Columbia,Wood product manufacturing,Other wood product manufacturing,1876640
2014,Manitoba,Wood product manufacturing,Total wood product manufacturing,201070
2014,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2014,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product,201070
2014,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2014,New Brunswick,Wood product manufacturing,Total wood product manufacturing,0
2014,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2014,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,New Brunswick,Wood product manufacturing,Other wood product manufacturing,0
2014,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,0
2014,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2014,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2014,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,94
2014,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2014,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,94
2014,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,93872
2014,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2014,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,93872
2014,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2014,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2014,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product,0
2014,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
