Year,Jurisdiction,Sector,Employees
2001,Canada,Forestry and logging,48766
2001,Canada,Paper manufacturing,103703
2001,Canada,Support activities for forestry,19383
2001,Canada,Wood product manufacturing,136903
2001,Alberta,Forestry and logging,2633
2001,Alberta,Paper manufacturing,3817
2001,Alberta,Support activities for forestry,1091
2001,Alberta,Wood product manufacturing,11224
2001,British Columbia,Forestry and logging,17385
2001,British Columbia,Paper manufacturing,15026
2001,British Columbia,Support activities for forestry,8794
2001,British Columbia,Wood product manufacturing,37590
2001,Manitoba,Forestry and logging,0
2001,Manitoba,Paper manufacturing,2005
2001,Manitoba,Support activities for forestry,0
2001,Manitoba,Wood product manufacturing,4563
2001,New Brunswick,Forestry and logging,3198
2001,New Brunswick,Paper manufacturing,7389
2001,New Brunswick,Support activities for forestry,835
2001,New Brunswick,Wood product manufacturing,7051
2001,Newfoundland and Labrador,Forestry and logging,1109
2001,Newfoundland and Labrador,Paper manufacturing,0
2001,Newfoundland and Labrador,Support activities for forestry,618
2001,Newfoundland and Labrador,Wood product manufacturing,780
2001,Northwest Territories,Forestry and logging,0
2001,Northwest Territories,Paper manufacturing,0
2001,Northwest Territories,Support activities for forestry,0
2001,Northwest Territories,Wood product manufacturing,0
2001,Nova Scotia,Forestry and logging,0
2001,Nova Scotia,Paper manufacturing,2689
2001,Nova Scotia,Support activities for forestry,0
2001,Nova Scotia,Wood product manufacturing,3004
2001,Nunavut,Forestry and logging,0
2001,Nunavut,Paper manufacturing,0
2001,Nunavut,Support activities for forestry,0
2001,Nunavut,Wood product manufacturing,0
2001,Ontario,Forestry and logging,7209
2001,Ontario,Paper manufacturing,35814
2001,Ontario,Support activities for forestry,914
2001,Ontario,Wood product manufacturing,28752
2001,Prince Edward Island,Forestry and logging,0
2001,Prince Edward Island,Paper manufacturing,0
2001,Prince Edward Island,Support activities for forestry,0
2001,Prince Edward Island,Wood product manufacturing,0
2001,Quebec,Forestry and logging,14179
2001,Quebec,Paper manufacturing,33844
2001,Quebec,Support activities for forestry,5709
2001,Quebec,Wood product manufacturing,41469
2001,Saskatchewan,Forestry and logging,814
2001,Saskatchewan,Paper manufacturing,1479
2001,Saskatchewan,Support activities for forestry,644
2001,Saskatchewan,Wood product manufacturing,1891
2001,Yukon,Forestry and logging,0
2001,Yukon,Paper manufacturing,0
2001,Yukon,Support activities for forestry,0
2001,Yukon,Wood product manufacturing,0
2002,Canada,Forestry and logging,47322
2002,Canada,Paper manufacturing,95981
2002,Canada,Support activities for forestry,19796
2002,Canada,Wood product manufacturing,135476
2002,Alberta,Forestry and logging,2687
2002,Alberta,Paper manufacturing,3258
2002,Alberta,Support activities for forestry,1673
2002,Alberta,Wood product manufacturing,11482
2002,British Columbia,Forestry and logging,17016
2002,British Columbia,Paper manufacturing,11595
2002,British Columbia,Support activities for forestry,8564
2002,British Columbia,Wood product manufacturing,36737
2002,Manitoba,Forestry and logging,0
2002,Manitoba,Paper manufacturing,1703
2002,Manitoba,Support activities for forestry,0
2002,Manitoba,Wood product manufacturing,4746
2002,New Brunswick,Forestry and logging,3100
2002,New Brunswick,Paper manufacturing,6848
2002,New Brunswick,Support activities for forestry,774
2002,New Brunswick,Wood product manufacturing,6801
2002,Newfoundland and Labrador,Forestry and logging,1174
2002,Newfoundland and Labrador,Paper manufacturing,0
2002,Newfoundland and Labrador,Support activities for forestry,564
2002,Newfoundland and Labrador,Wood product manufacturing,772
2002,Northwest Territories,Forestry and logging,0
2002,Northwest Territories,Paper manufacturing,0
2002,Northwest Territories,Support activities for forestry,0
2002,Northwest Territories,Wood product manufacturing,0
2002,Nova Scotia,Forestry and logging,0
2002,Nova Scotia,Paper manufacturing,2522
2002,Nova Scotia,Support activities for forestry,0
2002,Nova Scotia,Wood product manufacturing,2616
2002,Nunavut,Forestry and logging,0
2002,Nunavut,Paper manufacturing,0
2002,Nunavut,Support activities for forestry,0
2002,Nunavut,Wood product manufacturing,0
2002,Ontario,Forestry and logging,6936
2002,Ontario,Paper manufacturing,35328
2002,Ontario,Support activities for forestry,1005
2002,Ontario,Wood product manufacturing,29295
2002,Prince Edward Island,Forestry and logging,0
2002,Prince Edward Island,Paper manufacturing,0
2002,Prince Edward Island,Support activities for forestry,0
2002,Prince Edward Island,Wood product manufacturing,0
2002,Quebec,Forestry and logging,13461
2002,Quebec,Paper manufacturing,31746
2002,Quebec,Support activities for forestry,5924
2002,Quebec,Wood product manufacturing,41004
2002,Saskatchewan,Forestry and logging,812
2002,Saskatchewan,Paper manufacturing,1256
2002,Saskatchewan,Support activities for forestry,529
2002,Saskatchewan,Wood product manufacturing,1670
2002,Yukon,Forestry and logging,0
2002,Yukon,Paper manufacturing,0
2002,Yukon,Support activities for forestry,0
2002,Yukon,Wood product manufacturing,0
2003,Canada,Forestry and logging,47986
2003,Canada,Paper manufacturing,96994
2003,Canada,Support activities for forestry,14991
2003,Canada,Wood product manufacturing,135078
2003,Alberta,Forestry and logging,2728
2003,Alberta,Paper manufacturing,3173
2003,Alberta,Support activities for forestry,1536
2003,Alberta,Wood product manufacturing,11091
2003,British Columbia,Forestry and logging,17097
2003,British Columbia,Paper manufacturing,13611
2003,British Columbia,Support activities for forestry,5158
2003,British Columbia,Wood product manufacturing,35992
2003,Manitoba,Forestry and logging,0
2003,Manitoba,Paper manufacturing,1696
2003,Manitoba,Support activities for forestry,0
2003,Manitoba,Wood product manufacturing,4569
2003,New Brunswick,Forestry and logging,0
2003,New Brunswick,Paper manufacturing,6555
2003,New Brunswick,Support activities for forestry,0
2003,New Brunswick,Wood product manufacturing,6506
2003,Newfoundland and Labrador,Forestry and logging,0
2003,Newfoundland and Labrador,Paper manufacturing,0
2003,Newfoundland and Labrador,Support activities for forestry,530
2003,Newfoundland and Labrador,Wood product manufacturing,476
2003,Northwest Territories,Forestry and logging,0
2003,Northwest Territories,Paper manufacturing,0
2003,Northwest Territories,Support activities for forestry,0
2003,Northwest Territories,Wood product manufacturing,0
2003,Nova Scotia,Forestry and logging,1465
2003,Nova Scotia,Paper manufacturing,2296
2003,Nova Scotia,Support activities for forestry,352
2003,Nova Scotia,Wood product manufacturing,2770
2003,Nunavut,Forestry and logging,0
2003,Nunavut,Paper manufacturing,0
2003,Nunavut,Support activities for forestry,0
2003,Nunavut,Wood product manufacturing,0
2003,Ontario,Forestry and logging,6877
2003,Ontario,Paper manufacturing,35243
2003,Ontario,Support activities for forestry,1224
2003,Ontario,Wood product manufacturing,28439
2003,Prince Edward Island,Forestry and logging,0
2003,Prince Edward Island,Paper manufacturing,0
2003,Prince Edward Island,Support activities for forestry,0
2003,Prince Edward Island,Wood product manufacturing,0
2003,Quebec,Forestry and logging,14257
2003,Quebec,Paper manufacturing,31690
2003,Quebec,Support activities for forestry,4286
2003,Quebec,Wood product manufacturing,43417
2003,Saskatchewan,Forestry and logging,784
2003,Saskatchewan,Paper manufacturing,1040
2003,Saskatchewan,Support activities for forestry,648
2003,Saskatchewan,Wood product manufacturing,1458
2003,Yukon,Forestry and logging,0
2003,Yukon,Paper manufacturing,0
2003,Yukon,Support activities for forestry,0
2003,Yukon,Wood product manufacturing,0
2004,Canada,Forestry and logging,47994
2004,Canada,Paper manufacturing,93718
2004,Canada,Support activities for forestry,13503
2004,Canada,Wood product manufacturing,138402
2004,Alberta,Forestry and logging,2930
2004,Alberta,Paper manufacturing,3336
2004,Alberta,Support activities for forestry,1539
2004,Alberta,Wood product manufacturing,11561
2004,British Columbia,Forestry and logging,17756
2004,British Columbia,Paper manufacturing,13214
2004,British Columbia,Support activities for forestry,4409
2004,British Columbia,Wood product manufacturing,36513
2004,Manitoba,Forestry and logging,0
2004,Manitoba,Paper manufacturing,1740
2004,Manitoba,Support activities for forestry,0
2004,Manitoba,Wood product manufacturing,4913
2004,New Brunswick,Forestry and logging,0
2004,New Brunswick,Paper manufacturing,5862
2004,New Brunswick,Support activities for forestry,0
