Year,Jurisdiction,Sector,"Value (1,000 dollars)"
2012,Canada,Logging,1363229
2012,Canada,Paper manufacturing,3358406
2012,Canada,Wood product manufacturing,3936269
2012,Alberta,Logging,148553
2012,Alberta,Paper manufacturing,211060
2012,Alberta,Wood product manufacturing,596256
2012,British Columbia,Logging,599458
2012,British Columbia,Paper manufacturing,600462
2012,British Columbia,Wood product manufacturing,1266912
2012,Manitoba,Logging,9852
2012,Manitoba,Paper manufacturing,0
2012,Manitoba,Wood product manufacturing,92567
2012,New Brunswick,Logging,77019
2012,New Brunswick,Paper manufacturing,0
2012,New Brunswick,Wood product manufacturing,157022
2012,Newfoundland and Labrador,Logging,14694
2012,Newfoundland and Labrador,Paper manufacturing,0
2012,Newfoundland and Labrador,Wood product manufacturing,13108
2012,Northwest Territories,Logging,0
2012,Northwest Territories,Paper manufacturing,0
2012,Northwest Territories,Wood product manufacturing,0
2012,Nova Scotia,Logging,28365
2012,Nova Scotia,Paper manufacturing,0
2012,Nova Scotia,Wood product manufacturing,67379
2012,Nunavut,Logging,0
2012,Nunavut,Paper manufacturing,0
2012,Nunavut,Wood product manufacturing,0
2012,Ontario,Logging,153045
2012,Ontario,Paper manufacturing,1147367
2012,Ontario,Wood product manufacturing,647677
2012,Prince Edward Island,Logging,0
2012,Prince Edward Island,Paper manufacturing,0
2012,Prince Edward Island,Wood product manufacturing,3559
2012,Quebec,Logging,315905
2012,Quebec,Paper manufacturing,1036310
2012,Quebec,Wood product manufacturing,1015786
2012,Saskatchewan,Logging,15560
2012,Saskatchewan,Paper manufacturing,0
2012,Saskatchewan,Wood product manufacturing,74937
2012,Yukon,Logging,0
2012,Yukon,Paper manufacturing,0
2012,Yukon,Wood product manufacturing,0
2013,Canada,Logging,1358577
2013,Canada,Paper manufacturing,3235468
2013,Canada,Wood product manufacturing,4176150
2013,Alberta,Logging,165056
2013,Alberta,Paper manufacturing,0
2013,Alberta,Wood product manufacturing,649749
2013,British Columbia,Logging,613919
2013,British Columbia,Paper manufacturing,548844
2013,British Columbia,Wood product manufacturing,1353677
2013,Manitoba,Logging,14160
2013,Manitoba,Paper manufacturing,65251
2013,Manitoba,Wood product manufacturing,0
2013,New Brunswick,Logging,72195
2013,New Brunswick,Paper manufacturing,0
2013,New Brunswick,Wood product manufacturing,0
2013,Newfoundland and Labrador,Logging,0
2013,Newfoundland and Labrador,Paper manufacturing,0
2013,Newfoundland and Labrador,Wood product manufacturing,12467
2013,Northwest Territories,Logging,0
2013,Northwest Territories,Paper manufacturing,0
2013,Northwest Territories,Wood product manufacturing,0
2013,Nova Scotia,Logging,27824
2013,Nova Scotia,Paper manufacturing,0
2013,Nova Scotia,Wood product manufacturing,0
2013,Nunavut,Logging,0
2013,Nunavut,Paper manufacturing,0
2013,Nunavut,Wood product manufacturing,0
2013,Ontario,Logging,150124
2013,Ontario,Paper manufacturing,1112664
2013,Ontario,Wood product manufacturing,678588
2013,Prince Edward Island,Logging,928
