Terrestrial ecozone,Section,Measure,Value,Units
Boreal Cordillera,Forest area by classification (hectares),Forest land,21451060,hectares
Boreal Cordillera,Forest area by classification (hectares),Other wooded land,3966771,hectares
Boreal Cordillera,Forest area by classification (hectares),Other land with tree cover,24551,hectares
Boreal Cordillera,Forest type,Coniferous,77.4,percentage
Boreal Cordillera,Forest type,Mixedwood,11.3,percentage
Boreal Cordillera,Forest type,Broadleaf,6.8,percentage
Boreal Cordillera,Forest type,Temporarily non-treed,4.5,percentage
Boreal Cordillera,Predominant tree genus,Spruce,54.4,percentage
Boreal Cordillera,Predominant tree genus,Pine,25.2,percentage
Boreal Cordillera,Predominant tree genus,Fir,11,percentage
Boreal Cordillera,Predominant tree genus,Larch,0.1,percentage
Boreal Cordillera,Predominant tree genus,Poplar,8.3,percentage
Boreal Cordillera,Predominant tree genus,Birch,1.1,percentage
Boreal Cordillera,Predominant tree genus,Unclassified,0,percentage
Boreal Cordillera,Land use (hectares),Agriculture,0,hectares
Boreal Cordillera,Land use (hectares),Conservation,6202837,hectares
Boreal Cordillera,Land use (hectares),Forestry,603790,hectares
Boreal Cordillera,Land use (hectares),Industrial,192416,hectares
Boreal Cordillera,Land use (hectares),Infrastructure,33819,hectares
Boreal Cordillera,Land use (hectares),National Defence,,hectares
Boreal Cordillera,Land use (hectares),Recreation,1358,hectares
Boreal Cordillera,Land use (hectares),Settlement,41364,hectares
Boreal Cordillera,Land use (hectares),Unknown,38869555,hectares
Boreal Cordillera,Land use (hectares),Total,45945140,hectares
