Terrestrial ecozone,Section,Measure,Value,Units
Boreal Plains,Forest area by classification (hectares),Forest land,44180910,hectares
Boreal Plains,Forest area by classification (hectares),Other wooded land,3720851,hectares
Boreal Plains,Forest area by classification (hectares),Other land with tree cover,3776070,hectares
Boreal Plains,Forest type,Coniferous,55.1,percentage
Boreal Plains,Forest type,Mixedwood,13.5,percentage
Boreal Plains,Forest type,Broadleaf,27.7,percentage
Boreal Plains,Forest type,Temporarily non-treed,3.8,percentage
Boreal Plains,Predominant tree genus,Spruce,38,percentage
Boreal Plains,Predominant tree genus,Pine,13.9,percentage
Boreal Plains,Predominant tree genus,Fir,0.3,percentage
Boreal Plains,Predominant tree genus,Larch,3.6,percentage
Boreal Plains,Predominant tree genus,Cedars and other conifers,0,percentage
Boreal Plains,Predominant tree genus,Poplar,42.6,percentage
Boreal Plains,Predominant tree genus,Birch,1.4,percentage
Boreal Plains,Predominant tree genus,Maple,0.1,percentage
Boreal Plains,Predominant tree genus,Other hardwoods,0,percentage
Boreal Plains,Predominant tree genus,Unspecified hardwoods,0,percentage
Boreal Plains,Predominant tree genus,Unclassified,0,percentage
Boreal Plains,Land use (hectares),Agriculture,12680106,hectares
Boreal Plains,Land use (hectares),Conservation,7120727,hectares
Boreal Plains,Land use (hectares),Forestry,39035618,hectares
Boreal Plains,Land use (hectares),Industrial,724735,hectares
Boreal Plains,Land use (hectares),Infrastructure,408750,hectares
Boreal Plains,Land use (hectares),National Defence,1053574,hectares
Boreal Plains,Land use (hectares),Recreation,44528,hectares
Boreal Plains,Land use (hectares),Settlement,998501,hectares
Boreal Plains,Land use (hectares),Unknown,5036710,hectares
Boreal Plains,Land use (hectares),Total,67103249,hectares
