Terrestrial ecozone,Section,Measure,Value,Units
Boreal Shield,Forest area by classification (hectares),Forest land,132352146,hectares
Boreal Shield,Forest area by classification (hectares),Other wooded land,8060519,hectares
Boreal Shield,Forest area by classification (hectares),Other land with tree cover,833934,hectares
Boreal Shield,Forest type,Coniferous,64.7,percentage
Boreal Shield,Forest type,Mixedwood,18.9,percentage
Boreal Shield,Forest type,Broadleaf,11.4,percentage
Boreal Shield,Forest type,Temporarily non-treed,5,percentage
Boreal Shield,Predominant tree genus,Spruce,49.9,percentage
Boreal Shield,Predominant tree genus,Pine,11.8,percentage
Boreal Shield,Predominant tree genus,Fir,7.2,percentage
Boreal Shield,Predominant tree genus,Hemlock,0.2,percentage
Boreal Shield,Predominant tree genus,Larch,1.4,percentage
Boreal Shield,Predominant tree genus,Cedars and other conifers,0.6,percentage
Boreal Shield,Predominant tree genus,Unspecified conifers,1.5,percentage
Boreal Shield,Predominant tree genus,Poplar,12.2,percentage
Boreal Shield,Predominant tree genus,Birch,7.9,percentage
Boreal Shield,Predominant tree genus,Maple,6,percentage
Boreal Shield,Predominant tree genus,Other hardwoods,0.5,percentage
Boreal Shield,Predominant tree genus,Unspecified hardwoods,0.7,percentage
Boreal Shield,Predominant tree genus,Unclassified,0.1,percentage
Boreal Shield,Land use (hectares),Agriculture,1085309,hectares
Boreal Shield,Land use (hectares),Conservation,31196992,hectares
Boreal Shield,Land use (hectares),Forestry,112266099,hectares
Boreal Shield,Land use (hectares),Industrial,1492662,hectares
Boreal Shield,Land use (hectares),Infrastructure,1936880,hectares
Boreal Shield,Land use (hectares),National Defence,370845,hectares
Boreal Shield,Land use (hectares),Recreation,4954862,hectares
Boreal Shield,Land use (hectares),Settlement,1233933,hectares
Boreal Shield,Land use (hectares),Unknown,9411578,hectares
Boreal Shield,Land use (hectares),Total,163949160,hectares
