Terrestrial ecozone,Section,Measure,Value,Units
Hudson Plains,Forest area by classification (hectares),Forest land,11592206,hectares
Hudson Plains,Forest area by classification (hectares),Other wooded land,8055834,hectares
Hudson Plains,Forest area by classification (hectares),Other land with tree cover,66143,hectares
Hudson Plains,Forest type,Coniferous,75.4,percentage
Hudson Plains,Forest type,Mixedwood,18.5,percentage
Hudson Plains,Forest type,Broadleaf,1,percentage
Hudson Plains,Forest type,Temporarily non-treed,5,percentage
Hudson Plains,Predominant tree genus,Spruce,88.1,percentage
Hudson Plains,Predominant tree genus,Pine,2.9,percentage
Hudson Plains,Predominant tree genus,Fir,0.5,percentage
Hudson Plains,Predominant tree genus,Larch,6.4,percentage
Hudson Plains,Predominant tree genus,Cedars and other conifers,0,percentage
Hudson Plains,Predominant tree genus,Unspecified conifers,0,percentage
Hudson Plains,Predominant tree genus,Poplar,1.7,percentage
Hudson Plains,Predominant tree genus,Birch,0.4,percentage
Hudson Plains,Predominant tree genus,Other hardwoods,0,percentage
Hudson Plains,Predominant tree genus,Unclassified,0,percentage
Hudson Plains,Land use (hectares),Agriculture,1287,hectares
Hudson Plains,Land use (hectares),Conservation,20945040,hectares
Hudson Plains,Land use (hectares),Forestry,12922140,hectares
Hudson Plains,Land use (hectares),Industrial,31205,hectares
Hudson Plains,Land use (hectares),Infrastructure,14840,hectares
Hudson Plains,Land use (hectares),National Defence,,hectares
Hudson Plains,Land use (hectares),Recreation,,hectares
Hudson Plains,Land use (hectares),Settlement,194247,hectares
Hudson Plains,Land use (hectares),Unknown,451477,hectares
Hudson Plains,Land use (hectares),Total,34560236,hectares
