Terrestrial ecozone,Section,Measure,Value,Units
Mixedwood Plains,Forest area by classification (hectares),Forest land,3423764,hectares
Mixedwood Plains,Forest area by classification (hectares),Other wooded land,119019,hectares
Mixedwood Plains,Forest area by classification (hectares),Other land with tree cover,90236,hectares
Mixedwood Plains,Forest type,Coniferous,13.6,percentage
Mixedwood Plains,Forest type,Mixedwood,24.3,percentage
Mixedwood Plains,Forest type,Broadleaf,57.2,percentage
Mixedwood Plains,Forest type,Temporarily non-treed,4.9,percentage
Mixedwood Plains,Predominant tree genus,Spruce,2,percentage
Mixedwood Plains,Predominant tree genus,Pine,7,percentage
Mixedwood Plains,Predominant tree genus,Fir,4.2,percentage
Mixedwood Plains,Predominant tree genus,Hemlock,1.3,percentage
Mixedwood Plains,Predominant tree genus,Larch,1.3,percentage
Mixedwood Plains,Predominant tree genus,Cedars and other conifers,9.6,percentage
Mixedwood Plains,Predominant tree genus,Unspecified conifers,0.8,percentage
Mixedwood Plains,Predominant tree genus,Poplar,11.6,percentage
Mixedwood Plains,Predominant tree genus,Birch,2.4,percentage
Mixedwood Plains,Predominant tree genus,Maple,42.9,percentage
Mixedwood Plains,Predominant tree genus,Other hardwoods,13.8,percentage
Mixedwood Plains,Predominant tree genus,Unspecified hardwoods,2.8,percentage
Mixedwood Plains,Predominant tree genus,Unclassified,0.4,percentage
Mixedwood Plains,Land use (hectares),Agriculture,5912424,hectares
Mixedwood Plains,Land use (hectares),Conservation,367355,hectares
Mixedwood Plains,Land use (hectares),Forestry,3382738,hectares
Mixedwood Plains,Land use (hectares),Industrial,45600,hectares
Mixedwood Plains,Land use (hectares),Infrastructure,579978,hectares
Mixedwood Plains,Land use (hectares),National Defence,2343,hectares
Mixedwood Plains,Land use (hectares),Recreation,49615,hectares
Mixedwood Plains,Land use (hectares),Settlement,589959,hectares
Mixedwood Plains,Land use (hectares),Unknown,87240,hectares
Mixedwood Plains,Land use (hectares),Total,11017252,hectares
