Terrestrial ecozone,Section,Measure,Value,Units
Montane Cordillera,Forest area by classification (hectares),Forest land,35228025,hectares
Montane Cordillera,Forest area by classification (hectares),Other wooded land,711537,hectares
Montane Cordillera,Forest area by classification (hectares),Other land with tree cover,217297,hectares
Montane Cordillera,Forest type,Coniferous,85.2,percentage
Montane Cordillera,Forest type,Mixedwood,5.8,percentage
Montane Cordillera,Forest type,Broadleaf,2.7,percentage
Montane Cordillera,Forest type,Temporarily non-treed,6.3,percentage
Montane Cordillera,Predominant tree genus,Spruce,25.4,percentage
Montane Cordillera,Predominant tree genus,Pine,25.2,percentage
Montane Cordillera,Predominant tree genus,Fir,18.6,percentage
Montane Cordillera,Predominant tree genus,Hemlock,5.6,percentage
Montane Cordillera,Predominant tree genus,Douglas-fir,14.5,percentage
Montane Cordillera,Predominant tree genus,Larch,1.5,percentage
Montane Cordillera,Predominant tree genus,Cedars and other conifers,3,percentage
Montane Cordillera,Predominant tree genus,Poplar,5.2,percentage
Montane Cordillera,Predominant tree genus,Birch,1,percentage
Montane Cordillera,Predominant tree genus,Other hardwoods,0,percentage
Montane Cordillera,Predominant tree genus,Unclassified,0,percentage
Montane Cordillera,Land use (hectares),Agriculture,1106408,hectares
Montane Cordillera,Land use (hectares),Conservation,9769146,hectares
Montane Cordillera,Land use (hectares),Forestry,17656167,hectares
Montane Cordillera,Land use (hectares),Industrial,48274,hectares
Montane Cordillera,Land use (hectares),Infrastructure,97808,hectares
Montane Cordillera,Land use (hectares),National Defence,,hectares
Montane Cordillera,Land use (hectares),Recreation,841027,hectares
Montane Cordillera,Land use (hectares),Settlement,83763,hectares
Montane Cordillera,Land use (hectares),Unknown,17877671,hectares
Montane Cordillera,Land use (hectares),Total,47480263,hectares
