Terrestrial ecozone,Section,Measure,Value,Units
Pacific Maritime,Forest area by classification (hectares),Forest land,11773186,hectares
Pacific Maritime,Forest area by classification (hectares),Other wooded land,362294,hectares
Pacific Maritime,Forest area by classification (hectares),Other land with tree cover,9289,hectares
Pacific Maritime,Forest type,Coniferous,92.2,percentage
Pacific Maritime,Forest type,Mixedwood,2.6,percentage
Pacific Maritime,Forest type,Broadleaf,2.9,percentage
Pacific Maritime,Forest type,Temporarily non-treed,2.3,percentage
Pacific Maritime,Predominant tree genus,Spruce,2.9,percentage
Pacific Maritime,Predominant tree genus,Pine,1.1,percentage
Pacific Maritime,Predominant tree genus,Fir,12.6,percentage
Pacific Maritime,Predominant tree genus,Hemlock,47.4,percentage
Pacific Maritime,Predominant tree genus,Douglas-fir,12.3,percentage
Pacific Maritime,Predominant tree genus,Cedars and other conifers,19.7,percentage
Pacific Maritime,Predominant tree genus,Poplar,1.5,percentage
Pacific Maritime,Predominant tree genus,Birch,0.3,percentage
Pacific Maritime,Predominant tree genus,Maple,0.3,percentage
Pacific Maritime,Predominant tree genus,Other hardwoods,1.9,percentage
Pacific Maritime,Predominant tree genus,Unspecified hardwoods,0,percentage
Pacific Maritime,Predominant tree genus,Unclassified,0,percentage
Pacific Maritime,Land use (hectares),Agriculture,212428,hectares
Pacific Maritime,Land use (hectares),Conservation,2849944,hectares
Pacific Maritime,Land use (hectares),Forestry,3498386,hectares
Pacific Maritime,Land use (hectares),Industrial,5044,hectares
Pacific Maritime,Land use (hectares),Infrastructure,47946,hectares
Pacific Maritime,Land use (hectares),National Defence,,hectares
Pacific Maritime,Land use (hectares),Recreation,105549,hectares
Pacific Maritime,Land use (hectares),Settlement,103993,hectares
Pacific Maritime,Land use (hectares),Unknown,13498903,hectares
Pacific Maritime,Land use (hectares),Total,20322193,hectares
