Terrestrial ecozone,Section,Measure,Value,Units
Prairies,Forest area by classification (hectares),Forest land,1530551,hectares
Prairies,Forest area by classification (hectares),Other wooded land,148998,hectares
Prairies,Forest area by classification (hectares),Other land with tree cover,1701169,hectares
Prairies,Forest type,Coniferous,3.9,percentage
Prairies,Forest type,Mixedwood,1.6,percentage
Prairies,Forest type,Broadleaf,76,percentage
Prairies,Forest type,Temporarily non-treed,18.6,percentage
Prairies,Predominant tree genus,Spruce,3.5,percentage
Prairies,Predominant tree genus,Pine,2.8,percentage
Prairies,Predominant tree genus,Fir,0,percentage
Prairies,Predominant tree genus,Douglas-fir,0.1,percentage
Prairies,Predominant tree genus,Larch,0,percentage
Prairies,Predominant tree genus,Poplar,92.9,percentage
Prairies,Predominant tree genus,Birch,0.3,percentage
Prairies,Predominant tree genus,Maple,0.3,percentage
Prairies,Predominant tree genus,Other hardwoods,0,percentage
Prairies,Predominant tree genus,Unclassified,0,percentage
Prairies,Land use (hectares),Agriculture,37563841,hectares
Prairies,Land use (hectares),Conservation,1730888,hectares
Prairies,Land use (hectares),Forestry,1342654,hectares
Prairies,Land use (hectares),Industrial,738928,hectares
Prairies,Land use (hectares),Infrastructure,358649,hectares
Prairies,Land use (hectares),National Defence,403876,hectares
Prairies,Land use (hectares),Recreation,10399,hectares
Prairies,Land use (hectares),Settlement,932281,hectares
Prairies,Land use (hectares),Unknown,1515608,hectares
Prairies,Land use (hectares),Total,44597124,hectares
