Terrestrial ecozone,Section,Measure,Value,Units
Taiga Cordillera,Forest area by classification (hectares),Forest land,6690641,hectares
Taiga Cordillera,Forest area by classification (hectares),Other wooded land,1713646,hectares
Taiga Cordillera,Forest area by classification (hectares),Other land with tree cover,,hectares
Taiga Cordillera,Forest type,Coniferous,90.1,percentage
Taiga Cordillera,Forest type,Mixedwood,5.1,percentage
Taiga Cordillera,Forest type,Broadleaf,2.6,percentage
Taiga Cordillera,Forest type,Temporarily non-treed,2.2,percentage
Taiga Cordillera,Predominant tree genus,Spruce,92.1,percentage
Taiga Cordillera,Predominant tree genus,Pine,0.9,percentage
Taiga Cordillera,Predominant tree genus,Fir,4.5,percentage
Taiga Cordillera,Predominant tree genus,Larch,0.3,percentage
Taiga Cordillera,Predominant tree genus,Poplar,0.3,percentage
Taiga Cordillera,Predominant tree genus,Birch,2,percentage
Taiga Cordillera,Predominant tree genus,Unclassified,0,percentage
Taiga Cordillera,Land use (hectares),Agriculture,,hectares
Taiga Cordillera,Land use (hectares),Conservation,2442259,hectares
Taiga Cordillera,Land use (hectares),Forestry,,hectares
Taiga Cordillera,Land use (hectares),Industrial,4809,hectares
Taiga Cordillera,Land use (hectares),Infrastructure,1899,hectares
Taiga Cordillera,Land use (hectares),National Defence,,hectares
Taiga Cordillera,Land use (hectares),Recreation,405838,hectares
Taiga Cordillera,Land use (hectares),Settlement,,hectares
Taiga Cordillera,Land use (hectares),Unknown,23580134,hectares
Taiga Cordillera,Land use (hectares),Total,26434940,hectares
