Terrestrial ecozone,Section,Measure,Value,Units
Taiga Plains,Forest area by classification (hectares),Forest land,35856534,hectares
Taiga Plains,Forest area by classification (hectares),Other wooded land,2648999,hectares
Taiga Plains,Forest area by classification (hectares),Other land with tree cover,5730,hectares
Taiga Plains,Forest type,Coniferous,78.2,percentage
Taiga Plains,Forest type,Mixedwood,10.5,percentage
Taiga Plains,Forest type,Broadleaf,10.7,percentage
Taiga Plains,Forest type,Temporarily non-treed,0.5,percentage
Taiga Plains,Predominant tree genus,Spruce,74.6,percentage
Taiga Plains,Predominant tree genus,Pine,4.4,percentage
Taiga Plains,Predominant tree genus,Fir,0.1,percentage
Taiga Plains,Predominant tree genus,Larch,1.3,percentage
Taiga Plains,Predominant tree genus,Poplar,17.5,percentage
Taiga Plains,Predominant tree genus,Birch,2.1,percentage
Taiga Plains,Predominant tree genus,Unclassified,0,percentage
Taiga Plains,Land use (hectares),Agriculture,6743,hectares
Taiga Plains,Land use (hectares),Conservation,1635525,hectares
Taiga Plains,Land use (hectares),Forestry,5732023,hectares
Taiga Plains,Land use (hectares),Industrial,6044,hectares
Taiga Plains,Land use (hectares),Infrastructure,10099,hectares
Taiga Plains,Land use (hectares),National Defence,,hectares
Taiga Plains,Land use (hectares),Recreation,7811,hectares
Taiga Plains,Land use (hectares),Settlement,3962,hectares
Taiga Plains,Land use (hectares),Unknown,49337083,hectares
Taiga Plains,Land use (hectares),Total,56739291,hectares
