Terrestrial ecozone,Section,Measure,Value,Units
Taiga Shield,Forest area by classification (hectares),Forest land,48252084,hectares
Taiga Shield,Forest area by classification (hectares),Other wooded land,5909609,hectares
Taiga Shield,Forest area by classification (hectares),Other land with tree cover,19993,hectares
Taiga Shield,Forest type,Coniferous,85.2,percentage
Taiga Shield,Forest type,Mixedwood,3.2,percentage
Taiga Shield,Forest type,Broadleaf,2.6,percentage
Taiga Shield,Forest type,Temporarily non-treed,9.1,percentage
Taiga Shield,Predominant tree genus,Spruce,91.6,percentage
Taiga Shield,Predominant tree genus,Pine,3.5,percentage
Taiga Shield,Predominant tree genus,Fir,0.4,percentage
Taiga Shield,Predominant tree genus,Larch,1.5,percentage
Taiga Shield,Predominant tree genus,Unspecified conifers,0,percentage
Taiga Shield,Predominant tree genus,Poplar,2.4,percentage
Taiga Shield,Predominant tree genus,Birch,0.4,percentage
Taiga Shield,Predominant tree genus,Maple,0,percentage
Taiga Shield,Predominant tree genus,Other hardwoods,0.1,percentage
Taiga Shield,Predominant tree genus,Unclassified,0,percentage
Taiga Shield,Land use (hectares),Agriculture,,hectares
Taiga Shield,Land use (hectares),Conservation,7502938,hectares
Taiga Shield,Land use (hectares),Forestry,49735257,hectares
Taiga Shield,Land use (hectares),Industrial,156446,hectares
Taiga Shield,Land use (hectares),Infrastructure,32375,hectares
Taiga Shield,Land use (hectares),National Defence,365848,hectares
Taiga Shield,Land use (hectares),Recreation,251841,hectares
Taiga Shield,Land use (hectares),Settlement,26406,hectares
Taiga Shield,Land use (hectares),Unknown,51895093,hectares
Taiga Shield,Land use (hectares),Total,109966203,hectares
