Terrestrial ecozone,Forest area by classification,"Area (1,000 hectares)"
Canada,Forest land,369019.352
Canada,Other land with tree cover,6830.004
Canada,Other wooded land,35730.397
Atlantic Maritime,Forest land,16688.246
Atlantic Maritime,Other land with tree cover,85.593
Atlantic Maritime,Other wooded land,312.321
Boreal Cordillera,Forest land,21451.06
Boreal Cordillera,Other land with tree cover,24.551
Boreal Cordillera,Other wooded land,3966.771
Boreal Plains,Forest land,44180.91
Boreal Plains,Other land with tree cover,3776.07
Boreal Plains,Other wooded land,3720.851
Boreal Shield,Forest land,132352.146
Boreal Shield,Other land with tree cover,833.934
Boreal Shield,Other wooded land,8060.519
Hudson Plains,Forest land,11592.206
Hudson Plains,Other land with tree cover,66.143
Hudson Plains,Other wooded land,8055.834
Mixedwood Plains,Forest land,3423.764
Mixedwood Plains,Other land with tree cover,90.236
Mixedwood Plains,Other wooded land,119.019
Montane Cordillera,Forest land,35228.025
Montane Cordillera,Other land with tree cover,217.297
Montane Cordillera,Other wooded land,711.537
Pacific Maritime,Forest land,11773.186
Pacific Maritime,Other land with tree cover,9.289
Pacific Maritime,Other wooded land,362.294
Prairies,Forest land,1530.551
Prairies,Other land with tree cover,1701.169
Prairies,Other wooded land,148.998
Taiga Cordillera,Forest land,6690.641
Taiga Cordillera,Other land with tree cover,
Taiga Cordillera,Other wooded land,1713.646
Taiga Plains,Forest land,35856.534
Taiga Plains,Other land with tree cover,5.73
Taiga Plains,Other wooded land,2648.999
Taiga Shield,Forest land,48252.084
Taiga Shield,Other land with tree cover,19.993
Taiga Shield,Other wooded land,5909.609
