Terrestrial ecozone,Land use,"Area (1,000 hectares)"
Canada,Agriculture,60018.561
Canada,Conservation,93462.126
Canada,Forestry,260903.158
Canada,Industrial,3492.333
Canada,Infrastructure,4057.163
Canada,National Defence,2268.385
Canada,Other,None
Canada,Recreation,6910.272
Canada,Settlement,4490.832
Canada,Unknown,212153.844
Atlantic Maritime,Agriculture,1450.014
Atlantic Maritime,Conservation,1698.476
Atlantic Maritime,Forestry,14728.285
Atlantic Maritime,Industrial,46.171
Atlantic Maritime,Infrastructure,534.12
Atlantic Maritime,National Defence,71.901
Atlantic Maritime,Other,None
Atlantic Maritime,Recreation,237.444
Atlantic Maritime,Settlement,282.421
Atlantic Maritime,Unknown,592.792
Boreal Cordillera,Agriculture,0
Boreal Cordillera,Conservation,6202.837
Boreal Cordillera,Forestry,603.79
Boreal Cordillera,Industrial,192.416
Boreal Cordillera,Infrastructure,33.819
Boreal Cordillera,National Defence,None
Boreal Cordillera,Other,None
Boreal Cordillera,Recreation,1.358
Boreal Cordillera,Settlement,41.364
Boreal Cordillera,Unknown,38869.555
Boreal Plains,Agriculture,12680.106
Boreal Plains,Conservation,7120.727
Boreal Plains,Forestry,39035.618
Boreal Plains,Industrial,724.735
Boreal Plains,Infrastructure,408.75
Boreal Plains,National Defence,1053.574
Boreal Plains,Other,None
Boreal Plains,Recreation,44.528
Boreal Plains,Settlement,998.501
Boreal Plains,Unknown,5036.71
Boreal Shield,Agriculture,1085.309
Boreal Shield,Conservation,31196.992
Boreal Shield,Forestry,112266.099
Boreal Shield,Industrial,1492.662
Boreal Shield,Infrastructure,1936.88
Boreal Shield,National Defence,370.845
Boreal Shield,Other,None
Boreal Shield,Recreation,4954.862
Boreal Shield,Settlement,1233.933
Boreal Shield,Unknown,9411.578
Hudson Plains,Agriculture,1.287
Hudson Plains,Conservation,20945.04
Hudson Plains,Forestry,12922.14
Hudson Plains,Industrial,31.205
Hudson Plains,Infrastructure,14.84
Hudson Plains,National Defence,None
Hudson Plains,Other,None
Hudson Plains,Recreation,None
Hudson Plains,Settlement,194.247
Hudson Plains,Unknown,451.477
Mixedwood Plains,Agriculture,5912.424
Mixedwood Plains,Conservation,367.355
Mixedwood Plains,Forestry,3382.738
Mixedwood Plains,Industrial,45.6
Mixedwood Plains,Infrastructure,579.978
Mixedwood Plains,National Defence,2.343
Mixedwood Plains,Other,None
Mixedwood Plains,Recreation,49.615
Mixedwood Plains,Settlement,589.959
Mixedwood Plains,Unknown,87.24
Montane Cordillera,Agriculture,1106.408
Montane Cordillera,Conservation,9769.146
Montane Cordillera,Forestry,17656.167
Montane Cordillera,Industrial,48.274
Montane Cordillera,Infrastructure,97.808
Montane Cordillera,National Defence,None
Montane Cordillera,Other,None
Montane Cordillera,Recreation,841.027
Montane Cordillera,Settlement,83.763
Montane Cordillera,Unknown,17877.671
Pacific Maritime,Agriculture,212.428
Pacific Maritime,Conservation,2849.944
Pacific Maritime,Forestry,3498.386
Pacific Maritime,Industrial,5.044
Pacific Maritime,Infrastructure,47.946
Pacific Maritime,National Defence,None
Pacific Maritime,Other,None
Pacific Maritime,Recreation,105.549
Pacific Maritime,Settlement,103.993
Pacific Maritime,Unknown,13498.903
Prairies,Agriculture,37563.841
Prairies,Conservation,1730.888
Prairies,Forestry,1342.654
Prairies,Industrial,738.928
Prairies,Infrastructure,358.649
Prairies,National Defence,403.876
Prairies,Other,None
Prairies,Recreation,10.399
Prairies,Settlement,932.281
Prairies,Unknown,1515.608
Taiga Cordillera,Agriculture,None
Taiga Cordillera,Conservation,2442.259
Taiga Cordillera,Forestry,None
Taiga Cordillera,Industrial,4.809
Taiga Cordillera,Infrastructure,1.899
Taiga Cordillera,National Defence,None
Taiga Cordillera,Other,None
Taiga Cordillera,Recreation,405.838
Taiga Cordillera,Settlement,None
Taiga Cordillera,Unknown,23580.134
Taiga Plains,Agriculture,6.743
Taiga Plains,Conservation,1635.525
Taiga Plains,Forestry,5732.023
Taiga Plains,Industrial,6.044
Taiga Plains,Infrastructure,10.099
Taiga Plains,National Defence,None
Taiga Plains,Other,None
Taiga Plains,Recreation,7.811
Taiga Plains,Settlement,3.962
Taiga Plains,Unknown,49337.083
Taiga Shield,Agriculture,None
Taiga Shield,Conservation,7502.938
Taiga Shield,Forestry,49735.257
Taiga Shield,Industrial,156.446
Taiga Shield,Infrastructure,32.375
Taiga Shield,National Defence,365.848
Taiga Shield,Other,None
Taiga Shield,Recreation,251.841
Taiga Shield,Settlement,26.406
Taiga Shield,Unknown,51895.093
