Terrestrial ecozone,Predominant tree genus,Percentage
Canada,Birch,0.03294685
Canada,Cedar & other conifers,0.030582828
Canada,Douglas-fir,0.037895633
Canada,Fir,0.083666221
Canada,Hemlock,0.06231167
Canada,Larch,0.015018318
Canada,Maple,0.030272531
Canada,Other hardwoods,0.005253931
Canada,Pine,0.118480416
Canada,Poplar,0.135841629
Canada,Spruce,0.439178367
Canada,Unclassified,0.000277972
Canada,Unspecified conifers,0.005674012
Canada,Unspecified hardwoods,0.002599623
Atlantic Maritime,Birch,0.080768733
Atlantic Maritime,Cedar & other conifers,0.025124399
Atlantic Maritime,Fir,0.255266623
Atlantic Maritime,Hemlock,0.003121288
Atlantic Maritime,Larch,0.008480622
Atlantic Maritime,Maple,0.214743713
Atlantic Maritime,Other hardwoods,0.005816968
Atlantic Maritime,Pine,0.024851025
Atlantic Maritime,Poplar,0.071467525
Atlantic Maritime,Spruce,0.265642296
Atlantic Maritime,Unclassified,0.001277292
Atlantic Maritime,Unspecified conifers,0.032866587
Atlantic Maritime,Unspecified hardwoods,0.010572465
Boreal Cordillera,Birch,0.010842489
Boreal Cordillera,Fir,0.109658054
Boreal Cordillera,Larch,0.000916998
Boreal Cordillera,Pine,0.251705362
Boreal Cordillera,Poplar,0.082848487
Boreal Cordillera,Spruce,0.544028253
Boreal Cordillera,Unclassified,3.58062E-07
Boreal Plains,Birch,0.014356721
Boreal Plains,Cedar & other conifers,3.24822E-05
Boreal Plains,Fir,0.002807907
Boreal Plains,Larch,0.036281103
Boreal Plains,Maple,0.000537761
Boreal Plains,Other hardwoods,0.000147975
Boreal Plains,Pine,0.139108957
Boreal Plains,Poplar,0.426308898
Boreal Plains,Spruce,0.380417641
Boreal Plains,Unclassified,0
Boreal Plains,Unspecified hardwoods,4.16439E-07
Boreal Shield,Birch,0.078836978
Boreal Shield,Cedar & other conifers,0.006457907
Boreal Shield,Fir,0.071609962
Boreal Shield,Hemlock,0.001963011
Boreal Shield,Larch,0.013661666
Boreal Shield,Maple,0.060321494
Boreal Shield,Other hardwoods,0.005363272
Boreal Shield,Pine,0.117927885
Boreal Shield,Poplar,0.122384634
Boreal Shield,Spruce,0.4987197
Boreal Shield,Unclassified,0.000686221
Boreal Shield,Unspecified conifers,0.015240655
Boreal Shield,Unspecified hardwoods,0.006826543
Hudson Plains,Birch,0.004354383
Hudson Plains,Cedar & other conifers,0.000362706
Hudson Plains,Fir,0.004598732
Hudson Plains,Larch,0.064311622
Hudson Plains,Other hardwoods,1.90898E-05
Hudson Plains,Pine,0.029075672
Hudson Plains,Poplar,0.016512676
Hudson Plains,Spruce,0.880541768
Hudson Plains,Unclassified,0
Hudson Plains,Unspecified conifers,0.000223351
Mixedwood Plains,Birch,0.02380933
Mixedwood Plains,Cedar & other conifers,0.096336651
Mixedwood Plains,Fir,0.041532722
Mixedwood Plains,Hemlock,0.012939986
Mixedwood Plains,Larch,0.013055812
Mixedwood Plains,Maple,0.4292121
Mixedwood Plains,Other hardwoods,0.137615369
Mixedwood Plains,Pine,0.069739371
Mixedwood Plains,Poplar,0.116183517
Mixedwood Plains,Spruce,0.02022076
Mixedwood Plains,Unclassified,0.003590602
Mixedwood Plains,Unspecified conifers,0.007924929
Mixedwood Plains,Unspecified hardwoods,0.027838852
Montane Cordillera,Birch,0.010204784
Montane Cordillera,Cedar & other conifers,0.030469746
Montane Cordillera,Douglas-fir,0.144652841
Montane Cordillera,Fir,0.185854414
Montane Cordillera,Hemlock,0.055851432
Montane Cordillera,Larch,0.015052686
Montane Cordillera,Other hardwoods,6.11756E-05
Montane Cordillera,Pine,0.251740969
Montane Cordillera,Poplar,0.051727965
Montane Cordillera,Spruce,0.254384337
Montane Cordillera,Unclassified,0
Pacific Maritime,Birch,0.002963699
Pacific Maritime,Cedar & other conifers,0.197018475
Pacific Maritime,Douglas-fir,0.123457041
Pacific Maritime,Fir,0.12623145
Pacific Maritime,Hemlock,0.473649604
Pacific Maritime,Maple,0.003070619
Pacific Maritime,Other hardwoods,0.018893026
Pacific Maritime,Pine,0.010919734
Pacific Maritime,Poplar,0.014753205
Pacific Maritime,Spruce,0.029040835
Pacific Maritime,Unclassified,0
Pacific Maritime,Unspecified hardwoods,2.49065E-06
Prairies,Birch,0.003213282
Prairies,Douglas-fir,0.000907455
Prairies,Fir,0.000230583
Prairies,Larch,0.000423975
Prairies,Maple,0.002647982
Prairies,Other hardwoods,0.000193392
Prairies,Pine,0.028235224
Prairies,Poplar,0.929419378
Prairies,Spruce,0.034728731
Prairies,Unclassified,0
Taiga Cordillera,Birch,0.020076107
Taiga Cordillera,Fir,0.044644029
Taiga Cordillera,Larch,0.002925438
Taiga Cordillera,Pine,0.008756735
Taiga Cordillera,Poplar,0.002989936
Taiga Cordillera,Spruce,0.920607754
Taiga Cordillera,Unclassified,0
Taiga Plains,Birch,0.020627852
Taiga Plains,Fir,0.001300253
Taiga Plains,Larch,0.013263087
Taiga Plains,Pine,0.043594196
Taiga Plains,Poplar,0.174793352
Taiga Plains,Spruce,0.746421259
Taiga Plains,Unclassified,0
Taiga Shield,Birch,0.004383573
Taiga Shield,Fir,0.004327726
Taiga Shield,Larch,0.015279073
Taiga Shield,Maple,6.4564E-07
Taiga Shield,Other hardwoods,0.001489492
Taiga Shield,Pine,0.034512046
Taiga Shield,Poplar,0.023850914
Taiga Shield,Spruce,0.916150397
Taiga Shield,Unclassified,0
Taiga Shield,Unspecified conifers,5.81076E-06
