Year,Jurisdiction,Area (hectares)
2000,Canada,5285000
2000,Alberta,2175000
2000,British Columbia,2372508
2000,Manitoba,0
2000,New Brunswick,715000
2000,Newfoundland and Labrador,0
2000,Northwest Territories,0
2000,Nova Scotia,0
2000,Nunavut,0
2000,Ontario,22154
2000,Prince Edward Island,0
2000,Quebec,0
2000,Saskatchewan,0
2000,Yukon,0
2001,Canada,17173253
2001,Alberta,3540000
2001,British Columbia,9895846
2001,Manitoba,0
2001,New Brunswick,2450000
2001,Newfoundland and Labrador,0
2001,Northwest Territories,0
2001,Nova Scotia,1260384
2001,Nunavut,0
2001,Ontario,27023
2001,Prince Edward Island,0
2001,Quebec,0
2001,Saskatchewan,0
2001,Yukon,0
2002,Canada,28220593
2002,Alberta,3540000
2002,British Columbia,14919680
2002,Manitoba,0
2002,New Brunswick,2450000
2002,Newfoundland and Labrador,0
2002,Northwest Territories,0
2002,Nova Scotia,1400384
2002,Nunavut,0
2002,Ontario,913465
2002,Prince Edward Island,0
2002,Quebec,27064
2002,Saskatchewan,4940000
2002,Yukon,0
2003,Canada,58392457
2003,Alberta,5205000
2003,British Columbia,22040841
2003,Manitoba,5770000
2003,New Brunswick,3680984
2003,Newfoundland and Labrador,180000
2003,Northwest Territories,0
2003,Nova Scotia,1635384
2003,Nunavut,0
2003,Ontario,8213184
2003,Prince Edward Island,0
2003,Quebec,5107064
2003,Saskatchewan,4940000
2003,Yukon,0
2004,Canada,86468821
2004,Alberta,12050000
2004,British Columbia,30380378
2004,Manitoba,10580000
2004,New Brunswick,4741385
2004,Newfoundland and Labrador,3790000
2004,Northwest Territories,0
2004,Nova Scotia,1252400
2004,Nunavut,0
2004,Ontario,13216438
2004,Prince Edward Island,0
2004,Quebec,6587064
2004,Saskatchewan,4940000
2004,Yukon,0
2005,Canada,119765281
2005,Alberta,17392735
2005,British Columbia,42140519
2005,Manitoba,10576341
2005,New Brunswick,3934095
2005,Newfoundland and Labrador,3792813
2005,Northwest Territories,0
2005,Nova Scotia,1732373
2005,Nunavut,0
2005,Ontario,21848689
2005,Prince Edward Island,0
2005,Quebec,11683654
2005,Saskatchewan,6664062
2005,Yukon,0
2006,Canada,123753226
2006,Alberta,17423542
2006,British Columbia,42568766
2006,Manitoba,10576341
2006,New Brunswick,4011875
2006,Newfoundland and Labrador,3687563
2006,Northwest Territories,0
2006,Nova Scotia,1732725
2006,Nunavut,0
2006,Ontario,21600640
2006,Prince Edward Island,0
2006,Quebec,15229712
2006,Saskatchewan,6922062
2006,Yukon,0
2007,Canada,137886117
2007,Alberta,17608999
2007,British Columbia,51506667
2007,Manitoba,11472909
2007,New Brunswick,4304934
2007,Newfoundland and Labrador,3687563
2007,Northwest Territories,0
2007,Nova Scotia,1413411
2007,Nunavut,0
2007,Ontario,26324043
2007,Prince Edward Island,435
2007,Quebec,17729156
2007,Saskatchewan,3838000
2007,Yukon,0
2008,Canada,145748861
2008,Alberta,21402911
2008,British Columbia,54133295
2008,Manitoba,11713509
2008,New Brunswick,4086472
2008,Newfoundland and Labrador,3739256
2008,Northwest Territories,0
2008,Nova Scotia,1615023
2008,Nunavut,0
2008,Ontario,26287730
2008,Prince Edward Island,357
2008,Quebec,18900314
2008,Saskatchewan,3869964
2008,Yukon,0
2009,Canada,142782131
2009,Alberta,19935787
2009,British Columbia,56276920
2009,Manitoba,11705655
2009,New Brunswick,4084507
2009,Newfoundland and Labrador,2061674
2009,Northwest Territories,0
2009,Nova Scotia,1332841
2009,Nunavut,0
2009,Ontario,25208308
2009,Prince Edward Island,357
2009,Quebec,20086118
2009,Saskatchewan,2089964
2009,Yukon,0
2010,Canada,149838198
2010,Alberta,17982425
2010,British Columbia,52884451
2010,Manitoba,13256131
2010,New Brunswick,3893331
2010,Newfoundland and Labrador,2061674
2010,Northwest Territories,0
2010,Nova Scotia,1609219
2010,Nunavut,0
2010,Ontario,25621769
2010,Prince Edward Island,337
