Year,Jurisdiction,Area (hectares)
2000,Canada,1076845
2000,Alberta,73488
2000,British Columbia,212563
2000,Manitoba,15633
2000,New Brunswick,113414
2000,Newfoundland and Labrador,23216
2000,Northwest Territories,3
2000,Nova Scotia,54433
2000,Nunavut,0
2000,Ontario,213260
2000,Prince Edward Island,5522
2000,Quebec,344137
2000,Saskatchewan,21169
2000,Yukon,7
2001,Canada,1042877
2001,Alberta,79357
2001,British Columbia,196613
2001,Manitoba,14849
2001,New Brunswick,103460
2001,Newfoundland and Labrador,22980
2001,Northwest Territories,2
2001,Nova Scotia,53226
2001,Nunavut,0
2001,Ontario,220607
2001,Prince Edward Island,4903
2001,Quebec,323609
2001,Saskatchewan,23222
2001,Yukon,49
2002,Canada,1052556
2002,Alberta,81965
2002,British Columbia,221525
2002,Manitoba,15042
2002,New Brunswick,98567
2002,Newfoundland and Labrador,22000
2002,Northwest Territories,9
2002,Nova Scotia,49704
2002,Nunavut,0
2002,Ontario,194941
2002,Prince Edward Island,4627
2002,Quebec,339064
2002,Saskatchewan,25070
2002,Yukon,42
2003,Canada,1039289
2003,Alberta,79707
2003,British Columbia,218315
2003,Manitoba,15584
2003,New Brunswick,99972
2003,Newfoundland and Labrador,22110
2003,Northwest Territories,31
2003,Nova Scotia,52939
2003,Nunavut,0
2003,Ontario,231217
2003,Prince Edward Island,5754
2003,Quebec,284563
2003,Saskatchewan,29053
2003,Yukon,44
2004,Canada,1054935
2004,Alberta,79979
2004,British Columbia,225300
2004,Manitoba,17528
2004,New Brunswick,98329
2004,Newfoundland and Labrador,22867
2004,Northwest Territories,51
2004,Nova Scotia,59550
2004,Nunavut,0
2004,Ontario,210226
2004,Prince Edward Island,5495
2004,Quebec,306321
2004,Saskatchewan,29241
2004,Yukon,48
2005,Canada,1114207
2005,Alberta,81889
2005,British Columbia,255012
2005,Manitoba,13648
2005,New Brunswick,92756
2005,Newfoundland and Labrador,23664
2005,Northwest Territories,141
2005,Nova Scotia,54395
