Year,Jurisdiction,Area (hectares)
2000,Canada,459872
2000,Alberta,60048
2000,British Columbia,161809
2000,Manitoba,9059
2000,New Brunswick,16529
2000,Newfoundland and Labrador,4035
2000,Northwest Territories,204
2000,Nova Scotia,10829
2000,Nunavut,0
2000,Ontario,93664
2000,Prince Edward Island,1131
2000,Quebec,89635
2000,Saskatchewan,12352
2000,Yukon,577
2001,Canada,476450
2001,Alberta,61910
2001,British Columbia,165415
2001,Manitoba,9011
2001,New Brunswick,16223
2001,Newfoundland and Labrador,4615
2001,Northwest Territories,84
2001,Nova Scotia,12480
2001,Nunavut,0
2001,Ontario,97151
2001,Prince Edward Island,1657
2001,Quebec,94861
2001,Saskatchewan,12609
2001,Yukon,434
2002,Canada,448566
2002,Alberta,56244
2002,British Columbia,153085
2002,Manitoba,8334
2002,New Brunswick,18049
2002,Newfoundland and Labrador,4831
2002,Northwest Territories,81
2002,Nova Scotia,11615
2002,Nunavut,0
2002,Ontario,93615
2002,Prince Edward Island,824
2002,Quebec,87979
2002,Saskatchewan,13599
2002,Yukon,310
2003,Canada,436873
2003,Alberta,58304
2003,British Columbia,157340
2003,Manitoba,8077
2003,New Brunswick,22968
2003,Newfoundland and Labrador,5014
2003,Northwest Territories,59
2003,Nova Scotia,13945
2003,Nunavut,0
2003,Ontario,84395
2003,Prince Edward Island,927
2003,Quebec,73701
2003,Saskatchewan,12143
2003,Yukon,0
2004,Canada,441368
2004,Alberta,60586
2004,British Columbia,153913
2004,Manitoba,6865
2004,New Brunswick,23506
2004,Newfoundland and Labrador,5816
2004,Northwest Territories,29
2004,Nova Scotia,12334
2004,Nunavut,0
2004,Ontario,86656
2004,Prince Edward Island,1040
2004,Quebec,75366
2004,Saskatchewan,15257
2004,Yukon,0
2005,Canada,473709
2005,Alberta,71967
2005,British Columbia,175054
2005,Manitoba,8450
2005,New Brunswick,23097
2005,Newfoundland and Labrador,6381
2005,Northwest Territories,19
2005,Nova Scotia,13462
2005,Nunavut,0
2005,Ontario,85862
2005,Prince Edward Island,800
2005,Quebec,72775
2005,Saskatchewan,15842
2005,Yukon,0
2006,Canada,492056
2006,Alberta,63112
2006,British Columbia,195304
2006,Manitoba,8417
2006,New Brunswick,22605
2006,Newfoundland and Labrador,5319
2006,Northwest Territories,19
2006,Nova Scotia,11487
2006,Nunavut,0
2006,Ontario,82615
2006,Prince Edward Island,696
2006,Quebec,83508
2006,Saskatchewan,18920
2006,Yukon,54
2007,Canada,492825
2007,Alberta,71682
2007,British Columbia,202696
2007,Manitoba,7001
2007,New Brunswick,22289
2007,Newfoundland and Labrador,6743
2007,Northwest Territories,7
2007,Nova Scotia,9748
2007,Nunavut,0
2007,Ontario,74861
2007,Prince Edward Island,759
2007,Quebec,81696
2007,Saskatchewan,15293
2007,Yukon,50
2008,Canada,454739
2008,Alberta,55953
2008,British Columbia,193358
2008,Manitoba,9565
2008,New Brunswick,21434
2008,Newfoundland and Labrador,6130
2008,Northwest Territories,27
2008,Nova Scotia,8345
2008,Nunavut,0
2008,Ontario,63349
2008,Prince Edward Island,570
2008,Quebec,80680
2008,Saskatchewan,15293
2008,Yukon,35
2009,Canada,405176
2009,Alberta,51141
2009,British Columbia,164104
2009,Manitoba,9565
2009,New Brunswick,20563
2009,Newfoundland and Labrador,5156
2009,Northwest Territories,27
2009,Nova Scotia,14694
2009,Nunavut,0
2009,Ontario,59335
2009,Prince Edward Island,470
2009,Quebec,78698
2009,Saskatchewan,1388
2009,Yukon,35
2010,Canada,392419
2010,Alberta,54964
2010,British Columbia,145647
2010,Manitoba,6367
2010,New Brunswick,19579
2010,Newfoundland and Labrador,5526
2010,Northwest Territories,27
2010,Nova Scotia,8883
2010,Nunavut,0
2010,Ontario,44709
2010,Prince Edward Island,283
2010,Quebec,104484
2010,Saskatchewan,1915
2010,Yukon,35
2011,Canada,379173
2011,Alberta,58659
2011,British Columbia,164570
2011,Manitoba,5057
2011,New Brunswick,18798
2011,Newfoundland and Labrador,5129
2011,Northwest Territories,27
2011,Nova Scotia,7918
2011,Nunavut,0
2011,Ontario,33162
2011,Prince Edward Island,220
2011,Quebec,82517
2011,Saskatchewan,3116
2011,Yukon,0
2012,Canada,366629
2012,Alberta,59085
2012,British Columbia,188674
2012,Manitoba,4995
2012,New Brunswick,18798
2012,Newfoundland and Labrador,4371
2012,Northwest Territories,0
