Year,Jurisdiction,Area (hectares)
2000,Canada,20136
2000,Alberta,974
2000,British Columbia,397
2000,Manitoba,550
2000,New Brunswick,0
2000,Newfoundland and Labrador,0
2000,Northwest Territories,0
2000,Nova Scotia,532
2000,Nunavut,0
2000,Ontario,17547
2000,Prince Edward Island,0
2000,Quebec,136
2000,Saskatchewan,0
2000,Yukon,0
2001,Canada,21373
2001,Alberta,1284
2001,British Columbia,113
2001,Manitoba,956
2001,New Brunswick,0
2001,Newfoundland and Labrador,0
2001,Northwest Territories,0
2001,Nova Scotia,0
2001,Nunavut,0
2001,Ontario,19020
2001,Prince Edward Island,0
2001,Quebec,0
2001,Saskatchewan,0
2001,Yukon,0
2002,Canada,18903
2002,Alberta,1443
2002,British Columbia,0
2002,Manitoba,0
2002,New Brunswick,0
2002,Newfoundland and Labrador,0
2002,Northwest Territories,0
2002,Nova Scotia,0
2002,Nunavut,0
2002,Ontario,17444
2002,Prince Edward Island,0
2002,Quebec,16
2002,Saskatchewan,0
2002,Yukon,0
2003,Canada,46076
2003,Alberta,3620
2003,British Columbia,26
2003,Manitoba,0
2003,New Brunswick,0
2003,Newfoundland and Labrador,0
2003,Northwest Territories,0
2003,Nova Scotia,0
2003,Nunavut,0
2003,Ontario,42419
2003,Prince Edward Island,0
2003,Quebec,11
2003,Saskatchewan,0
2003,Yukon,0
2004,Canada,21729
2004,Alberta,1691
2004,British Columbia,1
2004,Manitoba,0
2004,New Brunswick,0
2004,Newfoundland and Labrador,0
2004,Northwest Territories,0
2004,Nova Scotia,0
2004,Nunavut,0
2004,Ontario,19783
2004,Prince Edward Island,0
2004,Quebec,254
2004,Saskatchewan,0
2004,Yukon,0
2005,Canada,19481
2005,Alberta,960
2005,British Columbia,0
2005,Manitoba,0
2005,New Brunswick,0
2005,Newfoundland and Labrador,0
2005,Northwest Territories,0
2005,Nova Scotia,0
2005,Nunavut,0
2005,Ontario,17944
2005,Prince Edward Island,0
2005,Quebec,350
2005,Saskatchewan,227
2005,Yukon,0
2006,Canada,20500
2006,Alberta,11
2006,British Columbia,0
2006,Manitoba,0
2006,New Brunswick,0
2006,Newfoundland and Labrador,0
2006,Northwest Territories,0
2006,Nova Scotia,0
2006,Nunavut,0
2006,Ontario,19855
2006,Prince Edward Island,0
2006,Quebec,634
2006,Saskatchewan,0
2006,Yukon,0
2007,Canada,34546
2007,Alberta,775
2007,British Columbia,0
2007,Manitoba,0
2007,New Brunswick,0
2007,Newfoundland and Labrador,53
2007,Northwest Territories,0
2007,Nova Scotia,0
2007,Nunavut,0
2007,Ontario,33079
2007,Prince Edward Island,0
2007,Quebec,589
2007,Saskatchewan,0
2007,Yukon,50
2008,Canada,20623
2008,Alberta,595
2008,British Columbia,26
2008,Manitoba,314
2008,New Brunswick,0
2008,Newfoundland and Labrador,73
2008,Northwest Territories,0
2008,Nova Scotia,0
2008,Nunavut,0
2008,Ontario,18980
2008,Prince Edward Island,0
2008,Quebec,600
2008,Saskatchewan,0
2008,Yukon,35
2009,Canada,15938
2009,Alberta,1074
2009,British Columbia,1
2009,Manitoba,314
2009,New Brunswick,0
2009,Newfoundland and Labrador,0
2009,Northwest Territories,0
2009,Nova Scotia,0
2009,Nunavut,0
2009,Ontario,13949
2009,Prince Edward Island,0
2009,Quebec,600
2009,Saskatchewan,0
2009,Yukon,0
2010,Canada,12063
2010,Alberta,993
2010,British Columbia,2
2010,Manitoba,0
2010,New Brunswick,0
2010,Newfoundland and Labrador,0
2010,Northwest Territories,0
2010,Nova Scotia,0
2010,Nunavut,0
2010,Ontario,10712
