Year,Jurisdiction,Volume (cubic metres)
2000,Canada,202372324
2000,Alberta,23418265
2000,British Columbia,78457322
2000,Manitoba,2188486
2000,New Brunswick,11872453
2000,Newfoundland and Labrador,2868395
2000,Northwest Territories,19558
2000,Nova Scotia,6470221
2000,Nunavut,0
2000,Ontario,28647251
2000,Prince Edward Island,716082
2000,Quebec,43484532
2000,Saskatchewan,4197141
2000,Yukon,32618
2001,Canada,187299974
2001,Alberta,23474395
2001,British Columbia,71895565
2001,Manitoba,2078811
2001,New Brunswick,10185695
2001,Newfoundland and Labrador,2556461
2001,Northwest Territories,19339
2001,Nova Scotia,6182192
2001,Nunavut,0
2001,Ontario,25544923
2001,Prince Edward Island,625512
2001,Quebec,40578613
2001,Saskatchewan,4119457
2001,Yukon,39011
2002,Canada,198230683
2002,Alberta,24673120
2002,British Columbia,77864057
2002,Manitoba,2105962
2002,New Brunswick,9989404
2002,Newfoundland and Labrador,2561207
2002,Northwest Territories,29671
2002,Nova Scotia,6066274
2002,Nunavut,0
2002,Ontario,28430600
2002,Prince Edward Island,635016
2002,Quebec,41524562
2002,Saskatchewan,4308836
2002,Yukon,41974
2003,Canada,184272739
2003,Alberta,24228202
2003,British Columbia,65357574
2003,Manitoba,2105962
2003,New Brunswick,10788255
2003,Newfoundland and Labrador,2289138
2003,Northwest Territories,25831
2003,Nova Scotia,6085306
2003,Nunavut,0
2003,Ontario,27565749
2003,Prince Edward Island,649581
2003,Quebec,40247338
2003,Saskatchewan,4897912
2003,Yukon,31891
2004,Canada,210870752
2004,Alberta,23509548
2004,British Columbia,86997549
2004,Manitoba,2105962
2004,New Brunswick,11004084
2004,Newfoundland and Labrador,2327277
2004,Northwest Territories,26437
2004,Nova Scotia,6888524
2004,Nunavut,0
2004,Ontario,28099561
2004,Prince Edward Island,656832
2004,Quebec,43125793
2004,Saskatchewan,6102785
2004,Yukon,26400
2005,Canada,205664697
2005,Alberta,27545885
2005,British Columbia,86880467
2005,Manitoba,2497574
2005,New Brunswick,9968491
2005,Newfoundland and Labrador,2399548
2005,Northwest Territories,24243
2005,Nova Scotia,6249369
2005,Nunavut,0
2005,Ontario,25711041
2005,Prince Edward Island,569009
2005,Quebec,38464175
2005,Saskatchewan,5330495
2005,Yukon,24400
2006,Canada,185359271
2006,Alberta,25268683
2006,British Columbia,80059018
2006,Manitoba,2510692
2006,New Brunswick,10450510
2006,Newfoundland and Labrador,2049977
2006,Northwest Territories,24243
2006,Nova Scotia,5208833
2006,Nunavut,0
2006,Ontario,22089673
2006,Prince Edward Island,602379
2006,Quebec,33574839
2006,Saskatchewan,3501924
2006,Yukon,18500
2007,Canada,165920946
2007,Alberta,20512718
2007,British Columbia,75478284
2007,Manitoba,2160056
2007,New Brunswick,8943599
2007,Newfoundland and Labrador,2050389
2007,Northwest Territories,24243
2007,Nova Scotia,5259596
2007,Nunavut,0
2007,Ontario,17518886
2007,Prince Edward Island,570230
2007,Quebec,30969528
2007,Saskatchewan,2411917
2007,Yukon,21500
2008,Canada,141397484
2008,Alberta,19824086
2008,British Columbia,61858329
2008,Manitoba,2216471
2008,New Brunswick,8930707
2008,Newfoundland and Labrador,2049797
2008,Northwest Territories,23750
2008,Nova Scotia,4899407
2008,Nunavut,0
2008,Ontario,14184380
2008,Prince Edward Island,404156
2008,Quebec,25633677
2008,Saskatchewan,1353724
2008,Yukon,19000
2009,Canada,118935116
2009,Alberta,20013829
2009,British Columbia,48030843
2009,Manitoba,1284113
2009,New Brunswick,7939664
2009,Newfoundland and Labrador,2050086
2009,Northwest Territories,23750
2009,Nova Scotia,4127091
2009,Nunavut,0
2009,Ontario,11790447
2009,Prince Edward Island,404156
2009,Quebec,21469345
2009,Saskatchewan,1774792
2009,Yukon,27000
2010,Canada,144309525
2010,Alberta,21052188
2010,British Columbia,62246354
2010,Manitoba,1275343
2010,New Brunswick,9218941
2010,Newfoundland and Labrador,1501342
2010,Northwest Territories,30404
2010,Nova Scotia,4481540
2010,Nunavut,0
2010,Ontario,15287393
2010,Prince Edward Island,388364
2010,Quebec,26424372
2010,Saskatchewan,2376284
2010,Yukon,27000
2011,Canada,150707489
2011,Alberta,24886478
2011,British Columbia,69203564
2011,Manitoba,1243378
2011,New Brunswick,9231392
2011,Newfoundland and Labrador,1344421
2011,Northwest Territories,27883
2011,Nova Scotia,3903139
2011,Nunavut,0
2011,Ontario,14309538
2011,Prince Edward Island,388547
2011,Quebec,23737606
2011,Saskatchewan,2404543
2011,Yukon,27000
2012,Canada,153207519
2012,Alberta,23030991
2012,British Columbia,68831918
2012,Manitoba,1257644
2012,New Brunswick,9437285
2012,Newfoundland and Labrador,1107243
2012,Northwest Territories,10868
2012,Nova Scotia,3446993
2012,Nunavut,0
2012,Ontario,14356210
2012,Prince Edward Island,448634
2012,Quebec,28315712
2012,Saskatchewan,2937021
2012,Yukon,27000
2013,Canada,155593709
2013,Alberta,22528301
2013,British Columbia,71135020
2013,Manitoba,1267355
2013,New Brunswick,9901514
2013,Newfoundland and Labrador,1181983
2013,Northwest Territories,16750
2013,Nova Scotia,3453087
2013,Nunavut,0
2013,Ontario,15547833
2013,Prince Edward Island,360416
2013,Quebec,26383590
2013,Saskatchewan,3780610
2013,Yukon,37250
2014,Canada,154915263
2014,Alberta,23358416
2014,British Columbia,66500243
2014,Manitoba,1496007
2014,New Brunswick,10167917
2014,Newfoundland and Labrador,1695831
2014,Northwest Territories,18053
2014,Nova Scotia,3643052
2014,Nunavut,0
2014,Ontario,15714582
2014,Prince Edward Island,370923
2014,Quebec,28430256
2014,Saskatchewan,3496983
2014,Yukon,23000
2015,Canada,160055454
2015,Alberta,27794761
2015,British Columbia,67969770
2015,Manitoba,1072083
2015,New Brunswick,9362789
2015,Newfoundland and Labrador,1391537
2015,Northwest Territories,18175
2015,Nova Scotia,3748685
2015,Nunavut,0
2015,Ontario,15828853
2015,Prince Edward Island,370923
2015,Quebec,28559310
2015,Saskatchewan,3921568
2015,Yukon,17000
2016,Canada,157231709
2016,Alberta,25818477
2016,British Columbia,66379661
2016,Manitoba,1198891
2016,New Brunswick,9345246
2016,Newfoundland and Labrador,1225467
2016,Northwest Territories,32606
2016,Nova Scotia,3736468
2016,Nunavut,0
2016,Ontario,15123867
2016,Prince Edward Island,340600
2016,Quebec,30026645
2016,Saskatchewan,3985881
2016,Yukon,17900
2017,Canada,154134948
2017,Alberta,27807416
2017,British Columbia,64528326
2017,Manitoba,1350037
2017,New Brunswick,9347159
2017,Newfoundland and Labrador,1132835
2017,Northwest Territories,38847
2017,Nova Scotia,3292525
2017,Nunavut,0
2017,Ontario,15176833
2017,Prince Edward Island,342812
2017,Quebec,27078839
2017,Saskatchewan,4023574
2017,Yukon,15745
2018,Canada,156183859
2018,Alberta,27370018
2018,British Columbia,67919644
2018,Manitoba,1321436
2018,New Brunswick,9362714
2018,Newfoundland and Labrador,1266649
2018,Northwest Territories,33151
2018,Nova Scotia,3359178
2018,Nunavut,0
2018,Ontario,13803945
2018,Prince Edward Island,342449
2018,Quebec,27454570
2018,Saskatchewan,3944295
2018,Yukon,5810
2019,Canada,141729228
2019,Alberta,25092883
2019,British Columbia,54292867
2019,Manitoba,1360947
2019,New Brunswick,9341187
2019,Newfoundland and Labrador,1438225
2019,Northwest Territories,39169
2019,Nova Scotia,3314626
2019,Ontario,14792051
2019,Prince Edward Island,412627
2019,Quebec,27278197
2019,Saskatchewan,4353813
2019,Yukon,12636
2020,Canada,140164455
2020,Alberta,29734849
2020,British Columbia,51530120
2020,Manitoba,1252415
2020,New Brunswick,9337803
2020,Newfoundland and Labrador,1299627
2020,Northwest Territories,36669
2020,Nova Scotia,2499187
2020,Ontario,14025847
2020,Prince Edward Island,376251
2020,Quebec,25910000
2020,Saskatchewan,4148237
2020,Yukon,13450
2021,Canada,139104741
2021,Alberta,25237450
2021,British Columbia,52400450
2021,Manitoba,1118937
2021,New Brunswick,9337803
2021,Newfoundland and Labrador,1393346
2021,Northwest Territories,39375
2021,Nova Scotia,2629582
2021,Ontario,14167805
2021,Prince Edward Island,376633
2021,Quebec,28420000
2021,Saskatchewan,3969487
2021,Yukon,13873
2022,Canada,129961929
2022,Alberta,22383201
2022,British Columbia,47602503
2022,Manitoba,1265329
2022,New Brunswick,9337803
2022,Newfoundland and Labrador,1430232
2022,Northwest Territories,41744
2022,Nova Scotia,2310930
2022,Ontario,14167805
2022,Prince Edward Island,333479
2022,Quebec,26960000
2022,Saskatchewan,4110545
2022,Yukon,18358
2023,Canada,116809112
2023,Alberta,18575011
