Year,Jurisdiction,Export market,Value (dollars)
2000,Canada,Africa,36157187
2000,Canada,China,648839044
2000,Canada,European Union,3869675367
2000,Canada,India,172059229
2000,Canada,Japan,3535494151
2000,Canada,Middle East,256294620
2000,Canada,Oceania,227963101
2000,Canada,Other,896097955
2000,Canada,South & Central America,776179882
2000,Canada,South Korea,689817193
2000,Canada,Taiwan,339684328
2000,Canada,United States,36272393177
2001,Canada,Africa,30672286
2001,Canada,China,655770766
2001,Canada,European Union,2962037138
2001,Canada,India,166317854
2001,Canada,Japan,2792716768
2001,Canada,Middle East,262373030
2001,Canada,Oceania,133356915
2001,Canada,Other,558734377
2001,Canada,South & Central America,853170929
2001,Canada,South Korea,466961948
2001,Canada,Taiwan,269561908
2001,Canada,United States,35624431318
2002,Canada,Africa,34605910
2002,Canada,China,772944921
2002,Canada,European Union,2828561336
2002,Canada,India,154513206
2002,Canada,Japan,2510343247
2002,Canada,Middle East,216123339
2002,Canada,Oceania,171225866
2002,Canada,Other,579176841
2002,Canada,South & Central America,696160188
2002,Canada,South Korea,554610370
2002,Canada,Taiwan,253630886
2002,Canada,United States,34432478691
2003,Canada,Africa,46664672
2003,Canada,China,974656821
2003,Canada,European Union,2723126934
2003,Canada,India,239210993
2003,Canada,Japan,2209053421
2003,Canada,Middle East,245513683
2003,Canada,Oceania,187158179
2003,Canada,Other,591322111
2003,Canada,South & Central America,626834483
2003,Canada,South Korea,569480137
2003,Canada,Taiwan,301765471
2003,Canada,United States,31074654998
2004,Canada,Africa,47269879
2004,Canada,China,1185440409
2004,Canada,European Union,2570760498
2004,Canada,India,249726339
2004,Canada,Japan,2388357920
2004,Canada,Middle East,334842127
2004,Canada,Oceania,201856389
2004,Canada,Other,626047581
2004,Canada,South & Central America,718567159
2004,Canada,South Korea,540401495
2004,Canada,Taiwan,328456610
2004,Canada,United States,35596777483
2005,Canada,Africa,44436651
2005,Canada,China,1026726403
2005,Canada,European Union,2345238832
2005,Canada,India,281816282
2005,Canada,Japan,1849698763
2005,Canada,Middle East,461372924
2005,Canada,Oceania,140779368
2005,Canada,Other,548970213
2005,Canada,South & Central America,737770578
2005,Canada,South Korea,443780441
2005,Canada,Taiwan,281251735
2005,Canada,United States,33959931053
2006,Canada,Africa,68897052
2006,Canada,China,1277912428
2006,Canada,European Union,1906877965
2006,Canada,India,332259608
2006,Canada,Japan,1856010515
2006,Canada,Middle East,438783399
2006,Canada,Oceania,138776286
2006,Canada,Other,547089773
2006,Canada,South & Central America,928927505
2006,Canada,South Korea,500203162
2006,Canada,Taiwan,341124545
2006,Canada,United States,29999229440
2007,Canada,Africa,70222409
2007,Canada,China,1695345774
2007,Canada,European Union,2167194020
2007,Canada,India,278549196
2007,Canada,Japan,1509495939
2007,Canada,Middle East,565233252
2007,Canada,Oceania,173165437
2007,Canada,Other,606954018
2007,Canada,South & Central America,878556425
2007,Canada,South Korea,559659225
2007,Canada,Taiwan,345393534
2007,Canada,United States,24878507012
2008,Canada,Africa,102034252
2008,Canada,China,1659974205
2008,Canada,European Union,1838532479
2008,Canada,India,375262855
2008,Canada,Japan,1435600019
2008,Canada,Middle East,738940747
2008,Canada,Oceania,173757782
2008,Canada,Other,699682107
2008,Canada,South & Central America,961956896
2008,Canada,South Korea,498416632
2008,Canada,Taiwan,320935092
2008,Canada,United States,21389719671
2009,Canada,Africa,69919040
2009,Canada,China,1865768756
2009,Canada,European Union,1301306183
2009,Canada,India,197936750
2009,Canada,Japan,1094574667
2009,Canada,Middle East,423818490
2009,Canada,Oceania,129358793
2009,Canada,Other,514531768
2009,Canada,South & Central America,678908420
2009,Canada,South Korea,350984797
2009,Canada,Taiwan,200076216
2009,Canada,United States,16677852601
2010,Canada,Africa,77770635
2010,Canada,China,2994419713
2010,Canada,European Union,1334910079
2010,Canada,India,419706627
2010,Canada,Japan,1354930226
2010,Canada,Middle East,563148090
2010,Canada,Oceania,156785461
2010,Canada,Other,678470309
2010,Canada,South & Central America,738419443
2010,Canada,South Korea,475007321
2010,Canada,Taiwan,247050514
2010,Canada,United States,16870271682
2011,Canada,Africa,77263290
2011,Canada,China,4087514227
2011,Canada,European Union,1218283021
2011,Canada,India,402754659
2011,Canada,Japan,1394370315
2011,Canada,Middle East,503951174
2011,Canada,Oceania,165128514
2011,Canada,Other,754613690
2011,Canada,South & Central America,741596298
2011,Canada,South Korea,523719017
2011,Canada,Taiwan,275566741
2011,Canada,United States,16225361920
2012,Canada,Africa,27077735
2012,Canada,China,4096223972
2012,Canada,European Union,967543789
2012,Canada,India,338247293
2012,Canada,Japan,1324481449
2012,Canada,Middle East,348996555
2012,Canada,Oceania,147812407
