Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Canada,Exports,Primary Wood Products,Logs (cubic metres),3095881
2000,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),64612
2000,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8723185
2000,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7113947
2000,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),11902994
2000,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1471657
2000,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6931935
2000,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),1112095
2000,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),949976
2000,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),48791008
2000,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),298341756
2001,Canada,Exports,Primary Wood Products,Logs (cubic metres),3388601
2001,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),28519
2001,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8023335
2001,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6916576
2001,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),11506198
2001,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1325462
2001,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),7311173
2001,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),2336572
2001,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),1036154
2001,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),48898654
2001,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),304068835
2002,Canada,Exports,Primary Wood Products,Logs (cubic metres),4529705
2002,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),80553
2002,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8140632
2002,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),7167537
2002,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),12117438
2002,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1436471
2002,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),7481767
2002,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),1273016
