Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2000,Canada,Exports,Primary Wood Products,Logs,482583486
2000,Canada,Exports,Primary Wood Products,Pulpwood,5345182
2000,Canada,Exports,Pulp and Paper Products,Newsprint,7210037133
2000,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,7412225695
2000,Canada,Exports,Pulp and Paper Products,Wood pulp,9890681681
2000,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,694995830
2000,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2022081393
2000,Canada,Exports,Wood-Fabricated Materials,Particleboard,294133010
2000,Canada,Exports,Wood-Fabricated Materials,Plywood,550019607
2000,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,11590643605
2000,Canada,Exports,Wood-Fabricated Materials,Veneer,430858987
2001,Canada,Exports,Primary Wood Products,Logs,478409582
2001,Canada,Exports,Primary Wood Products,Pulpwood,2845506
2001,Canada,Exports,Pulp and Paper Products,Newsprint,7242802734
2001,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,7645859778
2001,Canada,Exports,Pulp and Paper Products,Wood pulp,7344881508
2001,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,636321634
2001,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1691279909
2001,Canada,Exports,Wood-Fabricated Materials,Particleboard,327255408
2001,Canada,Exports,Wood-Fabricated Materials,Plywood,585480983
2001,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,11066966161
2001,Canada,Exports,Wood-Fabricated Materials,Veneer,430096948
2002,Canada,Exports,Primary Wood Products,Logs,623653424
2002,Canada,Exports,Primary Wood Products,Pulpwood,6426207
2002,Canada,Exports,Pulp and Paper Products,Newsprint,6331184495
2002,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,7577514835
2002,Canada,Exports,Pulp and Paper Products,Wood pulp,6998821026
2002,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,643014511
2002,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,1771509237
2002,Canada,Exports,Wood-Fabricated Materials,Particleboard,321350521
2002,Canada,Exports,Wood-Fabricated Materials,Plywood,632318357
2002,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,10363161665
2002,Canada,Exports,Wood-Fabricated Materials,Veneer,452144024
2003,Canada,Exports,Primary Wood Products,Logs,547699779
2003,Canada,Exports,Primary Wood Products,Pulpwood,12280172
2003,Canada,Exports,Pulp and Paper Products,Newsprint,5644172834
2003,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,6747053196
2003,Canada,Exports,Pulp and Paper Products,Wood pulp,6874611232
2003,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber,608345285
2003,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard,2761137981
2003,Canada,Exports,Wood-Fabricated Materials,Particleboard,297635087
2003,Canada,Exports,Wood-Fabricated Materials,Plywood,577879147
2003,Canada,Exports,Wood-Fabricated Materials,Softwood lumber,8461992352
2003,Canada,Exports,Wood-Fabricated Materials,Veneer,464094919
2004,Canada,Exports,Primary Wood Products,Logs,507593901
2004,Canada,Exports,Primary Wood Products,Pulpwood,9937258
2004,Canada,Exports,Pulp and Paper Products,Newsprint,5310967683
2004,Canada,Exports,Pulp and Paper Products,Other paper and paperboard,7373143275
