Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Canada,Imports,Primary Wood Products,Logs (cubic metres),4393240
2000,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2291539
2000,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),41207
2000,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3490794
2000,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),273932
2000,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1182023
2000,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),111528
2000,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),378252
2000,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),365334
2000,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),769258
2000,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),116136538
2001,Canada,Imports,Primary Wood Products,Logs (cubic metres),4547609
2001,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2588953
2001,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),47239
2001,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2842791
2001,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),263092
2001,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1035702
2001,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),116027
2001,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),301809
2001,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),515929
2001,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),563443
2001,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),122287537
2002,Canada,Imports,Primary Wood Products,Logs (cubic metres),5071153
2002,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),2022600
2002,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),54127
2002,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2821114
2002,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),264449
2002,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1109680
2002,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),142333
2002,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),535393
2002,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),438324
2002,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),527329
2002,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),118707900
2003,Canada,Imports,Primary Wood Products,Logs (cubic metres),4896901
2003,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),1125673
2003,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),65309
2003,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2851844
2003,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),253700
2003,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1126731
2003,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),113800
2003,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),251396
2003,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),400727
2003,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),563299
2003,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),89172856
2004,Canada,Imports,Primary Wood Products,Logs (cubic metres),5243233
