Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2000,Canada,Imports,Primary Wood Products,Logs,448673564
2000,Canada,Imports,Primary Wood Products,Pulpwood,129724565
2000,Canada,Imports,Pulp and Paper Products,Newsprint,34121619
2000,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2956617038
2000,Canada,Imports,Pulp and Paper Products,Wood pulp,230331086
2000,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,596809059
2000,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,46084403
2000,Canada,Imports,Wood-Fabricated Materials,Particleboard,115826381
2000,Canada,Imports,Wood-Fabricated Materials,Plywood,164193875
2000,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,237082687
2000,Canada,Imports,Wood-Fabricated Materials,Veneer,240714896
2001,Canada,Imports,Primary Wood Products,Logs,462480504
2001,Canada,Imports,Primary Wood Products,Pulpwood,142985629
2001,Canada,Imports,Pulp and Paper Products,Newsprint,36792967
2001,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2955679957
2001,Canada,Imports,Pulp and Paper Products,Wood pulp,215607640
2001,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,533929502
2001,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,44120506
2001,Canada,Imports,Wood-Fabricated Materials,Particleboard,80733019
2001,Canada,Imports,Wood-Fabricated Materials,Plywood,155899057
2001,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,167064422
2001,Canada,Imports,Wood-Fabricated Materials,Veneer,236428155
2002,Canada,Imports,Primary Wood Products,Logs,477731716
2002,Canada,Imports,Primary Wood Products,Pulpwood,114073666
2002,Canada,Imports,Pulp and Paper Products,Newsprint,38458985
2002,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3354860211
2002,Canada,Imports,Pulp and Paper Products,Wood pulp,209120578
2002,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,575693017
2002,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,52489864
2002,Canada,Imports,Wood-Fabricated Materials,Particleboard,107603403
2002,Canada,Imports,Wood-Fabricated Materials,Plywood,194766659
2002,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,162548012
2002,Canada,Imports,Wood-Fabricated Materials,Veneer,271238838
2003,Canada,Imports,Primary Wood Products,Logs,475504588
2003,Canada,Imports,Primary Wood Products,Pulpwood,53073163
2003,Canada,Imports,Pulp and Paper Products,Newsprint,47063825
2003,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3223414392
2003,Canada,Imports,Pulp and Paper Products,Wood pulp,193052250
2003,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,583729773
2003,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,42553034
2003,Canada,Imports,Wood-Fabricated Materials,Particleboard,84466551
2003,Canada,Imports,Wood-Fabricated Materials,Plywood,183987393
2003,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,156531506
2003,Canada,Imports,Wood-Fabricated Materials,Veneer,254849560
2004,Canada,Imports,Primary Wood Products,Logs,482402388
2004,Canada,Imports,Primary Wood Products,Pulpwood,51692727
2004,Canada,Imports,Pulp and Paper Products,Newsprint,45342759
2004,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3176790987
2004,Canada,Imports,Pulp and Paper Products,Wood pulp,195341348
2004,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,576088758
2004,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,42683005
2004,Canada,Imports,Wood-Fabricated Materials,Particleboard,68275264
2004,Canada,Imports,Wood-Fabricated Materials,Plywood,244226694
2004,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,153528892
2004,Canada,Imports,Wood-Fabricated Materials,Veneer,253338089
2005,Canada,Imports,Primary Wood Products,Logs,480300714
2005,Canada,Imports,Primary Wood Products,Pulpwood,33324408
2005,Canada,Imports,Pulp and Paper Products,Newsprint,51443495
2005,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3159177851
2005,Canada,Imports,Pulp and Paper Products,Wood pulp,220468106
2005,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,516315146
2005,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,38816264
2005,Canada,Imports,Wood-Fabricated Materials,Particleboard,56086452
2005,Canada,Imports,Wood-Fabricated Materials,Plywood,214451294
2005,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,150055352
2005,Canada,Imports,Wood-Fabricated Materials,Veneer,226945714
2006,Canada,Imports,Primary Wood Products,Logs,425929880
2006,Canada,Imports,Primary Wood Products,Pulpwood,41614230
2006,Canada,Imports,Pulp and Paper Products,Newsprint,39274623
2006,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3272844148
2006,Canada,Imports,Pulp and Paper Products,Wood pulp,168941759
2006,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,476284839
2006,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,39657958
2006,Canada,Imports,Wood-Fabricated Materials,Particleboard,107275366
2006,Canada,Imports,Wood-Fabricated Materials,Plywood,242241075
2006,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,160032806
2006,Canada,Imports,Wood-Fabricated Materials,Veneer,224443146
2007,Canada,Imports,Primary Wood Products,Logs,325194728
2007,Canada,Imports,Primary Wood Products,Pulpwood,50230275
2007,Canada,Imports,Pulp and Paper Products,Newsprint,40124390
2007,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3224424165
2007,Canada,Imports,Pulp and Paper Products,Wood pulp,168168439
2007,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,421259114
2007,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,31510059
2007,Canada,Imports,Wood-Fabricated Materials,Particleboard,88397381
2007,Canada,Imports,Wood-Fabricated Materials,Plywood,267971900
2007,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,157679887
2007,Canada,Imports,Wood-Fabricated Materials,Veneer,215376137
2008,Canada,Imports,Primary Wood Products,Logs,286591771
2008,Canada,Imports,Primary Wood Products,Pulpwood,35055126
2008,Canada,Imports,Pulp and Paper Products,Newsprint,59338426
2008,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,3191058029
2008,Canada,Imports,Pulp and Paper Products,Wood pulp,184301527
2008,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,340202196
2008,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard,40221269
2008,Canada,Imports,Wood-Fabricated Materials,Particleboard,71668825
2008,Canada,Imports,Wood-Fabricated Materials,Plywood,272953607
2008,Canada,Imports,Wood-Fabricated Materials,Softwood lumber,166560349
2008,Canada,Imports,Wood-Fabricated Materials,Veneer,169908439
2009,Canada,Imports,Primary Wood Products,Logs,289074182
2009,Canada,Imports,Primary Wood Products,Pulpwood,51164940
2009,Canada,Imports,Pulp and Paper Products,Newsprint,43360553
2009,Canada,Imports,Pulp and Paper Products,Other paper and paperboard,2895907333
2009,Canada,Imports,Pulp and Paper Products,Wood pulp,164595179
2009,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber,239484833
