Year,Jurisdiction,Product,Quantity (liters)
2000,Canada,Maple products expressed as syrup,1612115
2000,New Brunswick,Maple products expressed as syrup,16520
2000,Nova Scotia,Maple products expressed as syrup,0
2000,Ontario,Maple products expressed as syrup,81718
2000,Quebec,Maple products expressed as syrup,1513877
2001,Canada,Maple products expressed as syrup,1179956
2001,New Brunswick,Maple products expressed as syrup,17401
2001,Nova Scotia,Maple products expressed as syrup,4626
2001,Ontario,Maple products expressed as syrup,48899
2001,Quebec,Maple products expressed as syrup,1109031
2002,Canada,Maple products expressed as syrup,1323789
2002,New Brunswick,Maple products expressed as syrup,32379
2002,Nova Scotia,Maple products expressed as syrup,5286
2002,Ontario,Maple products expressed as syrup,50441
2002,Quebec,Maple products expressed as syrup,1235683
2003,Canada,Maple products expressed as syrup,1552863
2003,New Brunswick,Maple products expressed as syrup,35022
2003,Nova Scotia,Maple products expressed as syrup,6608
2003,Ontario,Maple products expressed as syrup,48018
2003,Quebec,Maple products expressed as syrup,1463216
2004,Canada,Maple products expressed as syrup,1604405
2004,New Brunswick,Maple products expressed as syrup,38546
2004,Nova Scotia,Maple products expressed as syrup,4846
2004,Ontario,Maple products expressed as syrup,48018
2004,Quebec,Maple products expressed as syrup,1512996
2005,Canada,Maple products expressed as syrup,1361674
2005,New Brunswick,Maple products expressed as syrup,45374
2005,Nova Scotia,Maple products expressed as syrup,4626
2005,Ontario,Maple products expressed as syrup,48018
2005,Quebec,Maple products expressed as syrup,1263656
2006,Canada,Maple products expressed as syrup,1306828
2006,New Brunswick,Maple products expressed as syrup,55947
2006,Nova Scotia,Maple products expressed as syrup,5727
2006,Ontario,Maple products expressed as syrup,48018
2006,Quebec,Maple products expressed as syrup,1197137
2007,Canada,Maple products expressed as syrup,1185903
2007,New Brunswick,Maple products expressed as syrup,49780
2007,Nova Scotia,Maple products expressed as syrup,5947
2007,Ontario,Maple products expressed as syrup,49339
2007,Quebec,Maple products expressed as syrup,1080837
2008,Canada,Maple products expressed as syrup,1130396
2008,New Brunswick,Maple products expressed as syrup,37225
2008,Nova Scotia,Maple products expressed as syrup,4626
2008,Ontario,Maple products expressed as syrup,57709
2008,Quebec,Maple products expressed as syrup,1030837
