Year,Product,Value (dollars),Jurisdiction
2000,Gross value of maple products,182179000,Canada
2000,Gross value of maple products,3231000,New Brunswick
2000,Gross value of maple products,0,Nova Scotia
2000,Gross value of maple products,17696000,Ontario
2000,Gross value of maple products,161252000,Quebec
2001,Gross value of maple products,158555000,Canada
2001,Gross value of maple products,3396000,New Brunswick
2001,Gross value of maple products,989000,Nova Scotia
2001,Gross value of maple products,10825000,Ontario
2001,Gross value of maple products,143345000,Quebec
2002,Gross value of maple products,179035000,Canada
2002,Gross value of maple products,5849000,New Brunswick
2002,Gross value of maple products,1130000,Nova Scotia
2002,Gross value of maple products,11063000,Ontario
2002,Gross value of maple products,160993000,Quebec
2003,Gross value of maple products,208607000,Canada
2003,Gross value of maple products,6845000,New Brunswick
2003,Gross value of maple products,1395000,Nova Scotia
2003,Gross value of maple products,10750000,Ontario
2003,Gross value of maple products,189617000,Quebec
2004,Gross value of maple products,228418000,Canada
2004,Gross value of maple products,8044000,New Brunswick
2004,Gross value of maple products,1068000,Nova Scotia
2004,Gross value of maple products,10928000,Ontario
2004,Gross value of maple products,208378000,Quebec
2005,Gross value of maple products,197093000,Canada
2005,Gross value of maple products,8934000,New Brunswick
2005,Gross value of maple products,1054000,Nova Scotia
2005,Gross value of maple products,10988000,Ontario
2005,Gross value of maple products,176117000,Quebec
2006,Gross value of maple products,187745000,Canada
2006,Gross value of maple products,10878000,New Brunswick
2006,Gross value of maple products,1045000,Nova Scotia
2006,Gross value of maple products,11195000,Ontario
2006,Gross value of maple products,164627000,Quebec
2007,Gross value of maple products,176234000,Canada
2007,Gross value of maple products,10702000,New Brunswick
2007,Gross value of maple products,1067000,Nova Scotia
2007,Gross value of maple products,12088000,Ontario
2007,Gross value of maple products,152377000,Quebec
2008,Gross value of maple products,204120000,Canada
2008,Gross value of maple products,8817000,New Brunswick
2008,Gross value of maple products,915000,Nova Scotia
2008,Gross value of maple products,15469000,Ontario
2008,Gross value of maple products,178919000,Quebec
2009,Gross value of maple products,395207000,Canada
2009,Gross value of maple products,22230000,New Brunswick
2009,Gross value of maple products,1040000,Nova Scotia
2009,Gross value of maple products,25644000,Ontario
2009,Gross value of maple products,346293000,Quebec
2010,Gross value of maple products,291061000,Canada
2010,Gross value of maple products,18620000,New Brunswick
2010,Gross value of maple products,1534000,Nova Scotia
2010,Gross value of maple products,19225000,Ontario
2010,Gross value of maple products,251682000,Quebec
2011,Gross value of maple products,339154000,Canada
2011,Gross value of maple products,21728000,New Brunswick
2011,Gross value of maple products,1667000,Nova Scotia
2011,Gross value of maple products,32559000,Ontario
2011,Gross value of maple products,283200000,Quebec
2012,Gross value of maple products,305543000,Canada
2012,Gross value of maple products,20399000,New Brunswick
2012,Gross value of maple products,1400000,Nova Scotia
2012,Gross value of maple products,14544000,Ontario
2012,Gross value of maple products,269200000,Quebec
2013,Gross value of maple products,409662000,Canada
2013,Gross value of maple products,28892000,New Brunswick
2013,Gross value of maple products,2225000,Nova Scotia
2013,Gross value of maple products,30845000,Ontario
2013,Gross value of maple products,347700000,Quebec
2014,Gross value of maple products,381222000,Canada
2014,Gross value of maple products,30580000,New Brunswick
2014,Gross value of maple products,1779000,Nova Scotia
2014,Gross value of maple products,25863000,Ontario
2014,Gross value of maple products,323000000,Quebec
2015,Gross value of maple products,358242000,Canada
2015,Gross value of maple products,24415000,New Brunswick
2015,Gross value of maple products,1176000,Nova Scotia
2015,Gross value of maple products,26151000,Ontario
2015,Gross value of maple products,306500000,Quebec
2016,Gross value of maple products,484109000,Canada
2016,Gross value of maple products,22023000,New Brunswick
2016,Gross value of maple products,3200000,Nova Scotia
2016,Gross value of maple products,23286000,Ontario
2016,Gross value of maple products,435600000,Quebec
2017,Gross value of maple products,493993000,Canada
2017,Gross value of maple products,22003000,New Brunswick
2017,Gross value of maple products,2473000,Nova Scotia
2017,Gross value of maple products,24947000,Ontario
2017,Gross value of maple products,444570000,Quebec
2018,Gross value of maple products,385531000,Canada
2018,Gross value of maple products,13715000,New Brunswick
2018,Gross value of maple products,3069000,Nova Scotia
2018,Gross value of maple products,23913000,Ontario
2018,Gross value of maple products,344834000,Quebec
2019,Gross value of maple products,519083000,Canada
2019,Gross value of maple products,23217000,New Brunswick
2019,Gross value of maple products,3847000,Nova Scotia
2019,Gross value of maple products,26535000,Ontario
2019,Gross value of maple products,465484000,Quebec
2020,Gross value of maple products,562389000,Canada
2020,Gross value of maple products,20630000,New Brunswick
2020,Gross value of maple products,2850000,Nova Scotia
2020,Gross value of maple products,25759000,Ontario
2020,Gross value of maple products,513150000,Quebec
2021,Gross value of maple products,453035000,Canada
2021,Gross value of maple products,31665000,New Brunswick
2021,Gross value of maple products,1953000,Nova Scotia
2021,Gross value of maple products,26231000,Ontario
2021,Gross value of maple products,393186000,Quebec
2022,Gross value of maple products,700677000,Canada
2022,Gross value of maple products,33005000,New Brunswick
2022,Gross value of maple products,0,Nova Scotia
2022,Gross value of maple products,31672000,Ontario
2022,Gross value of maple products,636000000,Quebec
2023,Gross value of maple products,442770000,Canada
2023,Gross value of maple products,20756000,New Brunswick
2023,Gross value of maple products,0,Nova Scotia
2023,Gross value of maple products,28614000,Ontario
2023,Gross value of maple products,393400000,Quebec
2024,Gross value of maple products,837325000,Canada
2024,Gross value of maple products,51973000,New Brunswick
2024,Gross value of maple products,2255000,Nova Scotia
2024,Gross value of maple products,33097000,Ontario
2024,Gross value of maple products,750000000,Quebec
