Year,Jurisdiction,Commodity,Trade type,Quantity
2000,Canada,Maple sugar (metric tonnes),Exports,248
2000,Canada,Maple sugar (metric tonnes),Imports,4
2000,Canada,Maple syrup (liters),Exports,19101807
2000,Canada,Maple syrup (liters),Imports,357094
2001,Canada,Maple sugar (metric tonnes),Exports,112
2001,Canada,Maple sugar (metric tonnes),Imports,16
2001,Canada,Maple syrup (liters),Exports,20912239
2001,Canada,Maple syrup (liters),Imports,609360
2002,Canada,Maple sugar (metric tonnes),Exports,259
2002,Canada,Maple sugar (metric tonnes),Imports,36
2002,Canada,Maple syrup (liters),Exports,22722837
2002,Canada,Maple syrup (liters),Imports,623038
2003,Canada,Maple sugar (metric tonnes),Exports,206
2003,Canada,Maple sugar (metric tonnes),Imports,14
2003,Canada,Maple syrup (liters),Exports,22513917
2003,Canada,Maple syrup (liters),Imports,641331
2004,Canada,Maple sugar (metric tonnes),Exports,305
2004,Canada,Maple sugar (metric tonnes),Imports,13
2004,Canada,Maple syrup (liters),Exports,23336867
2004,Canada,Maple syrup (liters),Imports,1006331
2005,Canada,Maple sugar (metric tonnes),Exports,243
2005,Canada,Maple sugar (metric tonnes),Imports,38
2005,Canada,Maple syrup (liters),Exports,24479653
2005,Canada,Maple syrup (liters),Imports,854997
2006,Canada,Maple sugar (metric tonnes),Exports,383
2006,Canada,Maple sugar (metric tonnes),Imports,24
2006,Canada,Maple syrup (liters),Exports,27000235
2006,Canada,Maple syrup (liters),Imports,1080064
2007,Canada,Maple sugar (metric tonnes),Exports,493
2007,Canada,Maple sugar (metric tonnes),Imports,3
2007,Canada,Maple syrup (liters),Exports,30440366
2007,Canada,Maple syrup (liters),Imports,329451
2008,Canada,Maple sugar (metric tonnes),Exports,428
2008,Canada,Maple sugar (metric tonnes),Imports,25
2008,Canada,Maple syrup (liters),Exports,25605019
2008,Canada,Maple syrup (liters),Imports,718177
2009,Canada,Maple sugar (metric tonnes),Exports,400
2009,Canada,Maple sugar (metric tonnes),Imports,148
2009,Canada,Maple syrup (liters),Exports,25586426
2009,Canada,Maple syrup (liters),Imports,1229635
2010,Canada,Maple sugar (metric tonnes),Exports,348
2010,Canada,Maple sugar (metric tonnes),Imports,4
2010,Canada,Maple syrup (liters),Exports,24416107
2010,Canada,Maple syrup (liters),Imports,1116675
2011,Canada,Maple sugar (metric tonnes),Exports,302
2011,Canada,Maple sugar (metric tonnes),Imports,15
2011,Canada,Maple syrup (liters),Exports,25208268
2011,Canada,Maple syrup (liters),Imports,1420095
2012,Canada,Maple sugar (metric tonnes),Exports,409
2012,Canada,Maple sugar (metric tonnes),Imports,31
2012,Canada,Maple syrup (liters),Exports,25860477
2012,Canada,Maple syrup (liters),Imports,1086487
2013,Canada,Maple sugar (metric tonnes),Exports,577
2013,Canada,Maple sugar (metric tonnes),Imports,15
2013,Canada,Maple syrup (liters),Exports,27153482
2013,Canada,Maple syrup (liters),Imports,1422217
2014,Canada,Maple sugar (metric tonnes),Exports,457
2014,Canada,Maple sugar (metric tonnes),Imports,79
2014,Canada,Maple syrup (liters),Exports,28726207
2014,Canada,Maple syrup (liters),Imports,1563553
2015,Canada,Maple sugar (metric tonnes),Exports,351
2015,Canada,Maple sugar (metric tonnes),Imports,139
2015,Canada,Maple syrup (liters),Exports,31696895
2015,Canada,Maple syrup (liters),Imports,1598930
2016,Canada,Maple sugar (metric tonnes),Exports,506
2016,Canada,Maple sugar (metric tonnes),Imports,67
2016,Canada,Maple syrup (liters),Exports,33778467
2016,Canada,Maple syrup (liters),Imports,2624203
2017,Canada,Maple sugar (metric tonnes),Exports,1066
2017,Canada,Maple sugar (metric tonnes),Imports,59
2017,Canada,Maple syrup (liters),Exports,33964346
2017,Canada,Maple syrup (liters),Imports,2194522
2018,Canada,Maple sugar (metric tonnes),Exports,829
2018,Canada,Maple sugar (metric tonnes),Imports,111
2018,Canada,Maple syrup (liters),Exports,36025554
2018,Canada,Maple syrup (liters),Imports,1815043
2019,Canada,Maple sugar (metric tonnes),Exports,756
2019,Canada,Maple sugar (metric tonnes),Imports,49
2019,Canada,Maple syrup (liters),Exports,37851950
2019,Canada,Maple syrup (liters),Imports,1927249
2020,Canada,Maple sugar (metric tonnes),Exports,1324
2020,Canada,Maple sugar (metric tonnes),Imports,8
2020,Canada,Maple syrup (liters),Exports,45502776
2020,Canada,Maple syrup (liters),Imports,1981105
2021,Canada,Maple sugar (metric tonnes),Exports,3552
2021,Canada,Maple sugar (metric tonnes),Imports,12
2021,Canada,Maple syrup (liters),Exports,52873605
2021,Canada,Maple syrup (liters),Imports,1426368
2022,Canada,Maple sugar (metric tonnes),Exports,2929
2022,Canada,Maple sugar (metric tonnes),Imports,23
2022,Canada,Maple syrup (liters),Exports,50544831
2022,Canada,Maple syrup (liters),Imports,2185707
2023,Canada,Maple sugar (metric tonnes),Exports,1702
2023,Canada,Maple sugar (metric tonnes),Imports,27
2023,Canada,Maple syrup (liters),Exports,48078120
2023,Canada,Maple syrup (liters),Imports,2034125
2024,Canada,Maple sugar (metric tonnes),Exports,849
2024,Canada,Maple sugar (metric tonnes),Imports,22
2024,Canada,Maple syrup (liters),Exports,53125088
2024,Canada,Maple syrup (liters),Imports,3369512
