Year,Jurisdiction,Commodity Group,Domestic consumption
2000,Canada,Hardwood lumber (cubic metres),1282366
2000,Canada,Softwood lumber (cubic metres),27191250
2000,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",2280182
2000,Canada,Total graphic paper (tonnes),4210321
2000,Canada,Wood pulp (tonnes),15241938
2001,Canada,Hardwood lumber (cubic metres),1308240
2001,Canada,Softwood lumber (cubic metres),23700789
2001,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",2274265
2001,Canada,Total graphic paper (tonnes),3695818
2001,Canada,Wood pulp (tonnes),13625894
2002,Canada,Hardwood lumber (cubic metres),1524209
2002,Canada,Softwood lumber (cubic metres),28510843
2002,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",2419172
2002,Canada,Total graphic paper (tonnes),3257086
2002,Canada,Wood pulp (tonnes),13668011
2003,Canada,Hardwood lumber (cubic metres),1560024
2003,Canada,Softwood lumber (cubic metres),27254936
2003,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",2654840
2003,Canada,Total graphic paper (tonnes),3049211
2003,Canada,Wood pulp (tonnes),14690492
2004,Canada,Hardwood lumber (cubic metres),2691259
2004,Canada,Softwood lumber (cubic metres),28347773
2004,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3391553
2004,Canada,Total graphic paper (tonnes),3547640
2004,Canada,Wood pulp (tonnes),15001287
2005,Canada,Hardwood lumber (cubic metres),2234427
2005,Canada,Softwood lumber (cubic metres),26734946
2005,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3132891
2005,Canada,Total graphic paper (tonnes),3288312
2005,Canada,Wood pulp (tonnes),14968420
2006,Canada,Hardwood lumber (cubic metres),2006172
2006,Canada,Softwood lumber (cubic metres),27234707
2006,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3460645
2006,Canada,Total graphic paper (tonnes),2913176
2006,Canada,Wood pulp (tonnes),12854187
2007,Canada,Hardwood lumber (cubic metres),2207239
2007,Canada,Softwood lumber (cubic metres),26326449
2007,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3931113
2007,Canada,Total graphic paper (tonnes),3080871
2007,Canada,Wood pulp (tonnes),12195218
2008,Canada,Hardwood lumber (cubic metres),2122346
2008,Canada,Softwood lumber (cubic metres),23942515
2008,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4846209
2008,Canada,Total graphic paper (tonnes),2395848
2008,Canada,Wood pulp (tonnes),11079340
2009,Canada,Hardwood lumber (cubic metres),1719323
2009,Canada,Softwood lumber (cubic metres),19235402
2009,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",3396574
2009,Canada,Total graphic paper (tonnes),2400234
2009,Canada,Wood pulp (tonnes),9061581
2010,Canada,Hardwood lumber (cubic metres),2758963
2010,Canada,Softwood lumber (cubic metres),22762033
2010,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4713032
2010,Canada,Total graphic paper (tonnes),2221614
2010,Canada,Wood pulp (tonnes),9446433
2011,Canada,Hardwood lumber (cubic metres),1973855
2011,Canada,Softwood lumber (cubic metres),19728538
2011,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",5349631
2011,Canada,Total graphic paper (tonnes),2014667
2011,Canada,Wood pulp (tonnes),8833399
2012,Canada,Hardwood lumber (cubic metres),2028707
2012,Canada,Softwood lumber (cubic metres),21736796
2012,Canada,"Structural panels (plywood and oriented strandboard), (cubic metres)",4767455
2012,Canada,Total graphic paper (tonnes),1934568
