Année,Mesure,Valeur
2000,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.96
2000,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2001,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.95
2001,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2002,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.96
2002,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2003,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.99
2003,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2004,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.93
2004,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2005,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.89
2005,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2006,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.92
2006,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2007,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.88
2007,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2008,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.82
2008,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2009,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.79
2009,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2010,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.73
2010,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",16
2011,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.68
2011,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2012,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.63
2012,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2013,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.57
2013,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2014,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.52
2014,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2015,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.48
2015,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2016,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.43
2016,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2017,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.38
2017,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2018,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.32
2018,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2019,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.29
2019,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2020,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.24
2020,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
2021,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.17
2021,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2022,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.13
2022,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",18
2023,"Élimination de CO2 de l'atmosphère due au reboisement (CO2e/an, mégatonnes)",0.13
2023,"Émissions totales dues à la déforestation (CO2e/an, mégatonnes)",17
