Année,Mesure,Valeur
2000,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",70.2
2000,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",-97.0
2000,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",-26.8
2000,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",201.7
2001,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",47.3
2001,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",-60.0
2001,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",-12.7
2001,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",183.3
2002,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",59.2
2002,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",56.0
2002,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",115.2
2002,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",194.3
2003,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",52.5
2003,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",27.0
2003,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",79.5
2003,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",179.7
2004,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",79.9
2004,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",100.0
2004,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",179.9
2004,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",205.3
2005,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",82.8
2005,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",17.0
2005,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",99.8
2005,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",198.0
2006,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",66.4
2006,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",46.0
2006,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",112.4
2006,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",183.3
2007,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",59.2
2007,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",59.0
2007,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",118.2
2007,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",165.0
2008,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",53.3
2008,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",9.4
2008,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",62.7
2008,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143.0
2009,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",41.2
2009,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",32.0
2009,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",73.2
2009,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",121.0
2010,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",55.7
2010,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",86.0
2010,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",141.7
2010,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143.0
2011,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",50.6
2011,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",120.0
2011,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",170.6
2011,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",150.3
2012,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",44.1
2012,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",90.0
2012,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",134.1
2012,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154.0
2013,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",46.5
2013,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",27.0
2013,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",73.5
2013,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154.0
2014,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",43.1
2014,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",160.0
2014,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",203.1
2014,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",154.0
2015,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",46.9
2015,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",250.0
2015,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",296.9
2015,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",161.3
2016,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",36.8
2016,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",86.0
2016,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",122.8
2016,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.7
2017,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",35.2
2017,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",220.0
2017,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",255.2
2017,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.7
2018,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",38.2
2018,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",250.0
2018,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",288.2
2018,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",157.7
2019,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",24.6
2019,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",160.0
2019,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",184.6
2019,"Transferts du secteur forestier aménagé au secteur des produits forestiers en raison de la récolte et de la collecte de bois de chauffage (CO2e/an, mégatonnes)",143.0
2020,"Émissions ou absorptions nettes dues aux activités de gestion forestière humaine et aux produits du bois récoltés (CO2e/an, mégatonnes)",32.7
2020,"Émissions ou absorptions nettes dues aux perturbations naturelles (CO2e/an, mégatonnes)",4.2
2020,"Émissions ou absorptions nettes totales dans l'atmosphère, toutes causes confondues (CO2e/an, mégatonnes)",36.9
