Année,Juridiction,Origine,Superficie (en hectare),Nombre
2000,Alberta,Activité humaine,8658,366
2000,Alberta,Foudre,16575,481
2000,Alberta,Indéterminée,19,17
2001,Alberta,Activité humaine,139800,485
2001,Alberta,Foudre,27108,516
2001,Alberta,Indéterminée,78,23
2002,Alberta,Activité humaine,248041,589
2002,Alberta,Foudre,252498,886
2002,Alberta,Brûlage dirigé,7,1
2002,Alberta,Indéterminée,8,17
2003,Alberta,Activité humaine,39243,672
2003,Alberta,Foudre,145144,563
2003,Alberta,Indéterminée,19958,22
2004,Alberta,Activité humaine,6649,877
2004,Alberta,Foudre,425626,788
2004,Alberta,Brûlage dirigé,0,1
2004,Alberta,Rebrûlage,41,6
2004,Alberta,Indéterminée,9,11
2005,Alberta,Activité humaine,12715,914
2005,Alberta,Foudre,79604,471
2005,Alberta,Brûlage dirigé,4,2
2005,Alberta,Rebrûlage,0,3
2005,Alberta,Indéterminée,45,35
2006,Alberta,Activité humaine,23935,1223
2006,Alberta,Foudre,106317,797
2006,Alberta,Brûlage dirigé,2,7
2006,Alberta,Rebrûlage,33,22
2006,Alberta,Indéterminée,6024,58
2007,Alberta,Activité humaine,1766,821
2007,Alberta,Foudre,324225,530
2007,Alberta,Rebrûlage,1,8
2007,Alberta,Indéterminée,2,19
2008,Alberta,Activité humaine,10673,905
2008,Alberta,Foudre,22869,826
2008,Alberta,Brûlage dirigé,2914,11
2008,Alberta,Rebrûlage,8,9
2008,Alberta,Indéterminée,71,44
2009,Alberta,Activité humaine,22239,1056
2009,Alberta,Foudre,67111,588
2009,Alberta,Brûlage dirigé,5171,13
2009,Alberta,Rebrûlage,6,9
2009,Alberta,Indéterminée,31,49
2010,Alberta,Activité humaine,2271,1119
2010,Alberta,Foudre,84448,778
2010,Alberta,Brûlage dirigé,11,3
2010,Alberta,Rebrûlage,139,12
2010,Alberta,Indéterminée,83,37
2011,Alberta,Activité humaine,142950,928
2011,Alberta,Foudre,97628,232
2011,Alberta,Brûlage dirigé,1423,13
