Année,Juridiction,Insecte espèce,Superficie défoliée (hectares)
2010,Canada,Noctuelle décolorée,92
2010,Canada,Diprion du sapin,51309
2010,Canada,"Tordeuse à tête noire de l'Ouest",93241
2010,Canada,Arpenteuse de Bruce,1725779
2010,Canada,Livrée des forêts,220651
2010,Canada,Arpenteuse de la pruche,18448
2010,Canada,Tordeuse du pin gris,44968
2010,Canada,Tordeuse du tremble,17154
2010,Canada,Dendroctone du pin ponderosa,6251586
2010,Canada,Spongieuse,0
2010,Canada,"Dendroctone de l'épinette",66267
2010,Canada,"Tordeuse des bourgeons de l'épinette",1510074
2010,Canada,Diprion de Swaine,0
2010,Canada,Tordeuse bisannuelle de l’épinette,97084
2010,Canada,"Tordeuse occidentale de l'épinette",503014
2011,Canada,Noctuelle décolorée,1482
2011,Canada,Diprion du sapin,58637
2011,Canada,"Tordeuse à tête noire de l'Ouest",41112
2011,Canada,Arpenteuse de Bruce,9302
2011,Canada,Livrée des forêts,594647
2011,Canada,Arpenteuse de la pruche,20157
2011,Canada,Tordeuse du pin gris,27765
2011,Canada,Tordeuse du tremble,89908
2011,Canada,Dendroctone du pin ponderosa,4624907
2011,Canada,Spongieuse,0
2011,Canada,"Dendroctone de l'épinette",61774
2011,Canada,"Tordeuse des bourgeons de l'épinette",1492829
2011,Canada,Diprion de Swaine,787
2011,Canada,Tordeuse bisannuelle de l’épinette,178206
2011,Canada,"Tordeuse occidentale de l'épinette",623426
2012,Canada,Noctuelle décolorée,174655
2012,Canada,Diprion du sapin,46236
2012,Canada,"Tordeuse à tête noire de l'Ouest",36249
2012,Canada,Arpenteuse de Bruce,0
2012,Canada,Livrée des forêts,729874
2012,Canada,Arpenteuse de la pruche,13876
2012,Canada,Tordeuse du pin gris,61018
2012,Canada,Tordeuse du tremble,8123
2012,Canada,Dendroctone du pin ponderosa,3016228
2012,Canada,Spongieuse,8128
2012,Canada,"Dendroctone de l'épinette",43195
2012,Canada,"Tordeuse des bourgeons de l'épinette",1792062
2012,Canada,Diprion de Swaine,0
2012,Canada,Tordeuse bisannuelle de l’épinette,74891
2012,Canada,"Tordeuse occidentale de l'épinette",456745
2013,Canada,Noctuelle décolorée,2140673
2013,Canada,Diprion du sapin,1492
2013,Canada,"Tordeuse à tête noire de l'Ouest",30700
2013,Canada,Arpenteuse de Bruce,5066
2013,Canada,Livrée des forêts,7464898
2013,Canada,Arpenteuse de la pruche,19045
2013,Canada,Tordeuse du pin gris,92176
2013,Canada,Tordeuse du tremble,9104
2013,Canada,Dendroctone du pin ponderosa,2973935
2013,Canada,Spongieuse,8452
2013,Canada,"Dendroctone de l'épinette",26601
2013,Canada,"Tordeuse des bourgeons de l'épinette",2777998
2013,Canada,Diprion de Swaine,0
2013,Canada,Tordeuse bisannuelle de l’épinette,88760
2013,Canada,"Tordeuse occidentale de l'épinette",128037
2014,Canada,Noctuelle décolorée,749
2014,Canada,Diprion du sapin,0
2014,Canada,"Tordeuse à tête noire de l'Ouest",4238
2014,Canada,Arpenteuse de Bruce,27
2014,Canada,Livrée des forêts,5903787
2014,Canada,Arpenteuse de la pruche,17998
2014,Canada,Tordeuse du pin gris,26356
2014,Canada,Tordeuse du tremble,999365
2014,Canada,Dendroctone du pin ponderosa,2208687
2014,Canada,Spongieuse,23335
2014,Canada,"Dendroctone de l'épinette",336396
2014,Canada,"Tordeuse des bourgeons de l'épinette",3583700
2014,Canada,Diprion de Swaine,0
2014,Canada,Tordeuse bisannuelle de l’épinette,164979
2014,Canada,"Tordeuse occidentale de l'épinette",44608
2015,Canada,Noctuelle décolorée,536
2015,Canada,Diprion du sapin,0
2015,Canada,"Tordeuse à tête noire de l'Ouest",301
2015,Canada,Arpenteuse de Bruce,26016
2015,Canada,Livrée des forêts,4842411
2015,Canada,Arpenteuse de la pruche,9079
2015,Canada,Tordeuse du pin gris,24634
2015,Canada,Tordeuse du tremble,142933
2015,Canada,Dendroctone du pin ponderosa,1447954
2015,Canada,Spongieuse,2529
2015,Canada,"Dendroctone de l'épinette",242344
2015,Canada,"Tordeuse des bourgeons de l'épinette",5236622
2015,Canada,Diprion de Swaine,0
2015,Canada,Tordeuse bisannuelle de l’épinette,0
2015,Canada,"Tordeuse occidentale de l'épinette",9135
2016,Canada,Noctuelle décolorée,18786
2016,Canada,Diprion du sapin,591
2016,Canada,"Tordeuse à tête noire de l'Ouest",211
2016,Canada,Arpenteuse de Bruce,241
2016,Canada,Livrée des forêts,4013544
2016,Canada,Arpenteuse de la pruche,3897
2016,Canada,Tordeuse du pin gris,206850
2016,Canada,Tordeuse du tremble,257685
2016,Canada,Dendroctone du pin ponderosa,376669
2016,Canada,Spongieuse,0
2016,Canada,"Dendroctone de l'épinette",291972
2016,Canada,"Tordeuse des bourgeons de l'épinette",4973225
2016,Canada,Diprion de Swaine,0
2016,Canada,Tordeuse bisannuelle de l’épinette,160143
2016,Canada,"Tordeuse occidentale de l'épinette",3426
2017,Canada,Noctuelle décolorée,0
2017,Canada,Diprion du sapin,270
2017,Canada,"Tordeuse à tête noire de l'Ouest",0
2017,Canada,Arpenteuse de Bruce,4456
2017,Canada,Livrée des forêts,4168452
2017,Canada,Arpenteuse de la pruche,1443
2017,Canada,Tordeuse du pin gris,748880
2017,Canada,Tordeuse du tremble,399831
2017,Canada,Dendroctone du pin ponderosa,332259
2017,Canada,Spongieuse,21714
2017,Canada,"Dendroctone de l'épinette",505021
2017,Canada,"Tordeuse des bourgeons de l'épinette",5519445
2017,Canada,Diprion de Swaine,0
2017,Canada,Tordeuse bisannuelle de l’épinette,376100
2017,Canada,"Tordeuse occidentale de l'épinette",704
2018,Canada,Noctuelle décolorée,0
2018,Canada,Diprion du sapin,31
2018,Canada,"Tordeuse à tête noire de l'Ouest",0
2018,Canada,Arpenteuse de Bruce,1317041
2018,Canada,Livrée des forêts,1572977
2018,Canada,Arpenteuse de la pruche,343
2018,Canada,Tordeuse du pin gris,1185431
2018,Canada,Tordeuse du tremble,550665
2018,Canada,Dendroctone du pin ponderosa,318796
2018,Canada,Spongieuse,14932
2018,Canada,"Dendroctone de l'épinette",343751
2018,Canada,"Tordeuse des bourgeons de l'épinette",5992213
2018,Canada,Diprion de Swaine,0
2018,Canada,Tordeuse bisannuelle de l’épinette,0
2018,Canada,"Tordeuse occidentale de l'épinette",22634
2019,Canada,Noctuelle décolorée,130776
2019,Canada,Diprion du sapin,25
2019,Canada,"Tordeuse à tête noire de l'Ouest",370
2019,Canada,Arpenteuse de Bruce,751
2019,Canada,Livrée des forêts,211154
2019,Canada,Arpenteuse de la pruche,0
2019,Canada,Tordeuse du pin gris,2068390
2019,Canada,Tordeuse du tremble,22057
2019,Canada,Dendroctone du pin ponderosa,357049
2019,Canada,Spongieuse,47433
2019,Canada,"Dendroctone de l'épinette",518410
2019,Canada,"Tordeuse des bourgeons de l'épinette",5536467
2019,Canada,Diprion de Swaine,0
2019,Canada,Tordeuse bisannuelle de l’épinette,130205
2019,Canada,"Tordeuse occidentale de l'épinette",0
2020,Canada,Noctuelle décolorée,157816
2020,Canada,Diprion du sapin,55
2020,Canada,"Tordeuse à tête noire de l'Ouest",0
2020,Canada,Arpenteuse de Bruce,277391
2020,Canada,Livrée des forêts,89607
2020,Canada,Arpenteuse de la pruche,159
2020,Canada,Tordeuse du pin gris,3665327
2020,Canada,Tordeuse du tremble,396538
2020,Canada,Dendroctone du pin ponderosa,189600
2020,Canada,Spongieuse,583158
2020,Canada,"Dendroctone de l'épinette",528124
2020,Canada,"Tordeuse des bourgeons de l'épinette",6987016
2020,Canada,Diprion de Swaine,0
2020,Canada,Tordeuse bisannuelle de l’épinette,62711
2020,Canada,"Tordeuse occidentale de l'épinette",13981
2021,Canada,Noctuelle décolorée,224107
2021,Canada,Diprion du sapin,0
2021,Canada,"Tordeuse à tête noire de l'Ouest",217
2021,Canada,Arpenteuse de Bruce,0
2021,Canada,Livrée des forêts,71801
2021,Canada,Arpenteuse de la pruche,799
2021,Canada,Tordeuse du pin gris,2407838
2021,Canada,Tordeuse du tremble,382166
2021,Canada,Dendroctone du pin ponderosa,96289
2021,Canada,Spongieuse,1780000
2021,Canada,"Dendroctone de l'épinette",475039
2021,Canada,"Tordeuse des bourgeons de l'épinette",5178648
2021,Canada,Diprion de Swaine,0
2021,Canada,Tordeuse bisannuelle de l’épinette,310976
2021,Canada,"Tordeuse occidentale de l'épinette",0
2022,Canada,Noctuelle décolorée,34860
2022,Canada,Diprion du sapin,0
2022,Canada,"Tordeuse à tête noire de l'Ouest",19103
2022,Canada,Arpenteuse de Bruce,0
2022,Canada,Livrée des forêts,414053
2022,Canada,Arpenteuse de la pruche,37639
2022,Canada,Tordeuse du pin gris,819071
2022,Canada,Tordeuse du tremble,125185
2022,Canada,Dendroctone du pin ponderosa,59801
2022,Canada,Spongieuse,57078
2022,Canada,"Dendroctone de l'épinette",144407
2022,Canada,"Tordeuse des bourgeons de l'épinette",6816144
2022,Canada,Diprion de Swaine,0
2022,Canada,Tordeuse bisannuelle de l’épinette,60585
2022,Canada,"Tordeuse occidentale de l'épinette",141611
2023,Canada,Noctuelle décolorée,53346
2023,Canada,Diprion du sapin,0
2023,Canada,"Tordeuse à tête noire de l'Ouest",22155
2023,Canada,Arpenteuse de Bruce,0
2023,Canada,Livrée des forêts,564170
2023,Canada,Arpenteuse de la pruche,68192
2023,Canada,Tordeuse du pin gris,789156
2023,Canada,Tordeuse du tremble,45135
2023,Canada,Dendroctone du pin ponderosa,44779
2023,Canada,Spongieuse,2542
2023,Canada,"Dendroctone de l'épinette",96605
2023,Canada,"Tordeuse des bourgeons de l'épinette",5900893
2023,Canada,Diprion de Swaine,0
2023,Canada,Tordeuse bisannuelle de l’épinette,284756
2023,Canada,"Tordeuse occidentale de l'épinette",319397
2010,Alberta,Noctuelle décolorée,0
2010,Alberta,Diprion du sapin,0
2010,Alberta,"Tordeuse à tête noire de l'Ouest",0
2010,Alberta,Arpenteuse de Bruce,50765
2010,Alberta,Livrée des forêts,10333
2010,Alberta,Arpenteuse de la pruche,0
2010,Alberta,Tordeuse du pin gris,0
2010,Alberta,Tordeuse du tremble,1560
2010,Alberta,Dendroctone du pin ponderosa,0
2010,Alberta,Spongieuse,0
2010,Alberta,"Dendroctone de l'épinette",0
2010,Alberta,"Tordeuse des bourgeons de l'épinette",269365
2010,Alberta,Diprion de Swaine,0
2010,Alberta,Tordeuse bisannuelle de l’épinette,0
2010,Alberta,"Tordeuse occidentale de l'épinette",2893
2011,Alberta,Noctuelle décolorée,0
2011,Alberta,Diprion du sapin,0
2011,Alberta,"Tordeuse à tête noire de l'Ouest",0
2011,Alberta,Arpenteuse de Bruce,259
2011,Alberta,Livrée des forêts,79387
2011,Alberta,Arpenteuse de la pruche,0
2011,Alberta,Tordeuse du pin gris,0
2011,Alberta,Tordeuse du tremble,0
2011,Alberta,Dendroctone du pin ponderosa,0
2011,Alberta,Spongieuse,0
2011,Alberta,"Dendroctone de l'épinette",0
2011,Alberta,"Tordeuse des bourgeons de l'épinette",35403
2011,Alberta,Diprion de Swaine,0
2011,Alberta,Tordeuse bisannuelle de l’épinette,0
2011,Alberta,"Tordeuse occidentale de l'épinette",6914
2012,Alberta,Noctuelle décolorée,0
2012,Alberta,Diprion du sapin,0
2012,Alberta,"Tordeuse à tête noire de l'Ouest",0
2012,Alberta,Arpenteuse de Bruce,0
2012,Alberta,Livrée des forêts,495726
2012,Alberta,Arpenteuse de la pruche,0
2012,Alberta,Tordeuse du pin gris,0
2012,Alberta,Tordeuse du tremble,462
2012,Alberta,Dendroctone du pin ponderosa,0
2012,Alberta,Spongieuse,0
2012,Alberta,"Dendroctone de l'épinette",0
2012,Alberta,"Tordeuse des bourgeons de l'épinette",28530
2012,Alberta,Diprion de Swaine,0
2012,Alberta,Tordeuse bisannuelle de l’épinette,0
2012,Alberta,"Tordeuse occidentale de l'épinette",0
2013,Alberta,Noctuelle décolorée,2118223
2013,Alberta,Diprion du sapin,0
2013,Alberta,"Tordeuse à tête noire de l'Ouest",0
2013,Alberta,Arpenteuse de Bruce,5061
2013,Alberta,Livrée des forêts,6473001
2013,Alberta,Arpenteuse de la pruche,0
2013,Alberta,Tordeuse du pin gris,0
2013,Alberta,Tordeuse du tremble,1820
2013,Alberta,Dendroctone du pin ponderosa,0
2013,Alberta,Spongieuse,0
2013,Alberta,"Dendroctone de l'épinette",0
2013,Alberta,"Tordeuse des bourgeons de l'épinette",37076
2013,Alberta,Diprion de Swaine,0
2013,Alberta,Tordeuse bisannuelle de l’épinette,0
2013,Alberta,"Tordeuse occidentale de l'épinette",0
2014,Alberta,Noctuelle décolorée,0
2014,Alberta,Diprion du sapin,0
2014,Alberta,"Tordeuse à tête noire de l'Ouest",0
2014,Alberta,Arpenteuse de Bruce,0
2014,Alberta,Livrée des forêts,3567254
2014,Alberta,Arpenteuse de la pruche,0
2014,Alberta,Tordeuse du pin gris,0
2014,Alberta,Tordeuse du tremble,1389
2014,Alberta,Dendroctone du pin ponderosa,0
2014,Alberta,Spongieuse,0
2014,Alberta,"Dendroctone de l'épinette",0
2014,Alberta,"Tordeuse des bourgeons de l'épinette",44387
2014,Alberta,Diprion de Swaine,0
2014,Alberta,Tordeuse bisannuelle de l’épinette,0
2014,Alberta,"Tordeuse occidentale de l'épinette",0
2015,Alberta,Noctuelle décolorée,536
2015,Alberta,Diprion du sapin,0
2015,Alberta,"Tordeuse à tête noire de l'Ouest",0
2015,Alberta,Arpenteuse de Bruce,3564
2015,Alberta,Livrée des forêts,1586486
2015,Alberta,Arpenteuse de la pruche,0
2015,Alberta,Tordeuse du pin gris,0
2015,Alberta,Tordeuse du tremble,54444
2015,Alberta,Dendroctone du pin ponderosa,1121477
2015,Alberta,Spongieuse,0
2015,Alberta,"Dendroctone de l'épinette",1405
2015,Alberta,"Tordeuse des bourgeons de l'épinette",51750
2015,Alberta,Diprion de Swaine,0
2015,Alberta,Tordeuse bisannuelle de l’épinette,0
2015,Alberta,"Tordeuse occidentale de l'épinette",0
2016,Alberta,Noctuelle décolorée,18786
2016,Alberta,Diprion du sapin,0
2016,Alberta,"Tordeuse à tête noire de l'Ouest",0
2016,Alberta,Arpenteuse de Bruce,0
2016,Alberta,Livrée des forêts,525135
2016,Alberta,Arpenteuse de la pruche,0
2016,Alberta,Tordeuse du pin gris,0
2016,Alberta,Tordeuse du tremble,213316
2016,Alberta,Dendroctone du pin ponderosa,198963
2016,Alberta,Spongieuse,0
2016,Alberta,"Dendroctone de l'épinette",10465
2016,Alberta,"Tordeuse des bourgeons de l'épinette",19265
2016,Alberta,Diprion de Swaine,0
2016,Alberta,Tordeuse bisannuelle de l’épinette,0
2016,Alberta,"Tordeuse occidentale de l'épinette",0
2017,Alberta,Noctuelle décolorée,0
2017,Alberta,Diprion du sapin,0
2017,Alberta,"Tordeuse à tête noire de l'Ouest",0
2017,Alberta,Arpenteuse de Bruce,0
2017,Alberta,Livrée des forêts,593986
2017,Alberta,Arpenteuse de la pruche,0
2017,Alberta,Tordeuse du pin gris,0
2017,Alberta,Tordeuse du tremble,294123
2017,Alberta,Dendroctone du pin ponderosa,213170
2017,Alberta,Spongieuse,0
2017,Alberta,"Dendroctone de l'épinette",3138
2017,Alberta,"Tordeuse des bourgeons de l'épinette",17337
2017,Alberta,Diprion de Swaine,0
2017,Alberta,Tordeuse bisannuelle de l’épinette,0
2017,Alberta,"Tordeuse occidentale de l'épinette",0
2018,Alberta,Noctuelle décolorée,0
2018,Alberta,Diprion du sapin,0
2018,Alberta,"Tordeuse à tête noire de l'Ouest",0
2018,Alberta,Arpenteuse de Bruce,0
2018,Alberta,Livrée des forêts,273281
2018,Alberta,Arpenteuse de la pruche,0
2018,Alberta,Tordeuse du pin gris,1217
2018,Alberta,Tordeuse du tremble,508812
2018,Alberta,Dendroctone du pin ponderosa,205015
2018,Alberta,Spongieuse,0
2018,Alberta,"Dendroctone de l'épinette",2145
2018,Alberta,"Tordeuse des bourgeons de l'épinette",30446
2018,Alberta,Diprion de Swaine,0
2018,Alberta,Tordeuse bisannuelle de l’épinette,0
2018,Alberta,"Tordeuse occidentale de l'épinette",0
2019,Alberta,Noctuelle décolorée,130776
2019,Alberta,Diprion du sapin,0
2019,Alberta,"Tordeuse à tête noire de l'Ouest",0
2019,Alberta,Arpenteuse de Bruce,0
2019,Alberta,Livrée des forêts,127286
2019,Alberta,Arpenteuse de la pruche,0
2019,Alberta,Tordeuse du pin gris,0
2019,Alberta,Tordeuse du tremble,1770
2019,Alberta,Dendroctone du pin ponderosa,178909
2019,Alberta,Spongieuse,0
2019,Alberta,"Dendroctone de l'épinette",1762
2019,Alberta,"Tordeuse des bourgeons de l'épinette",47213
2019,Alberta,Diprion de Swaine,0
2019,Alberta,Tordeuse bisannuelle de l’épinette,0
2019,Alberta,"Tordeuse occidentale de l'épinette",0
2020,Alberta,Noctuelle décolorée,157816
2020,Alberta,Diprion du sapin,0
2020,Alberta,"Tordeuse à tête noire de l'Ouest",0
2020,Alberta,Arpenteuse de Bruce,277391
2020,Alberta,Livrée des forêts,77518
2020,Alberta,Arpenteuse de la pruche,0
2020,Alberta,Tordeuse du pin gris,0
2020,Alberta,Tordeuse du tremble,96839
2020,Alberta,Dendroctone du pin ponderosa,77637
2020,Alberta,Spongieuse,0
2020,Alberta,"Dendroctone de l'épinette",2853
2020,Alberta,"Tordeuse des bourgeons de l'épinette",65719
2020,Alberta,Diprion de Swaine,0
2020,Alberta,Tordeuse bisannuelle de l’épinette,0
2020,Alberta,"Tordeuse occidentale de l'épinette",0
2021,Alberta,Noctuelle décolorée,33757
2021,Alberta,Diprion du sapin,0
2021,Alberta,"Tordeuse à tête noire de l'Ouest",0
2021,Alberta,Arpenteuse de Bruce,0
2021,Alberta,Livrée des forêts,86
2021,Alberta,Arpenteuse de la pruche,0
2021,Alberta,Tordeuse du pin gris,0
2021,Alberta,Tordeuse du tremble,116532
2021,Alberta,Dendroctone du pin ponderosa,23051
2021,Alberta,Spongieuse,0
2021,Alberta,"Dendroctone de l'épinette",2095
2021,Alberta,"Tordeuse des bourgeons de l'épinette",100443
2021,Alberta,Diprion de Swaine,0
2021,Alberta,Tordeuse bisannuelle de l’épinette,927
2021,Alberta,"Tordeuse occidentale de l'épinette",0
2022,Alberta,Noctuelle décolorée,34860
2022,Alberta,Diprion du sapin,0
2022,Alberta,"Tordeuse à tête noire de l'Ouest",0
2022,Alberta,Arpenteuse de Bruce,0
2022,Alberta,Livrée des forêts,0
2022,Alberta,Arpenteuse de la pruche,0
2022,Alberta,Tordeuse du pin gris,0
2022,Alberta,Tordeuse du tremble,109407
2022,Alberta,Dendroctone du pin ponderosa,8981
2022,Alberta,Spongieuse,0
2022,Alberta,"Dendroctone de l'épinette",182
2022,Alberta,"Tordeuse des bourgeons de l'épinette",68069
2022,Alberta,Diprion de Swaine,0
2022,Alberta,Tordeuse bisannuelle de l’épinette,0
2022,Alberta,"Tordeuse occidentale de l'épinette",0
2023,Alberta,Noctuelle décolorée,53346
2023,Alberta,Diprion du sapin,0
2023,Alberta,"Tordeuse à tête noire de l'Ouest",0
2023,Alberta,Arpenteuse de Bruce,0
2023,Alberta,Livrée des forêts,0
2023,Alberta,Arpenteuse de la pruche,0
2023,Alberta,Tordeuse du pin gris,0
