Année,Juridiction,Industrie,PIB nominal (1 000 dollars),PIB réel (1 000 dollars)
2000,Canada,Total des industries forestières,30741000,29465166
2000,Canada,Foresterie et exploitation forestière,4735000,5224000
2000,Canada,Fabrication des produits de pâtes et papiers,13823000,13664083
2000,Canada,Fabrication de produits en bois,12183000,10577083
2001,Canada,Total des industries forestières,28796000,28406000
2001,Canada,Foresterie et exploitation forestière,4326000,5233000
2001,Canada,Fabrication des produits de pâtes et papiers,13145000,13117917
2001,Canada,Fabrication de produits en bois,11325000,10055083
2002,Canada,Total des industries forestières,28539000,30471084
2002,Canada,Foresterie et exploitation forestière,4877000,5410167
2002,Canada,Fabrication des produits de pâtes et papiers,11554000,13820917
2002,Canada,Fabrication de produits en bois,12108000,11240000
2003,Canada,Total des industries forestières,26516000,30342917
2003,Canada,Foresterie et exploitation forestière,4470000,5208917
2003,Canada,Fabrication des produits de pâtes et papiers,10366000,13810000
2003,Canada,Fabrication de produits en bois,11680000,11324000
2004,Canada,Total des industries forestières,29890000,31181916
2004,Canada,Foresterie et exploitation forestière,4960000,5496000
2004,Canada,Fabrication des produits de pâtes et papiers,10656000,13870083
2004,Canada,Fabrication de produits en bois,14274000,11815833
2005,Canada,Total des industries forestières,28590000,32017000
2005,Canada,Foresterie et exploitation forestière,4968000,5572917
2005,Canada,Fabrication des produits de pâtes et papiers,10615000,13747000
2005,Canada,Fabrication de produits en bois,13007000,12697083
2006,Canada,Total des industries forestières,26219000,30245084
2006,Canada,Foresterie et exploitation forestière,4771000,5337000
2006,Canada,Fabrication des produits de pâtes et papiers,10163000,12313167
2006,Canada,Fabrication de produits en bois,11285000,12594917
2007,Canada,Total des industries forestières,23463000,28337833
2007,Canada,Foresterie et exploitation forestière,4457000,4864833
2007,Canada,Fabrication des produits de pâtes et papiers,9304000,11952000
2007,Canada,Fabrication de produits en bois,9702000,11521000
2008,Canada,Total des industries forestières,20905000,25849834
2008,Canada,Foresterie et exploitation forestière,4096000,4546000
2008,Canada,Fabrication des produits de pâtes et papiers,8832000,11065917
2008,Canada,Fabrication de produits en bois,7977000,10237917
2009,Canada,Total des industries forestières,17321000,21008000
2009,Canada,Foresterie et exploitation forestière,3502000,3587000
2009,Canada,Fabrication des produits de pâtes et papiers,7711000,9030000
2009,Canada,Fabrication de produits en bois,6108000,8391000
2010,Canada,Total des industries forestières,19038000,22776667
2010,Canada,Foresterie et exploitation forestière,3642000,4144917
2010,Canada,Fabrication des produits de pâtes et papiers,8583000,9807917
2010,Canada,Fabrication de produits en bois,6813000,8823833
2011,Canada,Total des industries forestières,18557000,23056249
2011,Canada,Foresterie et exploitation forestière,3850000,4560083
2011,Canada,Fabrication des produits de pâtes et papiers,8178000,9447083
2011,Canada,Fabrication de produits en bois,6529000,9049083
2012,Canada,Total des industries forestières,18805000,22755833
2012,Canada,Foresterie et exploitation forestière,3937000,4471917
2012,Canada,Fabrication des produits de pâtes et papiers,7466000,8882833
2012,Canada,Fabrication de produits en bois,7402000,9401083
2013,Canada,Total des industries forestières,19595000,23170751
2013,Canada,Foresterie et exploitation forestière,3391000,4598917
2013,Canada,Fabrication des produits de pâtes et papiers,7419000,8501917
2013,Canada,Fabrication de produits en bois,8785000,10069917
2014,Canada,Total des industries forestières,20379000,24124166
2014,Canada,Foresterie et exploitation forestière,3728000,4783083
2014,Canada,Fabrication des produits de pâtes et papiers,7927000,9001000
2014,Canada,Fabrication de produits en bois,8724000,10340083
2015,Canada,Total des industries forestières,21527000,24879667
2015,Canada,Foresterie et exploitation forestière,3985000,4838917
2015,Canada,Fabrication des produits de pâtes et papiers,8581000,9366917
2015,Canada,Fabrication de produits en bois,8961000,10673833
2016,Canada,Total des industries forestières,22683000,25030916
2016,Canada,Foresterie et exploitation forestière,4086000,4579083
2016,Canada,Fabrication des produits de pâtes et papiers,8607000,9122000
2016,Canada,Fabrication de produits en bois,9990000,11329833
2017,Canada,Total des industries forestières,24474000,24473000
2017,Canada,Foresterie et exploitation forestière,4515000,4515000
2017,Canada,Fabrication des produits de pâtes et papiers,8837000,8837000
2017,Canada,Fabrication de produits en bois,11122000,11121000
2018,Canada,Total des industries forestières,27147000,24304000
2018,Canada,Foresterie et exploitation forestière,4816000,4683000
2018,Canada,Fabrication des produits de pâtes et papiers,10469000,8617000
2018,Canada,Fabrication de produits en bois,11862000,11004000
2019,Canada,Total des industries forestières,22830000,23025000
2019,Canada,Foresterie et exploitation forestière,4278000,4056000
2019,Canada,Fabrication des produits de pâtes et papiers,9217000,7980000
2019,Canada,Fabrication de produits en bois,9335000,10989000
2020,Canada,Total des industries forestières,24029000,21439000
2020,Canada,Foresterie et exploitation forestière,4035000,3702000
2020,Canada,Fabrication des produits de pâtes et papiers,8112000,7315000
2020,Canada,Fabrication de produits en bois,11882000,10422000
2021,Canada,Total des industries forestières,36531000,23073000
2021,Canada,Foresterie et exploitation forestière,5983000,4127000
2021,Canada,Fabrication des produits de pâtes et papiers,9034000,7708000
2021,Canada,Fabrication de produits en bois,21514000,11238000
2022,Canada,Total des industries forestières,39017764,23309000
2022,Canada,Foresterie et exploitation forestière,6852644,3811000
2022,Canada,Fabrication des produits de pâtes et papiers,10394736,7760000
2022,Canada,Fabrication de produits en bois,21770384,11738000
2023,Canada,Total des industries forestières,31071929,21902000
2023,Canada,Foresterie et exploitation forestière,5300653,3518000
2023,Canada,Fabrication des produits de pâtes et papiers,9977335,7341000
2023,Canada,Fabrication de produits en bois,15793940,11043000
2024,Canada,Total des industries forestières,30741174,21528000
2024,Canada,Foresterie et exploitation forestière,4832685,3450000
2024,Canada,Fabrication des produits de pâtes et papiers,9450493,6833000
2024,Canada,Fabrication de produits en bois,16457996,11245000
