Année,Juridiction,"Mises en chantier (total d'unités)"
2000,Canada,151653
2000,Alberta,26266
2000,Colombie-Britannique,14418
2000,Manitoba,2560
2000,Nouveau-Brunswick,3079
2000,Terre-Neuve-et-Labrador,1459
2000,Nouvelle-Écosse,4432
2000,Ontario,71521
2000,Île-du-Prince-Édouard,710
2000,Québec,24695
2000,Saskatchewan,2513
2001,Canada,162733
2001,Alberta,29174
2001,Colombie-Britannique,17234
2001,Manitoba,2963
2001,Nouveau-Brunswick,3462
2001,Terre-Neuve-et-Labrador,1788
2001,Nouvelle-Écosse,4092
2001,Ontario,73282
2001,Île-du-Prince-Édouard,675
2001,Québec,27682
2001,Saskatchewan,2381
2002,Canada,205034
2002,Alberta,38754
2002,Colombie-Britannique,21625
2002,Manitoba,3617
2002,Nouveau-Brunswick,3862
2002,Terre-Neuve-et-Labrador,2419
2002,Nouvelle-Écosse,4970
2002,Ontario,83597
2002,Île-du-Prince-Édouard,775
2002,Québec,42452
2002,Saskatchewan,2963
2003,Canada,218426
2003,Alberta,36171
2003,Colombie-Britannique,26174
2003,Manitoba,4206
2003,Nouveau-Brunswick,4489
2003,Terre-Neuve-et-Labrador,2692
2003,Nouvelle-Écosse,5096
2003,Ontario,85180
2003,Île-du-Prince-Édouard,814
2003,Québec,50289
2003,Saskatchewan,3315
2004,Canada,233431
2004,Alberta,36270
2004,Colombie-Britannique,32925
2004,Manitoba,4440
2004,Nouveau-Brunswick,3947
2004,Terre-Neuve-et-Labrador,2870
2004,Nouvelle-Écosse,4717
2004,Ontario,85114
2004,Île-du-Prince-Édouard,919
2004,Québec,58448
2004,Saskatchewan,3781
2005,Canada,225481
2005,Alberta,40847
2005,Colombie-Britannique,34667
2005,Manitoba,4731
2005,Nouveau-Brunswick,3959
2005,Terre-Neuve-et-Labrador,2498
2005,Nouvelle-Écosse,4775
2005,Ontario,78795
2005,Île-du-Prince-Édouard,862
2005,Québec,50910
2005,Saskatchewan,3437
2006,Canada,227395
2006,Alberta,48962
2006,Colombie-Britannique,36443
2006,Manitoba,5028
2006,Nouveau-Brunswick,4085
2006,Terre-Neuve-et-Labrador,2234
2006,Nouvelle-Écosse,4896
2006,Ontario,73417
2006,Île-du-Prince-Édouard,738
2006,Québec,47877
2006,Saskatchewan,3715
2007,Canada,228343
2007,Alberta,48336
2007,Colombie-Britannique,39195
2007,Manitoba,5738
2007,Nouveau-Brunswick,4242
2007,Terre-Neuve-et-Labrador,2649
2007,Nouvelle-Écosse,4750
2007,Ontario,68123
2007,Île-du-Prince-Édouard,750
2007,Québec,48553
2007,Saskatchewan,6007
2008,Canada,211056
2008,Alberta,29164
2008,Colombie-Britannique,34321
2008,Manitoba,5537
2008,Nouveau-Brunswick,4274
2008,Terre-Neuve-et-Labrador,3261
2008,Nouvelle-Écosse,3982
2008,Ontario,75076
2008,Île-du-Prince-Édouard,712
2008,Québec,47901
2008,Saskatchewan,6828
2009,Canada,149081
2009,Alberta,20298
2009,Colombie-Britannique,16077
2009,Manitoba,4174
2009,Nouveau-Brunswick,3521
2009,Terre-Neuve-et-Labrador,3057
2009,Nouvelle-Écosse,3438
2009,Ontario,50370
2009,Île-du-Prince-Édouard,877
2009,Québec,43403
2009,Saskatchewan,3866
2010,Canada,189930
2010,Alberta,27088
2010,Colombie-Britannique,26479
2010,Manitoba,5888
2010,Nouveau-Brunswick,4101
2010,Terre-Neuve-et-Labrador,3606
2010,Nouvelle-Écosse,4309
2010,Ontario,60433
2010,Île-du-Prince-Édouard,756
2010,Québec,51363
2010,Saskatchewan,5907
2011,Canada,193950
2011,Alberta,25704
2011,Colombie-Britannique,26400
2011,Manitoba,6083
2011,Nouveau-Brunswick,3452
2011,Terre-Neuve-et-Labrador,3488
2011,Nouvelle-Écosse,4644
2011,Ontario,67821
2011,Île-du-Prince-Édouard,940
2011,Québec,48387
2011,Saskatchewan,7031
2012,Canada,214827
2012,Alberta,33396
2012,Colombie-Britannique,27465
2012,Manitoba,7242
2012,Nouveau-Brunswick,3299
2012,Terre-Neuve-et-Labrador,3885
2012,Nouvelle-Écosse,4522
