Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2012,Canada,Enregistrement,Exploitation forestière totale,8565752
2012,Alberta,Enregistrement,Exploitation forestière totale,850368
2012,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4022676
2012,Manitoba,Enregistrement,Exploitation forestière totale,42355
2012,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,485510
2012,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,50863
2012,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2012,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,129609
2012,Ontario,Enregistrement,Exploitation forestière totale,944999
2012,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,0
2012,Québec,Enregistrement,Exploitation forestière totale,1945115
2012,Saskatchewan,Enregistrement,Exploitation forestière totale,89660
2012,Yukon,Enregistrement,Exploitation forestière totale,0
2013,Canada,Enregistrement,Exploitation forestière totale,8928442
2013,Alberta,Enregistrement,Exploitation forestière totale,816119
2013,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4540123
2013,Manitoba,Enregistrement,Exploitation forestière totale,55399
2013,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,457765
2013,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,0
2013,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2013,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,105861
2013,Ontario,Enregistrement,Exploitation forestière totale,919396
2013,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,7402
2013,Québec,Enregistrement,Exploitation forestière totale,1851280
2013,Saskatchewan,Enregistrement,Exploitation forestière totale,111260
2013,Yukon,Enregistrement,Exploitation forestière totale,0
2014,Canada,Enregistrement,Exploitation forestière totale,9199638
2014,Alberta,Enregistrement,Exploitation forestière totale,851102
2014,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4726700
2014,Manitoba,Enregistrement,Exploitation forestière totale,59788
2014,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,503947
2014,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,68959
2014,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,0
2014,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,107221
2014,Nunavut,Enregistrement,Exploitation forestière totale,9
2014,Ontario,Enregistrement,Exploitation forestière totale,918693
2014,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,7440
2014,Québec,Enregistrement,Exploitation forestière totale,1838277
2014,Saskatchewan,Enregistrement,Exploitation forestière totale,116590
2014,Yukon,Enregistrement,Exploitation forestière totale,872
2015,Canada,Enregistrement,Exploitation forestière totale,9381792
2015,Alberta,Enregistrement,Exploitation forestière totale,909723
2015,Colombie-Britannique,Enregistrement,Exploitation forestière totale,4564266
2015,Manitoba,Enregistrement,Exploitation forestière totale,56666
2015,Nouveau-Brunswick,Enregistrement,Exploitation forestière totale,566071
2015,Terre-Neuve-et-Labrador,Enregistrement,Exploitation forestière totale,75824
2015,Territoires du Nord-Ouest,Enregistrement,Exploitation forestière totale,51
2015,Nouvelle-Écosse,Enregistrement,Exploitation forestière totale,121183
2015,Nunavut,Enregistrement,Exploitation forestière totale,17
2015,Ontario,Enregistrement,Exploitation forestière totale,1028681
2015,Île-du-Prince-Édouard,Enregistrement,Exploitation forestière totale,10210
2015,Québec,Enregistrement,Exploitation forestière totale,1930347
2015,Saskatchewan,Enregistrement,Exploitation forestière totale,117828
