Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2012,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,23245171
2012,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,7883666
2012,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,15361505
2012,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4409563
2012,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,310294
2012,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4099269
2012,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,6560327
2012,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,4256421
2012,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2303906
2012,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7772005
2012,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,2540298
2012,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5231707
2012,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2012,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2012,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2012,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,23165414
2013,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,8686178
2013,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,14479236
2013,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4344425
2013,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,317746
2013,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4026679
2013,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,6633799
2013,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,4573100
2013,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2060699
2013,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7602144
2013,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,2749285
2013,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4852859
2013,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Saskatchewan,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2013,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2013,Yukon,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2013,Yukon,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Canada,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,25352934
2014,Canada,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,10249217
2014,Canada,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,15103717
2014,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Alberta,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Alberta,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,4621031
2014,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,514377
2014,Colombie-Britannique,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,4106654
2014,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Manitoba,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Manitoba,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,1742610
2014,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,503268
2014,Nouveau-Brunswick,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,1239342
2014,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Terre-Neuve-et-Labrador,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Territoires du Nord-Ouest,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Nouvelle-Écosse,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Nunavut,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Nunavut,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7964163
2014,Ontario,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,5822405
2014,Ontario,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,2141758
2014,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
2014,Île-du-Prince-Édouard,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,0
2014,Québec,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,7899096
2014,Québec,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,2706860
2014,Québec,Fabrication de produits à base de pâte et de papier,Usines de pâtes et papiers et de carton,5192236
2014,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication totale de pâtes et de produits de papier,0
2014,Saskatchewan,Fabrication de produits à base de pâte et de papier,Fabrication de produits de papier transformé,0
