Année,Juridiction,Industrie,Produit,Valeur (1 000 dollars)
2012,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,35913360
2012,Canada,Fabrication de produits en bois,Scieries et préservation du bois,19994364
2012,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",9175566
2012,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,6743430
2012,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,4822706
2012,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,2436648
2012,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1461518
2012,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,924540
2012,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,13783007
2012,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,10030392
2012,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2384716
2012,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,1367899
2012,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,209212
2012,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",209212
2012,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,247838
2012,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2012,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,247838
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,97940
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,49626
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",33190
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,15124
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,141016
2012,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",141016
2012,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Nunavut,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2012,Nunavut,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Nunavut,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2012,Nunavut,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Ontario,Fabrication de produits en bois,Fabrication totale de produits du bois,4654371
2012,Ontario,Fabrication de produits en bois,Scieries et préservation du bois,1568328
2012,Ontario,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1659046
2012,Ontario,Fabrication de produits en bois,Autres fabrications de produits du bois,1426997
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Québec,Fabrication de produits en bois,Fabrication totale de produits du bois,9099314
2012,Québec,Fabrication de produits en bois,Scieries et préservation du bois,4162588
2012,Québec,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2546294
2012,Québec,Fabrication de produits en bois,Autres fabrications de produits du bois,2390432
2012,Saskatchewan,Fabrication de produits en bois,Fabrication totale de produits du bois,474596
2012,Saskatchewan,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Saskatchewan,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",474596
2012,Saskatchewan,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2012,Yukon,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2012,Yukon,Fabrication de produits en bois,Scieries et préservation du bois,0
2012,Yukon,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2012,Yukon,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Canada,Fabrication de produits en bois,Fabrication totale de produits du bois,43054043
2013,Canada,Fabrication de produits en bois,Scieries et préservation du bois,24963756
2013,Canada,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",10729014
2013,Canada,Fabrication de produits en bois,Autres fabrications de produits du bois,7361273
2013,Alberta,Fabrication de produits en bois,Fabrication totale de produits du bois,6093246
2013,Alberta,Fabrication de produits en bois,Scieries et préservation du bois,3156482
2013,Alberta,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",1815992
2013,Alberta,Fabrication de produits en bois,Autres fabrications de produits du bois,1120772
2013,Colombie-Britannique,Fabrication de produits en bois,Fabrication totale de produits du bois,16954097
2013,Colombie-Britannique,Fabrication de produits en bois,Scieries et préservation du bois,12508896
2013,Colombie-Britannique,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",2641152
2013,Colombie-Britannique,Fabrication de produits en bois,Autres fabrications de produits du bois,1804049
2013,Manitoba,Fabrication de produits en bois,Fabrication totale de produits du bois,277540
2013,Manitoba,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Manitoba,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",277540
2013,Manitoba,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Nouveau-Brunswick,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Nouveau-Brunswick,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Nouveau-Brunswick,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Nouveau-Brunswick,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,Autres fabrications de produits du bois,0
2013,Nouvelle-Écosse,Fabrication de produits en bois,Fabrication totale de produits du bois,0
2013,Nouvelle-Écosse,Fabrication de produits en bois,Scieries et préservation du bois,0
2013,Nouvelle-Écosse,Fabrication de produits en bois,"Placage, contreplaqué et produits de bois d'ingénierie",0
2013,Nouvelle-Écosse,Fabrication de produits en bois,Autres fabrications de produits du bois,0
