Année,Juridiction,Secteur,Employé(e)s
2001,Canada,Foresterie et exploitation forestière,48766
2001,Canada,Fabrication du papier,103703
2001,Canada,Activités de soutien à la foresterie,19383
2001,Canada,Fabrication de produits en bois,136903
2001,Alberta,Foresterie et exploitation forestière,2633
2001,Alberta,Fabrication du papier,3817
2001,Alberta,Activités de soutien à la foresterie,1091
2001,Alberta,Fabrication de produits en bois,11224
2001,Colombie-Britannique,Foresterie et exploitation forestière,17385
2001,Colombie-Britannique,Fabrication du papier,15026
2001,Colombie-Britannique,Activités de soutien à la foresterie,8794
2001,Colombie-Britannique,Fabrication de produits en bois,37590
2001,Manitoba,Foresterie et exploitation forestière,0
2001,Manitoba,Fabrication du papier,2005
2001,Manitoba,Activités de soutien à la foresterie,0
2001,Manitoba,Fabrication de produits en bois,4563
2001,Nouveau-Brunswick,Foresterie et exploitation forestière,3198
2001,Nouveau-Brunswick,Fabrication du papier,7389
2001,Nouveau-Brunswick,Activités de soutien à la foresterie,835
2001,Nouveau-Brunswick,Fabrication de produits en bois,7051
2001,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,1109
2001,Terre-Neuve-et-Labrador,Fabrication du papier,0
2001,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,618
2001,Terre-Neuve-et-Labrador,Fabrication de produits en bois,780
2001,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2001,Territoires du Nord-Ouest,Fabrication du papier,0
2001,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2001,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2001,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2001,Nouvelle-Écosse,Fabrication du papier,2689
2001,Nouvelle-Écosse,Activités de soutien à la foresterie,0
2001,Nouvelle-Écosse,Fabrication de produits en bois,3004
2001,Nunavut,Foresterie et exploitation forestière,0
2001,Nunavut,Fabrication du papier,0
2001,Nunavut,Activités de soutien à la foresterie,0
2001,Nunavut,Fabrication de produits en bois,0
2001,Ontario,Foresterie et exploitation forestière,7209
2001,Ontario,Fabrication du papier,35814
2001,Ontario,Activités de soutien à la foresterie,914
2001,Ontario,Fabrication de produits en bois,28752
2001,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2001,Île-du-Prince-Édouard,Fabrication du papier,0
2001,Île-du-Prince-Édouard,Activités de soutien à la foresterie,0
2001,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2001,Québec,Foresterie et exploitation forestière,14179
2001,Québec,Fabrication du papier,33844
2001,Québec,Activités de soutien à la foresterie,5709
2001,Québec,Fabrication de produits en bois,41469
2001,Saskatchewan,Foresterie et exploitation forestière,814
2001,Saskatchewan,Fabrication du papier,1479
2001,Saskatchewan,Activités de soutien à la foresterie,644
2001,Saskatchewan,Fabrication de produits en bois,1891
2001,Yukon,Foresterie et exploitation forestière,0
2001,Yukon,Fabrication du papier,0
2001,Yukon,Activités de soutien à la foresterie,0
2001,Yukon,Fabrication de produits en bois,0
2002,Canada,Foresterie et exploitation forestière,47322
2002,Canada,Fabrication du papier,95981
2002,Canada,Activités de soutien à la foresterie,19796
2002,Canada,Fabrication de produits en bois,135476
2002,Alberta,Foresterie et exploitation forestière,2687
2002,Alberta,Fabrication du papier,3258
2002,Alberta,Activités de soutien à la foresterie,1673
2002,Alberta,Fabrication de produits en bois,11482
2002,Colombie-Britannique,Foresterie et exploitation forestière,17016
2002,Colombie-Britannique,Fabrication du papier,11595
2002,Colombie-Britannique,Activités de soutien à la foresterie,8564
2002,Colombie-Britannique,Fabrication de produits en bois,36737
2002,Manitoba,Foresterie et exploitation forestière,0
2002,Manitoba,Fabrication du papier,1703
2002,Manitoba,Activités de soutien à la foresterie,0
2002,Manitoba,Fabrication de produits en bois,4746
2002,Nouveau-Brunswick,Foresterie et exploitation forestière,3100
2002,Nouveau-Brunswick,Fabrication du papier,6848
2002,Nouveau-Brunswick,Activités de soutien à la foresterie,774
2002,Nouveau-Brunswick,Fabrication de produits en bois,6801
2002,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,1174
2002,Terre-Neuve-et-Labrador,Fabrication du papier,0
2002,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,564
2002,Terre-Neuve-et-Labrador,Fabrication de produits en bois,772
2002,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2002,Territoires du Nord-Ouest,Fabrication du papier,0
2002,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2002,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2002,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2002,Nouvelle-Écosse,Fabrication du papier,2522
2002,Nouvelle-Écosse,Activités de soutien à la foresterie,0
2002,Nouvelle-Écosse,Fabrication de produits en bois,2616
2002,Nunavut,Foresterie et exploitation forestière,0
2002,Nunavut,Fabrication du papier,0
2002,Nunavut,Activités de soutien à la foresterie,0
2002,Nunavut,Fabrication de produits en bois,0
2002,Ontario,Foresterie et exploitation forestière,6936
2002,Ontario,Fabrication du papier,35328
2002,Ontario,Activités de soutien à la foresterie,1005
2002,Ontario,Fabrication de produits en bois,29295
2002,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2002,Île-du-Prince-Édouard,Fabrication du papier,0
2002,Île-du-Prince-Édouard,Activités de soutien à la foresterie,0
2002,Île-du-Prince-Édouard,Fabrication de produits en bois,0
