Année,Juridiction,Valeur (1 000 dollars),Secteur
2012,Canada,1363229,Exploitation forestière
2012,Canada,3358406,Fabrication du papier
2012,Canada,3936269,Fabrication de produits en bois
2012,Alberta,148553,Exploitation forestière
2012,Alberta,211060,Fabrication du papier
2012,Alberta,596256,Fabrication de produits en bois
2012,Colombie-Britannique,599458,Exploitation forestière
2012,Colombie-Britannique,600462,Fabrication du papier
2012,Colombie-Britannique,1266912,Fabrication de produits en bois
2012,Manitoba,9852,Exploitation forestière
2012,Manitoba,0,Fabrication du papier
2012,Manitoba,92567,Fabrication de produits en bois
2012,Nouveau-Brunswick,77019,Exploitation forestière
2012,Nouveau-Brunswick,0,Fabrication du papier
2012,Nouveau-Brunswick,157022,Fabrication de produits en bois
2012,Terre-Neuve-et-Labrador,14694,Exploitation forestière
2012,Terre-Neuve-et-Labrador,0,Fabrication du papier
2012,Terre-Neuve-et-Labrador,13108,Fabrication de produits en bois
2012,Territoires du Nord-Ouest,0,Exploitation forestière
2012,Territoires du Nord-Ouest,0,Fabrication du papier
2012,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2012,Nouvelle-Écosse,28365,Exploitation forestière
2012,Nouvelle-Écosse,0,Fabrication du papier
2012,Nouvelle-Écosse,67379,Fabrication de produits en bois
2012,Nunavut,0,Exploitation forestière
2012,Nunavut,0,Fabrication du papier
2012,Nunavut,0,Fabrication de produits en bois
2012,Ontario,153045,Exploitation forestière
2012,Ontario,1147367,Fabrication du papier
2012,Ontario,647677,Fabrication de produits en bois
2012,Île-du-Prince-Édouard,0,Exploitation forestière
2012,Île-du-Prince-Édouard,0,Fabrication du papier
2012,Île-du-Prince-Édouard,3559,Fabrication de produits en bois
2012,Québec,315905,Exploitation forestière
2012,Québec,1036310,Fabrication du papier
2012,Québec,1015786,Fabrication de produits en bois
2012,Saskatchewan,15560,Exploitation forestière
2012,Saskatchewan,0,Fabrication du papier
2012,Saskatchewan,74937,Fabrication de produits en bois
2012,Yukon,0,Exploitation forestière
2012,Yukon,0,Fabrication du papier
2012,Yukon,0,Fabrication de produits en bois
2013,Canada,1358577,Exploitation forestière
2013,Canada,3235468,Fabrication du papier
2013,Canada,4176150,Fabrication de produits en bois
2013,Alberta,165056,Exploitation forestière
2013,Alberta,0,Fabrication du papier
2013,Alberta,649749,Fabrication de produits en bois
2013,Colombie-Britannique,613919,Exploitation forestière
2013,Colombie-Britannique,548844,Fabrication du papier
2013,Colombie-Britannique,1353677,Fabrication de produits en bois
2013,Manitoba,14160,Exploitation forestière
2013,Manitoba,65251,Fabrication du papier
2013,Manitoba,0,Fabrication de produits en bois
2013,Nouveau-Brunswick,72195,Exploitation forestière
2013,Nouveau-Brunswick,0,Fabrication du papier
2013,Nouveau-Brunswick,0,Fabrication de produits en bois
2013,Terre-Neuve-et-Labrador,0,Exploitation forestière
2013,Terre-Neuve-et-Labrador,0,Fabrication du papier
2013,Terre-Neuve-et-Labrador,12467,Fabrication de produits en bois
2013,Territoires du Nord-Ouest,0,Exploitation forestière
2013,Territoires du Nord-Ouest,0,Fabrication du papier
2013,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2013,Nouvelle-Écosse,27824,Exploitation forestière
2013,Nouvelle-Écosse,0,Fabrication du papier
2013,Nouvelle-Écosse,0,Fabrication de produits en bois
2013,Nunavut,0,Exploitation forestière
2013,Nunavut,0,Fabrication du papier
2013,Nunavut,0,Fabrication de produits en bois
2013,Ontario,150124,Exploitation forestière
2013,Ontario,1112664,Fabrication du papier
2013,Ontario,678588,Fabrication de produits en bois
2013,Île-du-Prince-Édouard,928,Exploitation forestière
2013,Île-du-Prince-Édouard,0,Fabrication du papier
2013,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2013,Québec,276010,Exploitation forestière
2013,Québec,982194,Fabrication du papier
2013,Québec,1050512,Fabrication de produits en bois
2013,Saskatchewan,19346,Exploitation forestière
2013,Saskatchewan,0,Fabrication du papier
2013,Saskatchewan,0,Fabrication de produits en bois
2013,Yukon,0,Exploitation forestière
2013,Yukon,0,Fabrication du papier
2013,Yukon,0,Fabrication de produits en bois
2014,Canada,1503019,Exploitation forestière
2014,Canada,3640846,Fabrication du papier
2014,Canada,4406329,Fabrication de produits en bois
2014,Alberta,176619,Exploitation forestière
2014,Alberta,0,Fabrication du papier
2014,Alberta,663296,Fabrication de produits en bois
2014,Colombie-Britannique,721947,Exploitation forestière
2014,Colombie-Britannique,670906,Fabrication du papier
2014,Colombie-Britannique,1454371,Fabrication de produits en bois
2014,Manitoba,14314,Exploitation forestière
2014,Manitoba,0,Fabrication du papier
2014,Manitoba,0,Fabrication de produits en bois
2014,Nouveau-Brunswick,89815,Exploitation forestière
2014,Nouveau-Brunswick,0,Fabrication du papier
2014,Nouveau-Brunswick,175063,Fabrication de produits en bois
2014,Terre-Neuve-et-Labrador,21832,Exploitation forestière
2014,Terre-Neuve-et-Labrador,0,Fabrication du papier
2014,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2014,Territoires du Nord-Ouest,0,Exploitation forestière
2014,Territoires du Nord-Ouest,0,Fabrication du papier
2014,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2014,Nouvelle-Écosse,28874,Exploitation forestière
2014,Nouvelle-Écosse,0,Fabrication du papier
2014,Nouvelle-Écosse,0,Fabrication de produits en bois
2014,Nunavut,2,Exploitation forestière
2014,Nunavut,0,Fabrication du papier
2014,Nunavut,0,Fabrication de produits en bois
2014,Ontario,150666,Exploitation forestière
2014,Ontario,1342384,Fabrication du papier
2014,Ontario,0,Fabrication de produits en bois
2014,Île-du-Prince-Édouard,1016,Exploitation forestière
2014,Île-du-Prince-Édouard,0,Fabrication du papier
2014,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2014,Québec,279800,Exploitation forestière
2014,Québec,999209,Fabrication du papier
2014,Québec,1109587,Fabrication de produits en bois
2014,Saskatchewan,17933,Exploitation forestière
2014,Saskatchewan,0,Fabrication du papier
2014,Saskatchewan,0,Fabrication de produits en bois
2014,Yukon,193,Exploitation forestière
2014,Yukon,0,Fabrication du papier
2014,Yukon,929,Fabrication de produits en bois
2015,Canada,1577158,Exploitation forestière
2015,Canada,3459083,Fabrication du papier
2015,Canada,4671347,Fabrication de produits en bois
2015,Alberta,202502,Exploitation forestière
2015,Alberta,211738,Fabrication du papier
2015,Alberta,606069,Fabrication de produits en bois
2015,Colombie-Britannique,703380,Exploitation forestière
2015,Colombie-Britannique,603388,Fabrication du papier
2015,Colombie-Britannique,1524759,Fabrication de produits en bois
2015,Manitoba,14183,Exploitation forestière
2015,Manitoba,0,Fabrication du papier
2015,Manitoba,98253,Fabrication de produits en bois
2015,Nouveau-Brunswick,97796,Exploitation forestière
2015,Nouveau-Brunswick,0,Fabrication du papier
2015,Nouveau-Brunswick,0,Fabrication de produits en bois
2015,Terre-Neuve-et-Labrador,26354,Exploitation forestière
2015,Terre-Neuve-et-Labrador,0,Fabrication du papier
2015,Terre-Neuve-et-Labrador,0,Fabrication de produits en bois
2015,Territoires du Nord-Ouest,10,Exploitation forestière
2015,Territoires du Nord-Ouest,0,Fabrication du papier
2015,Territoires du Nord-Ouest,0,Fabrication de produits en bois
2015,Nouvelle-Écosse,31920,Exploitation forestière
2015,Nouvelle-Écosse,0,Fabrication du papier
2015,Nouvelle-Écosse,0,Fabrication de produits en bois
2015,Nunavut,3,Exploitation forestière
2015,Nunavut,0,Fabrication du papier
2015,Nunavut,0,Fabrication de produits en bois
2015,Ontario,197132,Exploitation forestière
2015,Ontario,1144987,Fabrication du papier
2015,Ontario,846932,Fabrication de produits en bois
2015,Île-du-Prince-Édouard,1617,Exploitation forestière
2015,Île-du-Prince-Édouard,0,Fabrication du papier
2015,Île-du-Prince-Édouard,0,Fabrication de produits en bois
2015,Québec,281890,Exploitation forestière
2015,Québec,1050651,Fabrication du papier
2015,Québec,1208074,Fabrication de produits en bois
2015,Saskatchewan,20207,Exploitation forestière
2015,Saskatchewan,0,Fabrication du papier
2015,Saskatchewan,98299,Fabrication de produits en bois
2015,Yukon,164,Exploitation forestière
2015,Yukon,0,Fabrication du papier
2015,Yukon,0,Fabrication de produits en bois
2016,Canada,1588646,Exploitation forestière
2016,Canada,3410466,Fabrication du papier
2016,Canada,4860041,Fabrication de produits en bois
2016,Alberta,202463,Exploitation forestière
2016,Alberta,190263,Fabrication du papier
2016,Alberta,624184,Fabrication de produits en bois
2016,Colombie-Britannique,728219,Exploitation forestière
