Écozone terrestre,Section,Mesure,Valeur,Unités
Bouclier boréal,Classification de la superficie forestière (hectare),Terres forestières,132352146,hectares
Bouclier boréal,Classification de la superficie forestière (hectare),Autres terres boisées,8060519,hectares
Bouclier boréal,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,833934,hectares
Bouclier boréal,Type forestier,Conifère,64.7,pourcentage
Bouclier boréal,Type forestier,Mixte,18.9,pourcentage
Bouclier boréal,Type forestier,Feuillu,11.4,pourcentage
Bouclier boréal,Type forestier,Non boisé temporairement,5,pourcentage
Bouclier boréal,Genres principaux d’arbres,Épinette,49.9,pourcentage
Bouclier boréal,Genres principaux d’arbres,Pin,11.8,pourcentage
Bouclier boréal,Genres principaux d’arbres,Sapin,7.2,pourcentage
Bouclier boréal,Genres principaux d’arbres,Pruche,0.2,pourcentage
Bouclier boréal,Genres principaux d’arbres,Mélèze,1.4,pourcentage
Bouclier boréal,Genres principaux d’arbres,Autre,0.6,pourcentage
Bouclier boréal,Genres principaux d’arbres,Conifères non spécifiés,1.5,pourcentage
Bouclier boréal,Genres principaux d’arbres,Peuplier,12.2,pourcentage
Bouclier boréal,Genres principaux d’arbres,Bouleau,7.9,pourcentage
Bouclier boréal,Genres principaux d’arbres,Érable,6,pourcentage
Bouclier boréal,Genres principaux d’arbres,Feuillus divers,0.5,pourcentage
Bouclier boréal,Genres principaux d’arbres,Feuils non spécifiés,0.7,pourcentage
Bouclier boréal,Genres principaux d’arbres,Non classifié,0.1,pourcentage
Bouclier boréal,Utilisation des terres (hectares),Agriculture,1085309,hectares
Bouclier boréal,Utilisation des terres (hectares),Conservation,31196992,hectares
Bouclier boréal,Utilisation des terres (hectares),Foresterie,112266099,hectares
Bouclier boréal,Utilisation des terres (hectares),Industriel,1492662,hectares
Bouclier boréal,Utilisation des terres (hectares),Infrastructure,1936880,hectares
Bouclier boréal,Utilisation des terres (hectares),Défense nationale,370845,hectares
Bouclier boréal,Utilisation des terres (hectares),Loisirs,4954862,hectares
Bouclier boréal,Utilisation des terres (hectares),Établissement,1233933,hectares
Bouclier boréal,Utilisation des terres (hectares),Inconnu,9411578,hectares
Bouclier boréal,Utilisation des terres (hectares),Total,163949160,hectares
