Écozone terrestre,Section,Mesure,Valeur,Unités
Canada,Classification de la superficie forestière (hectare),Terres forestières,368672267,hectares
Canada,Classification de la superficie forestière (hectare),Autres terres boisées,35730397,hectares
Canada,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,6830004,hectares
Canada,"Changement d'affectation du territoire forestier (hectare)",Boisement,Non disponible,hectares
Canada,"Changement d'affectation du territoire forestier (hectare)",Déboisement,49248,hectares
Canada,Type forestier,Conifère,70.2,pourcentage
Canada,Type forestier,Mixte,13.6,pourcentage
Canada,Type forestier,Feuillu,11.4,pourcentage
Canada,Type forestier,Non boisé temporairement,4.9,pourcentage
Canada,Propriété des forêts,Provinciale,75.7,pourcentage
Canada,Propriété des forêts,Territoriale,12.8,pourcentage
Canada,Propriété des forêts,Privée,6.7,pourcentage
Canada,Propriété des forêts,"Premières Nations, Métis et Inuit",2.1,pourcentage
Canada,Propriété des forêts,Fédérale,1.7,pourcentage
Canada,Propriété des forêts,Municipale,0.3,pourcentage
Canada,Propriété des forêts,Autre,0.8,pourcentage
Canada,Volume sur pied (mètres cubes),Volume total,51073563000,mètres cubes
Canada,Genres principaux d’arbres,Épinette,43.9,pourcentage
Canada,Genres principaux d’arbres,Pin,11.8,pourcentage
Canada,Genres principaux d’arbres,Sapin,8.4,pourcentage
Canada,Genres principaux d’arbres,Pruche,6.2,pourcentage
Canada,Genres principaux d’arbres,Douglas taxifolié,3.8,pourcentage
Canada,Genres principaux d’arbres,Mélèze,1.5,pourcentage
Canada,Genres principaux d’arbres,Autre,3.1,pourcentage
Canada,Genres principaux d’arbres,Conifères non spécifiés,0.6,pourcentage
Canada,Genres principaux d’arbres,Peuplier,13.6,pourcentage
Canada,Genres principaux d’arbres,Bouleau,3.3,pourcentage
Canada,Genres principaux d’arbres,Érable,3,pourcentage
Canada,Genres principaux d’arbres,Feuillus divers,0.5,pourcentage
Canada,Genres principaux d’arbres,Feuils non spécifiés,0.3,pourcentage
Canada,Genres principaux d’arbres,Non classifié,0,pourcentage
Canada,Utilisation des terres (hectares),Agriculture,60018561,hectares
Canada,Utilisation des terres (hectares),Conservation,93462126,hectares
Canada,Utilisation des terres (hectares),Foresterie,260903158,hectares
Canada,Utilisation des terres (hectares),Industriel,3492333,hectares
Canada,Utilisation des terres (hectares),Infrastructure,4057163,hectares
Canada,Utilisation des terres (hectares),Défense nationale,2268385,hectares
Canada,Utilisation des terres (hectares),Loisirs,6910272,hectares
Canada,Utilisation des terres (hectares),Établissement,4490832,hectares
Canada,Utilisation des terres (hectares),Inconnu,212153844,hectares
Canada,Utilisation des terres (hectares),Total,647756674,hectares
