Écozone terrestre,Section,Mesure,Valeur,Unités
Cordillère boréale,Classification de la superficie forestière (hectare),Terres forestières,21451060,hectares
Cordillère boréale,Classification de la superficie forestière (hectare),Autres terres boisées,3966771,hectares
Cordillère boréale,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,24551,hectares
Cordillère boréale,Type forestier,Conifère,77.4,pourcentage
Cordillère boréale,Type forestier,Mixte,11.3,pourcentage
Cordillère boréale,Type forestier,Feuillu,6.8,pourcentage
Cordillère boréale,Type forestier,Non boisé temporairement,4.5,pourcentage
Cordillère boréale,Genres principaux d’arbres,Épinette,54.4,pourcentage
Cordillère boréale,Genres principaux d’arbres,Pin,25.2,pourcentage
Cordillère boréale,Genres principaux d’arbres,Sapin,11,pourcentage
Cordillère boréale,Genres principaux d’arbres,Mélèze,0.1,pourcentage
Cordillère boréale,Genres principaux d’arbres,Peuplier,8.3,pourcentage
Cordillère boréale,Genres principaux d’arbres,Bouleau,1.1,pourcentage
Cordillère boréale,Genres principaux d’arbres,Non classifié,0,pourcentage
Cordillère boréale,Utilisation des terres (hectares),Agriculture,0,hectares
Cordillère boréale,Utilisation des terres (hectares),Conservation,6202837,hectares
Cordillère boréale,Utilisation des terres (hectares),Foresterie,603790,hectares
Cordillère boréale,Utilisation des terres (hectares),Industriel,192416,hectares
Cordillère boréale,Utilisation des terres (hectares),Infrastructure,33819,hectares
Cordillère boréale,Utilisation des terres (hectares),Défense nationale,,hectares
Cordillère boréale,Utilisation des terres (hectares),Loisirs,1358,hectares
Cordillère boréale,Utilisation des terres (hectares),Établissement,41364,hectares
Cordillère boréale,Utilisation des terres (hectares),Inconnu,38869555,hectares
Cordillère boréale,Utilisation des terres (hectares),Total,45945140,hectares
