Écozone terrestre,Section,Mesure,Valeur,Unités
Cordillère montagnarde,Classification de la superficie forestière (hectare),Terres forestières,35228025,hectares
Cordillère montagnarde,Classification de la superficie forestière (hectare),Autres terres boisées,711537,hectares
Cordillère montagnarde,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,217297,hectares
Cordillère montagnarde,Type forestier,Conifère,85.2,pourcentage
Cordillère montagnarde,Type forestier,Mixte,5.8,pourcentage
Cordillère montagnarde,Type forestier,Feuillu,2.7,pourcentage
Cordillère montagnarde,Type forestier,Non boisé temporairement,6.3,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Épinette,25.4,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Pin,25.2,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Sapin,18.6,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Pruche,5.6,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Douglas taxifolié,14.5,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Mélèze,1.5,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Autre,3,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Peuplier,5.2,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Bouleau,1,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Feuillus divers,0,pourcentage
Cordillère montagnarde,Genres principaux d’arbres,Non classifié,0,pourcentage
Cordillère montagnarde,Utilisation des terres (hectares),Agriculture,1106408,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Conservation,9769146,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Foresterie,17656167,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Industriel,48274,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Infrastructure,97808,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Défense nationale,,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Loisirs,841027,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Établissement,83763,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Inconnu,17877671,hectares
Cordillère montagnarde,Utilisation des terres (hectares),Total,47480263,hectares
