Écozone terrestre,Section,Mesure,Valeur,Unités
"Maritime de l'Atlantique",Classification de la superficie forestière (hectare),Terres forestières,16688246,hectares
"Maritime de l'Atlantique",Classification de la superficie forestière (hectare),Autres terres boisées,312321,hectares
"Maritime de l'Atlantique",Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,85593,hectares
"Maritime de l'Atlantique",Type forestier,Conifère,41.7,pourcentage
"Maritime de l'Atlantique",Type forestier,Mixte,34.3,pourcentage
"Maritime de l'Atlantique",Type forestier,Feuillu,19.9,pourcentage
"Maritime de l'Atlantique",Type forestier,Non boisé temporairement,4.1,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Épinette,26.6,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Pin,2.5,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Sapin,25.5,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Pruche,0.3,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Mélèze,0.8,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Autre,2.5,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Conifères non spécifiés,3.3,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Peuplier,7.1,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Bouleau,8.1,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Érable,21.5,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Feuillus divers,0.6,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Feuils non spécifiés,1.1,pourcentage
"Maritime de l'Atlantique",Genres principaux d’arbres,Non classifié,0.1,pourcentage
"Maritime de l'Atlantique",Utilisation des terres (hectares),Agriculture,1450014,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Conservation,1698476,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Foresterie,14728285,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Industriel,46171,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Infrastructure,534120,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Défense nationale,71901,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Loisirs,237444,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Établissement,282421,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Inconnu,592792,hectares
"Maritime de l'Atlantique",Utilisation des terres (hectares),Total,19641623,hectares
