Écozone terrestre,Section,Mesure,Valeur,Unités
Maritime du Pacifique,Classification de la superficie forestière (hectare),Terres forestières,11773186,hectares
Maritime du Pacifique,Classification de la superficie forestière (hectare),Autres terres boisées,362294,hectares
Maritime du Pacifique,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,9289,hectares
Maritime du Pacifique,Type forestier,Conifère,92.2,pourcentage
Maritime du Pacifique,Type forestier,Mixte,2.6,pourcentage
Maritime du Pacifique,Type forestier,Feuillu,2.9,pourcentage
Maritime du Pacifique,Type forestier,Non boisé temporairement,2.3,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Épinette,2.9,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Pin,1.1,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Sapin,12.6,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Pruche,47.4,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Douglas taxifolié,12.3,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Autre,19.7,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Peuplier,1.5,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Bouleau,0.3,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Érable,0.3,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Feuillus divers,1.9,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Feuils non spécifiés,0,pourcentage
Maritime du Pacifique,Genres principaux d’arbres,Non classifié,0,pourcentage
Maritime du Pacifique,Utilisation des terres (hectares),Agriculture,212428,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Conservation,2849944,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Foresterie,3498386,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Industriel,5044,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Infrastructure,47946,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Défense nationale,,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Loisirs,105549,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Établissement,103993,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Inconnu,13498903,hectares
Maritime du Pacifique,Utilisation des terres (hectares),Total,20322193,hectares
