Écozone terrestre,Section,Mesure,Valeur,Unités
Plaines boréales,Classification de la superficie forestière (hectare),Terres forestières,44180910,hectares
Plaines boréales,Classification de la superficie forestière (hectare),Autres terres boisées,3720851,hectares
Plaines boréales,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,3776070,hectares
Plaines boréales,Type forestier,Conifère,55.1,pourcentage
Plaines boréales,Type forestier,Mixte,13.5,pourcentage
Plaines boréales,Type forestier,Feuillu,27.7,pourcentage
Plaines boréales,Type forestier,Non boisé temporairement,3.8,pourcentage
Plaines boréales,Genres principaux d’arbres,Épinette,38,pourcentage
Plaines boréales,Genres principaux d’arbres,Pin,13.9,pourcentage
Plaines boréales,Genres principaux d’arbres,Sapin,0.3,pourcentage
Plaines boréales,Genres principaux d’arbres,Mélèze,3.6,pourcentage
Plaines boréales,Genres principaux d’arbres,Autre,0,pourcentage
Plaines boréales,Genres principaux d’arbres,Peuplier,42.6,pourcentage
Plaines boréales,Genres principaux d’arbres,Bouleau,1.4,pourcentage
Plaines boréales,Genres principaux d’arbres,Érable,0.1,pourcentage
Plaines boréales,Genres principaux d’arbres,Feuillus divers,0,pourcentage
Plaines boréales,Genres principaux d’arbres,Feuils non spécifiés,0,pourcentage
Plaines boréales,Genres principaux d’arbres,Non classifié,0,pourcentage
Plaines boréales,Utilisation des terres (hectares),Agriculture,12680106,hectares
Plaines boréales,Utilisation des terres (hectares),Conservation,7120727,hectares
Plaines boréales,Utilisation des terres (hectares),Foresterie,39035618,hectares
Plaines boréales,Utilisation des terres (hectares),Industriel,724735,hectares
Plaines boréales,Utilisation des terres (hectares),Infrastructure,408750,hectares
Plaines boréales,Utilisation des terres (hectares),Défense nationale,1053574,hectares
Plaines boréales,Utilisation des terres (hectares),Loisirs,44528,hectares
Plaines boréales,Utilisation des terres (hectares),Établissement,998501,hectares
Plaines boréales,Utilisation des terres (hectares),Inconnu,5036710,hectares
Plaines boréales,Utilisation des terres (hectares),Total,67103249,hectares
