Écozone terrestre,Section,Mesure,Valeur,Unités
Plaines hudsoniennes,Classification de la superficie forestière (hectare),Terres forestières,11592206,hectares
Plaines hudsoniennes,Classification de la superficie forestière (hectare),Autres terres boisées,8055834,hectares
Plaines hudsoniennes,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,66143,hectares
Plaines hudsoniennes,Type forestier,Conifère,75.4,pourcentage
Plaines hudsoniennes,Type forestier,Mixte,18.5,pourcentage
Plaines hudsoniennes,Type forestier,Feuillu,1,pourcentage
Plaines hudsoniennes,Type forestier,Non boisé temporairement,5,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Épinette,88.1,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Pin,2.9,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Sapin,0.5,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Mélèze,6.4,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Autre,0,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Conifères non spécifiés,0,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Peuplier,1.7,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Bouleau,0.4,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Feuillus divers,0,pourcentage
Plaines hudsoniennes,Genres principaux d’arbres,Non classifié,0,pourcentage
Plaines hudsoniennes,Utilisation des terres (hectares),Agriculture,1287,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Conservation,20945040,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Foresterie,12922140,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Industriel,31205,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Infrastructure,14840,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Défense nationale,,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Loisirs,,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Établissement,194247,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Inconnu,451477,hectares
Plaines hudsoniennes,Utilisation des terres (hectares),Total,34560236,hectares
