Écozone terrestre,Section,Mesure,Valeur,Unités
Plaines à forêts mixtes,Classification de la superficie forestière (hectare),Terres forestières,3423764,hectares
Plaines à forêts mixtes,Classification de la superficie forestière (hectare),Autres terres boisées,119019,hectares
Plaines à forêts mixtes,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,90236,hectares
Plaines à forêts mixtes,Type forestier,Conifère,13.6,pourcentage
Plaines à forêts mixtes,Type forestier,Mixte,24.3,pourcentage
Plaines à forêts mixtes,Type forestier,Feuillu,57.2,pourcentage
Plaines à forêts mixtes,Type forestier,Non boisé temporairement,4.9,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Épinette,2,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Pin,7,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Sapin,4.2,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Pruche,1.3,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Mélèze,1.3,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Autre,9.6,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Conifères non spécifiés,0.8,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Peuplier,11.6,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Bouleau,2.4,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Érable,42.9,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Feuillus divers,13.8,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Feuils non spécifiés,2.8,pourcentage
Plaines à forêts mixtes,Genres principaux d’arbres,Non classifié,0.4,pourcentage
Plaines à forêts mixtes,Utilisation des terres (hectares),Agriculture,5912424,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Conservation,367355,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Foresterie,3382738,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Industriel,45600,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Infrastructure,579978,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Défense nationale,2343,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Loisirs,49615,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Établissement,589959,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Inconnu,87240,hectares
Plaines à forêts mixtes,Utilisation des terres (hectares),Total,11017252,hectares
