Écozone terrestre,Section,Mesure,Valeur,Unités
Prairies,Classification de la superficie forestière (hectare),Terres forestières,1530551,hectares
Prairies,Classification de la superficie forestière (hectare),Autres terres boisées,148998,hectares
Prairies,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,1701169,hectares
Prairies,Type forestier,Conifère,3.9,pourcentage
Prairies,Type forestier,Mixte,1.6,pourcentage
Prairies,Type forestier,Feuillu,76,pourcentage
Prairies,Type forestier,Non boisé temporairement,18.6,pourcentage
Prairies,Genres principaux d’arbres,Épinette,3.5,pourcentage
Prairies,Genres principaux d’arbres,Pin,2.8,pourcentage
Prairies,Genres principaux d’arbres,Sapin,0,pourcentage
Prairies,Genres principaux d’arbres,Douglas taxifolié,0.1,pourcentage
Prairies,Genres principaux d’arbres,Mélèze,0,pourcentage
Prairies,Genres principaux d’arbres,Peuplier,92.9,pourcentage
Prairies,Genres principaux d’arbres,Bouleau,0.3,pourcentage
Prairies,Genres principaux d’arbres,Érable,0.3,pourcentage
Prairies,Genres principaux d’arbres,Feuillus divers,0,pourcentage
Prairies,Genres principaux d’arbres,Non classifié,0,pourcentage
Prairies,Utilisation des terres (hectares),Agriculture,37563841,hectares
Prairies,Utilisation des terres (hectares),Conservation,1730888,hectares
Prairies,Utilisation des terres (hectares),Foresterie,1342654,hectares
Prairies,Utilisation des terres (hectares),Industriel,738928,hectares
Prairies,Utilisation des terres (hectares),Infrastructure,358649,hectares
Prairies,Utilisation des terres (hectares),Défense nationale,403876,hectares
Prairies,Utilisation des terres (hectares),Loisirs,10399,hectares
Prairies,Utilisation des terres (hectares),Établissement,932281,hectares
Prairies,Utilisation des terres (hectares),Inconnu,1515608,hectares
Prairies,Utilisation des terres (hectares),Total,44597124,hectares
