Écozone terrestre,Section,Mesure,Valeur,Unités
Taïga de la Cordillère,Classification de la superficie forestière (hectare),Terres forestières,6690641,hectares
Taïga de la Cordillère,Classification de la superficie forestière (hectare),Autres terres boisées,1713646,hectares
Taïga de la Cordillère,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,,hectares
Taïga de la Cordillère,Type forestier,Conifère,90.1,pourcentage
Taïga de la Cordillère,Type forestier,Mixte,5.1,pourcentage
Taïga de la Cordillère,Type forestier,Feuillu,2.6,pourcentage
Taïga de la Cordillère,Type forestier,Non boisé temporairement,2.2,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Épinette,92.1,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Pin,0.9,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Sapin,4.5,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Mélèze,0.3,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Peuplier,0.3,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Bouleau,2,pourcentage
Taïga de la Cordillère,Genres principaux d’arbres,Non classifié,0,pourcentage
Taïga de la Cordillère,Utilisation des terres (hectares),Agriculture,,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Conservation,2442259,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Foresterie,,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Industriel,4809,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Infrastructure,1899,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Défense nationale,,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Loisirs,405838,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Établissement,,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Inconnu,23580134,hectares
Taïga de la Cordillère,Utilisation des terres (hectares),Total,26434940,hectares
