Écozone terrestre,Section,Mesure,Valeur,Unités
Taïga des plaines,Classification de la superficie forestière (hectare),Terres forestières,35856534,hectares
Taïga des plaines,Classification de la superficie forestière (hectare),Autres terres boisées,2648999,hectares
Taïga des plaines,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,5730,hectares
Taïga des plaines,Type forestier,Conifère,78.2,pourcentage
Taïga des plaines,Type forestier,Mixte,10.5,pourcentage
Taïga des plaines,Type forestier,Feuillu,10.7,pourcentage
Taïga des plaines,Type forestier,Non boisé temporairement,0.5,pourcentage
Taïga des plaines,Genres principaux d’arbres,Épinette,74.6,pourcentage
Taïga des plaines,Genres principaux d’arbres,Pin,4.4,pourcentage
Taïga des plaines,Genres principaux d’arbres,Sapin,0.1,pourcentage
Taïga des plaines,Genres principaux d’arbres,Mélèze,1.3,pourcentage
Taïga des plaines,Genres principaux d’arbres,Peuplier,17.5,pourcentage
Taïga des plaines,Genres principaux d’arbres,Bouleau,2.1,pourcentage
Taïga des plaines,Genres principaux d’arbres,Non classifié,0,pourcentage
Taïga des plaines,Utilisation des terres (hectares),Agriculture,6743,hectares
Taïga des plaines,Utilisation des terres (hectares),Conservation,1635525,hectares
Taïga des plaines,Utilisation des terres (hectares),Foresterie,5732023,hectares
Taïga des plaines,Utilisation des terres (hectares),Industriel,6044,hectares
Taïga des plaines,Utilisation des terres (hectares),Infrastructure,10099,hectares
Taïga des plaines,Utilisation des terres (hectares),Défense nationale,,hectares
Taïga des plaines,Utilisation des terres (hectares),Loisirs,7811,hectares
Taïga des plaines,Utilisation des terres (hectares),Établissement,3962,hectares
Taïga des plaines,Utilisation des terres (hectares),Inconnu,49337083,hectares
Taïga des plaines,Utilisation des terres (hectares),Total,56739291,hectares
