Écozone terrestre,Section,Mesure,Valeur,Unités
Taïga du Bouclier,Classification de la superficie forestière (hectare),Terres forestières,48252084,hectares
Taïga du Bouclier,Classification de la superficie forestière (hectare),Autres terres boisées,5909609,hectares
Taïga du Bouclier,Classification de la superficie forestière (hectare),Autres terres dotées de couvert arboré,19993,hectares
Taïga du Bouclier,Type forestier,Conifère,85.2,pourcentage
Taïga du Bouclier,Type forestier,Mixte,3.2,pourcentage
Taïga du Bouclier,Type forestier,Feuillu,2.6,pourcentage
Taïga du Bouclier,Type forestier,Non boisé temporairement,9.1,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Épinette,91.6,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Pin,3.5,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Sapin,0.4,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Mélèze,1.5,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Conifères non spécifiés,0,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Peuplier,2.4,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Bouleau,0.4,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Érable,0,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Feuillus divers,0.1,pourcentage
Taïga du Bouclier,Genres principaux d’arbres,Non classifié,0,pourcentage
Taïga du Bouclier,Utilisation des terres (hectares),Agriculture,,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Conservation,7502938,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Foresterie,49735257,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Industriel,156446,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Infrastructure,32375,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Défense nationale,365848,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Loisirs,251841,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Établissement,26406,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Inconnu,51895093,hectares
Taïga du Bouclier,Utilisation des terres (hectares),Total,109966203,hectares
