Écozone terrestre,Superficie forestière par classification,Superficie (1 000 hectares)
Canada,Terrain forestier,369019.352
Canada,Autre terrain avec couverture arborée,6830.004
Canada,Autre terrain boisé,35730.397
Atlantique maritime,Terrain forestier,16688.246
Atlantique maritime,Autre terrain avec couverture arborée,85.593
Atlantique maritime,Autre terrain boisé,312.321
Cordillère boréale,Terrain forestier,21451.06
Cordillère boréale,Autre terrain avec couverture arborée,24.551
Cordillère boréale,Autre terrain boisé,3966.771
Plaines boréales,Terrain forestier,44180.91
Plaines boréales,Autre terrain avec couverture arborée,3776.07
Plaines boréales,Autre terrain boisé,3720.851
Bouclier boréal,Terrain forestier,132352.146
Bouclier boréal,Autre terrain avec couverture arborée,833.934
Bouclier boréal,Autre terrain boisé,8060.519
Plaines hudsoniennes,Terrain forestier,11592.206
Plaines hudsoniennes,Autre terrain avec couverture arborée,66.143
Plaines hudsoniennes,Autre terrain boisé,8055.834
Plaines à forêts mixtes,Terrain forestier,3423.764
Plaines à forêts mixtes,Autre terrain avec couverture arborée,90.236
Plaines à forêts mixtes,Autre terrain boisé,119.019
Cordillère montagnarde,Terrain forestier,35228.025
Cordillère montagnarde,Autre terrain avec couverture arborée,217.297
Cordillère montagnarde,Autre terrain boisé,711.537
Pacifique maritime,Terrain forestier,11773.186
Pacifique maritime,Autre terrain avec couverture arborée,9.289
Pacifique maritime,Autre terrain boisé,362.294
Prairies,Terrain forestier,1530.551
Prairies,Autre terrain avec couverture arborée,1701.169
Prairies,Autre terrain boisé,148.998
Cordillère de la taïga,Terrain forestier,6690.641
Cordillère de la taïga,Autre terrain avec couverture arborée,
Cordillère de la taïga,Autre terrain boisé,1713.646
Plaines de la taïga,Terrain forestier,35856.534
Plaines de la taïga,Autre terrain avec couverture arborée,5.73
Plaines de la taïga,Autre terrain boisé,2648.999
Bouclier de la taïga,Terrain forestier,48252.084
Bouclier de la taïga,Autre terrain avec couverture arborée,19.993
Bouclier de la taïga,Autre terrain boisé,5909.609
