Écozone terrestre,Type de forêt,Pourcentage
Canada,Non arboré,0.049167218
Canada,Feuillus arborescents,0.11366211
Canada,Résineux arborescents,0.701547438
Canada,Mixtes arborescents,0.135623231
Atlantique maritime,Non arboré,0.041293135
Atlantique maritime,Feuillus arborescents,0.198955001
Atlantique maritime,Résineux arborescents,0.417147734
Atlantique maritime,Mixtes arborescents,0.34260413
Cordillère boréale,Non arboré,0.04475005
Cordillère boréale,Feuillus arborescents,0.068434753
Cordillère boréale,Résineux arborescents,0.773829032
Cordillère boréale,Mixtes arborescents,0.112986165
Plaines boréales,Non arboré,0.037529241
Plaines boréales,Feuillus arborescents,0.27696659
Plaines boréales,Résineux arborescents,0.550598777
Plaines boréales,Mixtes arborescents,0.134905392
Bouclier boréal,Non arboré,0.049870404
Bouclier boréal,Feuillus arborescents,0.114236334
Bouclier boréal,Résineux arborescents,0.647333569
Bouclier boréal,Mixtes arborescents,0.188559685
Plaines hudsoniennes,Non arboré,0.050377383
Plaines hudsoniennes,Feuillus arborescents,0.010478765
Plaines hudsoniennes,Résineux arborescents,0.75411919
Plaines hudsoniennes,Mixtes arborescents,0.185024662
Plaines à forêts mixtes,Non arboré,0.048998704
Plaines à forêts mixtes,Feuillus arborescents,0.571877618
Plaines à forêts mixtes,Résineux arborescents,0.13571613
Plaines à forêts mixtes,Mixtes arborescents,0.243407256
Cordillère montagnarde,Non arboré,0.063120967
Cordillère montagnarde,Feuillus arborescents,0.026575631
Cordillère montagnarde,Résineux arborescents,0.852051712
Cordillère montagnarde,Mixtes arborescents,0.058251719
Pacifique maritime,Non arboré,0.022593969
Pacifique maritime,Feuillus arborescents,0.029190569
Pacifique maritime,Résineux arborescents,0.921842821
Pacifique maritime,Mixtes arborescents,0.02637264
Prairies,Non arboré,0.185579572
Prairies,Feuillus arborescents,0.759736853
Prairies,Résineux arborescents,0.038854635
Prairies,Mixtes arborescents,0.015828287
Cordillère de la taïga,Non arboré,0.021841554
Cordillère de la taïga,Feuillus arborescents,0.026132773
Cordillère de la taïga,Résineux arborescents,0.900798892
Cordillère de la taïga,Mixtes arborescents,0.051226631
Plaines de la taïga,Non arboré,0.005407885
Plaines de la taïga,Feuillus arborescents,0.107481666
Plaines de la taïga,Résineux arborescents,0.782482741
Plaines de la taïga,Mixtes arborescents,0.104627709
Bouclier de la taïga,Non arboré,0.090578906
Bouclier de la taïga,Feuillus arborescents,0.025871442
Bouclier de la taïga,Résineux arborescents,0.851828928
Bouclier de la taïga,Mixtes arborescents,0.031720723
