Écozone terrestre,Utilisation du sol,Superficie (1 000 hectares)
Canada,Agriculture,60018.561
Canada,Conservation,93462.126
Canada,Foresterie,260903.158
Canada,Industrie,3492.333
Canada,Infrastructure,4057.163
Canada,Défense nationale,2268.385
Canada,Autre,None
Canada,Loisirs,6910.272
Canada,Populations,4490.832
Canada,Inconnu,212153.844
Atlantique maritime,Agriculture,1450.014
Atlantique maritime,Conservation,1698.476
Atlantique maritime,Foresterie,14728.285
Atlantique maritime,Industrie,46.171
Atlantique maritime,Infrastructure,534.12
Atlantique maritime,Défense nationale,71.901
Atlantique maritime,Autre,None
Atlantique maritime,Loisirs,237.444
Atlantique maritime,Populations,282.421
Atlantique maritime,Inconnu,592.792
Cordillère boréale,Agriculture,0
Cordillère boréale,Conservation,6202.837
Cordillère boréale,Foresterie,603.79
Cordillère boréale,Industrie,192.416
Cordillère boréale,Infrastructure,33.819
Cordillère boréale,Défense nationale,None
Cordillère boréale,Autre,None
Cordillère boréale,Loisirs,1.358
Cordillère boréale,Populations,41.364
Cordillère boréale,Inconnu,38869.555
Plaines boréales,Agriculture,12680.106
Plaines boréales,Conservation,7120.727
Plaines boréales,Foresterie,39035.618
Plaines boréales,Industrie,724.735
Plaines boréales,Infrastructure,408.75
Plaines boréales,Défense nationale,1053.574
Plaines boréales,Autre,None
Plaines boréales,Loisirs,44.528
Plaines boréales,Populations,998.501
Plaines boréales,Inconnu,5036.71
Bouclier boréal,Agriculture,1085.309
Bouclier boréal,Conservation,31196.992
Bouclier boréal,Foresterie,112266.099
Bouclier boréal,Industrie,1492.662
Bouclier boréal,Infrastructure,1936.88
Bouclier boréal,Défense nationale,370.845
Bouclier boréal,Autre,None
Bouclier boréal,Loisirs,4954.862
Bouclier boréal,Populations,1233.933
Bouclier boréal,Inconnu,9411.578
Plaines hudsoniennes,Agriculture,1.287
Plaines hudsoniennes,Conservation,20945.04
Plaines hudsoniennes,Foresterie,12922.14
Plaines hudsoniennes,Industrie,31.205
Plaines hudsoniennes,Infrastructure,14.84
Plaines hudsoniennes,Défense nationale,None
Plaines hudsoniennes,Autre,None
Plaines hudsoniennes,Loisirs,None
Plaines hudsoniennes,Populations,194.247
Plaines hudsoniennes,Inconnu,451.477
Plaines à forêts mixtes,Agriculture,5912.424
Plaines à forêts mixtes,Conservation,367.355
Plaines à forêts mixtes,Foresterie,3382.738
Plaines à forêts mixtes,Industrie,45.6
Plaines à forêts mixtes,Infrastructure,579.978
Plaines à forêts mixtes,Défense nationale,2.343
Plaines à forêts mixtes,Autre,None
Plaines à forêts mixtes,Loisirs,49.615
Plaines à forêts mixtes,Populations,589.959
Plaines à forêts mixtes,Inconnu,87.24
Cordillère montagnarde,Agriculture,1106.408
Cordillère montagnarde,Conservation,9769.146
Cordillère montagnarde,Foresterie,17656.167
Cordillère montagnarde,Industrie,48.274
Cordillère montagnarde,Infrastructure,97.808
Cordillère montagnarde,Défense nationale,None
Cordillère montagnarde,Autre,None
Cordillère montagnarde,Loisirs,841.027
Cordillère montagnarde,Populations,83.763
Cordillère montagnarde,Inconnu,17877.671
Pacifique maritime,Agriculture,212.428
Pacifique maritime,Conservation,2849.944
Pacifique maritime,Foresterie,3498.386
Pacifique maritime,Industrie,5.044
Pacifique maritime,Infrastructure,47.946
Pacifique maritime,Défense nationale,None
Pacifique maritime,Autre,None
Pacifique maritime,Loisirs,105.549
Pacifique maritime,Populations,103.993
Pacifique maritime,Inconnu,13498.903
Prairies,Agriculture,37563.841
Prairies,Conservation,1730.888
Prairies,Foresterie,1342.654
Prairies,Industrie,738.928
Prairies,Infrastructure,358.649
Prairies,Défense nationale,403.876
Prairies,Autre,None
Prairies,Loisirs,10.399
Prairies,Populations,932.281
Prairies,Inconnu,1515.608
Cordillère de la taïga,Agriculture,None
Cordillère de la taïga,Conservation,2442.259
Cordillère de la taïga,Foresterie,None
Cordillère de la taïga,Industrie,4.809
Cordillère de la taïga,Infrastructure,1.899
Cordillère de la taïga,Défense nationale,None
Cordillère de la taïga,Autre,None
Cordillère de la taïga,Loisirs,405.838
Cordillère de la taïga,Populations,None
Cordillère de la taïga,Inconnu,23580.134
Plaines de la taïga,Agriculture,6.743
Plaines de la taïga,Conservation,1635.525
Plaines de la taïga,Foresterie,5732.023
Plaines de la taïga,Industrie,6.044
Plaines de la taïga,Infrastructure,10.099
Plaines de la taïga,Défense nationale,None
Plaines de la taïga,Autre,None
Plaines de la taïga,Loisirs,7.811
Plaines de la taïga,Populations,3.962
Plaines de la taïga,Inconnu,49337.083
Bouclier de la taïga,Agriculture,None
Bouclier de la taïga,Conservation,7502.938
Bouclier de la taïga,Foresterie,49735.257
Bouclier de la taïga,Industrie,156.446
Bouclier de la taïga,Infrastructure,32.375
Bouclier de la taïga,Défense nationale,365.848
Bouclier de la taïga,Autre,None
Bouclier de la taïga,Loisirs,251.841
Bouclier de la taïga,Populations,26.406
Bouclier de la taïga,Inconnu,51895.093
