Écozone terrestre,"Genre d'arbre prédominant",Pourcentage
Canada,Bouleau,0.03294685
Canada,Cèdre et autres conifères,0.030582828
Canada,Douglas,0.037895633
Canada,Sapin,0.083666221
Canada,Pruche,0.06231167
Canada,Mélèze,0.015018318
Canada,Érable,0.030272531
Canada,Autres feuillus,0.005253931
Canada,Pin,0.118480416
Canada,Peuplier,0.135841629
Canada,Épinette,0.439178367
Canada,Non classé,0.000277972
Canada,Conifères non spécifiés,0.005674012
Canada,Feuils non spécifiés,0.002599623
Atlantique maritime,Bouleau,0.080768733
Atlantique maritime,Cèdre et autres conifères,0.025124399
Atlantique maritime,Sapin,0.255266623
Atlantique maritime,Pruche,0.003121288
Atlantique maritime,Mélèze,0.008480622
Atlantique maritime,Érable,0.214743713
Atlantique maritime,Autres feuillus,0.005816968
Atlantique maritime,Pin,0.024851025
Atlantique maritime,Peuplier,0.071467525
Atlantique maritime,Épinette,0.265642296
Atlantique maritime,Non classé,0.001277292
Atlantique maritime,Conifères non spécifiés,0.032866587
Atlantique maritime,Feuils non spécifiés,0.010572465
Cordillère boréale,Bouleau,0.010842489
Cordillère boréale,Sapin,0.109658054
Cordillère boréale,Mélèze,0.000916998
Cordillère boréale,Pin,0.251705362
Cordillère boréale,Peuplier,0.082848487
Cordillère boréale,Épinette,0.544028253
Cordillère boréale,Non classé,3.58062E-07
Plaines boréales,Bouleau,0.014356721
Plaines boréales,Cèdre et autres conifères,3.24822E-05
Plaines boréales,Sapin,0.002807907
Plaines boréales,Mélèze,0.036281103
Plaines boréales,Érable,0.000537761
Plaines boréales,Autres feuillus,0.000147975
Plaines boréales,Pin,0.139108957
Plaines boréales,Peuplier,0.426308898
Plaines boréales,Épinette,0.380417641
Plaines boréales,Non classé,0
Plaines boréales,Feuils non spécifiés,4.16439E-07
Bouclier boréal,Bouleau,0.078836978
Bouclier boréal,Cèdre et autres conifères,0.006457907
Bouclier boréal,Sapin,0.071609962
Bouclier boréal,Pruche,0.001963011
Bouclier boréal,Mélèze,0.013661666
Bouclier boréal,Érable,0.060321494
Bouclier boréal,Autres feuillus,0.005363272
Bouclier boréal,Pin,0.117927885
Bouclier boréal,Peuplier,0.122384634
Bouclier boréal,Épinette,0.4987197
Bouclier boréal,Non classé,0.000686221
Bouclier boréal,Conifères non spécifiés,0.015240655
Bouclier boréal,Feuils non spécifiés,0.006826543
Plaines hudsoniennes,Bouleau,0.004354383
Plaines hudsoniennes,Cèdre et autres conifères,0.000362706
Plaines hudsoniennes,Sapin,0.004598732
Plaines hudsoniennes,Mélèze,0.064311622
Plaines hudsoniennes,Autres feuillus,1.90898E-05
Plaines hudsoniennes,Pin,0.029075672
Plaines hudsoniennes,Peuplier,0.016512676
Plaines hudsoniennes,Épinette,0.880541768
Plaines hudsoniennes,Non classé,0
Plaines hudsoniennes,Conifères non spécifiés,0.000223351
Plaines à forêts mixtes,Bouleau,0.02380933
Plaines à forêts mixtes,Cèdre et autres conifères,0.096336651
Plaines à forêts mixtes,Sapin,0.041532722
Plaines à forêts mixtes,Pruche,0.012939986
Plaines à forêts mixtes,Mélèze,0.013055812
Plaines à forêts mixtes,Érable,0.4292121
Plaines à forêts mixtes,Autres feuillus,0.137615369
Plaines à forêts mixtes,Pin,0.069739371
Plaines à forêts mixtes,Peuplier,0.116183517
Plaines à forêts mixtes,Épinette,0.02022076
Plaines à forêts mixtes,Non classé,0.003590602
Plaines à forêts mixtes,Conifères non spécifiés,0.007924929
Plaines à forêts mixtes,Feuils non spécifiés,0.027838852
Cordillère montagnarde,Bouleau,0.010204784
Cordillère montagnarde,Cèdre et autres conifères,0.030469746
Cordillère montagnarde,Douglas,0.144652841
Cordillère montagnarde,Sapin,0.185854414
Cordillère montagnarde,Pruche,0.055851432
