Année,Juridiction,Produit forestier,Unité de mesure,Valeur
2000,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1572000
2000,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,75213000
2001,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1598000
2001,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,72036000
2002,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1851000
2002,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,77953000
2003,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1840400
2003,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,77530800
2004,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2001900
2004,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,82759300
2005,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2015800
2005,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,81142300
2006,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,2048800
2006,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,79172900
2007,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1858200
2007,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,70549200
2008,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1565700
2008,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,56002800
2009,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1219000
2009,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,44232500
2010,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1524000
2010,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,51915400
2011,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1471100
2011,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,51935000
2012,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1276300
2012,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,54544200
2013,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1388600
2013,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,57510100
2014,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1504000
2014,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,57776100
2015,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1724400
2015,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,62719400
2016,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1600900
2016,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65031400
2017,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1488800
2017,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,65129100
2018,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1250900
2018,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,64378500
2019,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,1032100
2019,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,56659300
2020,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,997200
2020,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,54718300
2021,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,880100
2021,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,55841700
2022,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,873900
2022,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,50521200
2023,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,899000
2023,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,48182100
2024,Canada,"Bois d'oeuvre - bois feuillus",en mètre cube,858000
2024,Canada,"Bois d'oeuvre - bois résineux",en mètre cube,47894500
